Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
37.38,,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,2 se- 1,Metz,10/02/2019
38.42,,TREVISAN Giancarla dimich,93,BRACCO ATLETICA,3 se- 1,Virginia Beach,06/02/2021
43.0,,FUCCI Eleonora,95,ATLETICA MAGNA GRAECIA,1 se- 1,Napoli,08/10/2011
44.96,,GIORDANO Giulia,06,A.S.D.HINNA POL. ANNUNZIATELLA,1 se- 1,Napoli,12/03/2022
46.56,,FILIPPONI Cristina,06,ASD ATLETICA GRAN SASSO TERAMO,2 se- 1,Napoli,12/03/2022
46.74,,SMELZO Sara,97,A. P. D.  HIPPOS CAMPI FLEGREI,1 se- 2,Napoli,12/03/2022
48.49,,SCOTTO DI CLEMENTE Emilia,93,ASD NISSOLINO ATL. VIS NOVA SA,2 se- 2,Napoli,12/03/2022
48.63,,ZACCHIA Maria grazia,06,ASD ARCA ATL.AVERSA A.AVERSANO,3 se- 1,Napoli,12/03/2022
50.84,,CERBONE Alessia,00,A. P. D.  HIPPOS CAMPI FLEGREI,4 se- 1,Napoli,12/03/2022
51.89,,FABOZZI Grazia,05,ASD ARCA ATL.AVERSA A.AVERSANO,3 se- 2,Napoli,12/03/2022
52.3,,D'ANDREA Silvia,95,A.S.D. LIB. POL. AMAT. ATL. BN,2 se- 2,Napoli,08/10/2011
52.69,,FABOZZI Emanuela,05,ASD ARCA ATL.AVERSA A.AVERSANO,4 se- 2,Napoli,12/03/2022
53.71,,MANGIONE Alice,97,ATL. BS '50 METALLURG. S.MARCO,1 se- 4,Vienna,30/01/2021
54.22,,PUGLIESE Valeria irene,74,ATLETICA SCIUTO,5 se- 2,Napoli,12/03/2022
55.68,,PENNA Sofia,06,ASD ARCA ATL.AVERSA A.AVERSANO,6 se- 2,Napoli,12/03/2022
58.39,,MUSONE Aurora,06,ATLETICA MARCIANISE A.S.D,5 se- 1,Napoli,12/03/2022
