Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
8.33,,PAGANELLI Cristina,80,ASD ROMATLETICA,1 ba- 1,Marina Di Carrara,16/01/2022
9.00,,DONATONI Elena,71,ATL. INSIEME VERONA,1 fi- 1,Marina Di Carrara,16/01/2022
9.02,,DONATONI Elena,71,ATL. INSIEME VERONA,1 ba- 1,Marina Di Carrara,16/01/2022
9.31,,PAOLICCHI Paola,71,ATLETICA LIVORNO,1 ba- 1,Carrara,04/02/2023
9.35,,PAOLICCHI Paola,71,ATLETICA LIVORNO,1 fi- 1,Carrara,04/02/2023
9.38,,VACONDIO Francesca,82,MODENA ATLETICA  ASD,1 ba- 1,Carrara,04/02/2023
9.48,,VACONDIO Francesca,82,MODENA ATLETICA  ASD,1 fi- 1,Carrara,04/02/2023
9.54,,VACONDIO Francesca,82,MODENA ATLETICA,2 ba- 1,Marina Di Carrara,16/01/2022
9.60,,VACONDIO Francesca,82,MODENA ATLETICA,1 fi- 1,Marina Di Carrara,16/01/2022
9.73,,PAOLICCHI Paola,71,ASD ATLETICA PISTOIA,2 ba- 1,Marina Di Carrara,16/01/2022
9.84,,PAOLICCHI Paola,71,ASD ATLETICA PISTOIA,2 fi- 1,Marina Di Carrara,16/01/2022
10.33,,GARIBOLDI Vittoriana,65,ATLETICA SANTAMONICA MISANO,3 fi- 1,Marina Di Carrara,16/01/2022
10.78,,GARIBOLDI Vittoriana,65,ATLETICA SANTAMONICA MISANO,3 ba- 1,Marina Di Carrara,16/01/2022
12.09,,BOGGIA Laura,63,A.S.D.  C.U.S. GENOVA,4 ba- 1,Marina Di Carrara,16/01/2022
12.11,,BOGGIA Laura,63,A.S.D.  C.U.S. GENOVA,4 fi- 1,Marina Di Carrara,16/01/2022
