Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
6.89,,ALLOH Audrey,87,G.S. FIAMME AZZURRE,1 fi- 1,Firenze,10/02/2010
6.92,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 fi- 1,Firenze,12/02/2007
6.93,,ALLOH Audrey,87,ATLETICA FIRENZE MARATHON S.S.,1 fi- 1,Firenze,18/02/2008
6.93,,SIRAGUSA Irene,93,ATLETICA 2005,1 ba- 3,Firenze,18/02/2014
6.93,,SIRAGUSA Irene,93,ATLETICA 2005,1 fi- 1,Firenze,18/02/2014
6.95,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 fi- 1,Firenze,18/01/2005
6.96,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 ba- 4,Firenze,01/02/2005
6.96,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 fi- 1,Firenze,06/02/2007
6.97,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 ba- 6,Firenze,18/01/2005
6.97,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 fi- 1,Firenze,01/02/2005
6.98,,ALLOH Audrey,87,G.S. FIAMME AZZURRE,1 fi- 3,Firenze,05/02/2010
6.99,,ALLOH Audrey,87,G.S. FIAMME AZZURRE,1 ba- 1,Firenze,05/02/2010
7.01,,CALI' Vincenza,83,G.S. FIAMME AZZURRE,1 fi- 1,Firenze,17/02/2009
7.01,,SIRAGUSA Irene,93,C.S. ESERCITO,1 ba- 1,Firenze,07/02/2017
7.01,,SIRAGUSA Irene,93,C.S. ESERCITO,1 fi- 1,Firenze,07/02/2017
7.02,,ALLOH Audrey,87,ATLETICA FIRENZE MARATHON S.S.,2 fi- 1,Firenze,12/02/2007
7.03,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI NISSAN,1 fi- 2,Firenze,05/02/2011
7.04,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 ba- 3,Firenze,06/02/2007
7.04,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 ba- 4,Firenze,12/02/2007
7.04,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 fi- 1,Firenze,12/02/2008
7.04,,ALLOH Audrey,87,G.S. FIAMME AZZURRE,2 fi- 1,Firenze,17/02/2009
7.04,,ALLOH Audrey,87,G.S. FIAMME AZZURRE,1 ba- 4,Firenze,10/02/2010
7.05,,SIRAGUSA Irene,93,ATLETICA 2005,1 ba- 3,Firenze,13/02/2013
7.05,,SIRAGUSA Irene,93,ATLETICA 2005,1 fi- 1,Firenze,13/02/2013
7.05,,SIRAGUSA Irene,93,ATLETICA 2005,1 fi- 1,Firenze,10/02/2015
7.06,,NISTRI Silvia,92,TOSCANA ATL.EMPOLI NISSAN,1 fi- 1,Firenze,11/02/2016
7.07,,NISTRI Silvia,92,TOSCANA ATL.EMPOLI NISSAN,1 ba- 2,Firenze,11/02/2016
7.08,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 ba- 4,Firenze,18/02/2008
7.08,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI NISSAN,2 fi- 1,Firenze,10/02/2010
7.08,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI NISSAN,1 ba- 4,Firenze,05/02/2011
7.09,,ALLOH Audrey,87,G.S. FIAMME AZZURRE,1 fi- 1,Firenze,10/02/2009
7.09,,CALI' Vincenza,83,G.S. FIAMME AZZURRE,1 ba- 2,Firenze,17/02/2009
7.09,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI NISSAN,1 ba- 1,Firenze,10/02/2010
7.09,,SIRAGUSA Irene,93,ATLETICA 2005,1 ba- 5,Firenze,10/02/2015
7.11,,PACINI Claudia,86,C.S. ESERCITO,1 fi- 3,Firenze,31/01/2006
7.11,,ALLOH Audrey,87,ATLETICA FIRENZE MARATHON S.S.,1 ba- 3,Firenze,18/02/2008
7.11,,ALLOH Audrey,87,G.S. FIAMME AZZURRE,1 ba- 3,Firenze,10/02/2009
7.11,,CRAVCENCO Alina,89,ATL. BRESCIA 1950,1 ba- 3,Firenze,19/02/2013
7.12,,PACINI Claudia,86,TOSCANA ATL.EMPOLI,1 fi- 1,Firenze,15/02/2005
7.12,,MARCHETTI Erica,81,TOSCANA ATL.EMPOLI,1 ba- 3,Firenze,12/02/2008
7.13,,PACINI Claudia,86,TOSCANA ATL.EMPOLI,2 fi- 1,Firenze,18/01/2005
7.13,,SIRAGUSA Irene,93,ATLETICA 2005,1 ba- 1,Firenze,05/02/2011
7.13,,BONGIORNI Anna,93,CUS PISA ATLETICA CASCINA,1 ba- 3,Firenze,05/02/2011
7.13,,CRAVCENCO Alina,89,ATL. BRESCIA 1950,1 fi- 1,Firenze,19/02/2013
7.13,,NISTRI Silvia,92,TOSCANA ATL.EMPOLI NISSAN,1 fi- 1,Firenze,27/01/2018
7.14,,SIRAGUSA Irene,93,ATLETICA 2005,2 fi- 2,Firenze,05/02/2011
7.14,,BONGIORNI Anna,93,CUS PISA ATLETICA CASCINA,3 fi- 2,Firenze,05/02/2011
7.16,,ALLOH Audrey,87,ATLETICA FIRENZE MARATHON S.S.,1 ba- 2,Firenze,12/02/2007
7.16,,GERVASI Chiara,86,ASD AUDACIA RECORD ATLETICA,1 su- 1,Firenze,09/02/2011
7.16,,BATACCHI Carlotta,86,TOSCANA ATL.EMPOLI NISSAN,1 ba- 4,Firenze,15/02/2011
7.17,,ALLOH Audrey,87,G.S. FIAMME AZZURRE,1 ba- 7,Firenze,17/02/2009
7.18,,BERTI Alessia,83,ATL.ASICS FIRENZE MARATHON,3 fi- 1,Firenze,18/01/2005
7.18,,GIRARDI Michelle,84,ATLETICA LIVORNO,1 ba- 5,Firenze,05/02/2010
7.19,,PACINI Claudia,86,C.S. ESERCITO,1 fi- 1,Firenze,18/01/2006
7.19,,GIRARDI Michelle,84,ATLETICA LIVORNO,1 ba- 2,Firenze,01/02/2007
7.19,,GERVASI Chiara,86,ASD AUDACIA RECORD ATLETICA,1 ba- 5,Firenze,09/02/2011
7.19,,BATACCHI Carlotta,86,TOSCANA ATL.EMPOLI NISSAN,2 su- 1,Firenze,09/02/2011
7.20,,PACINI Claudia,86,TOSCANA ATL.EMPOLI,1 ba- 3,Firenze,18/01/2005
7.20,,PACINI Claudia,86,C.S. ESERCITO,1 ba- 4,Firenze,31/01/2006
7.20,,POGGIONI Letizia,84,JAKY-TECH APUANA,1 fi- 1,Firenze,01/02/2007
7.20,,POGGIONI Letizia,84,JAKY-TECH APUANA,1 ba- 6,Firenze,12/02/2007
7.20,,BATACCHI Carlotta,86,TOSCANA ATL.EMPOLI NISSAN,4 fi- 2,Firenze,05/02/2011
7.20,,NISTRI Silvia,92,TOSCANA ATL.EMPOLI NISSAN,1 ba- 1,Firenze,27/01/2018
7.21,,PACINI Claudia,86,TOSCANA ATL.EMPOLI,1 ba- 3,Firenze,01/02/2005
7.21,,PACINI Claudia,86,TOSCANA ATL.EMPOLI,2 fi- 1,Firenze,01/02/2005
7.21,,PACINI Claudia,86,TOSCANA ATL.EMPOLI,1 ba- 4,Firenze,15/02/2005
7.21,,PACINI Claudia,86,C.S. ESERCITO,1 ba- 2,Firenze,18/01/2006
7.21,,BATACCHI Carlotta,86,TOSCANA ATL.EMPOLI,2 fi- 1,Firenze,18/02/2008
7.21,,SIRAGUSA Irene,93,ATLETICA 2005,1 fi- 1,Firenze,05/02/2010
7.21,,FIORINDI Camilla,91,ATLETICA FIRENZE MARATHON S.S.,2 ba- 3,Firenze,05/02/2011
7.22,,ALLOH Audrey,87,ATL.ASICS FIRENZE MARATHON,3 fi- 1,Firenze,01/02/2005
7.22,,BERTI Alessia,83,ATL.ASICS FIRENZE MARATHON,1 ba- 1,Firenze,15/02/2005
7.22,,BERTI Alessia,83,ATL.ASICS FIRENZE MARATHON,2 fi- 1,Firenze,15/02/2005
7.22,,POGGIONI Letizia,84,JAKY-TECH APUANA,2 fi- 3,Firenze,31/01/2006
7.22,,POGGIONI Letizia,84,JAKY-TECH APUANA,3 fi- 1,Firenze,12/02/2007
7.22,,LEONARDI Valentina,86,ATL.PIETRASANTA VERSILIA,3 fi- 1,Firenze,18/02/2008
7.22,,SIRAGUSA Irene,93,ATLETICA 2005,1 ba- 2,Firenze,05/02/2010
7.22,,BATACCHI Carlotta,86,TOSCANA ATL.EMPOLI NISSAN,1 fi- 1,Firenze,15/02/2011
7.22,,FIORINDI Camilla,91,ATLETICA FIRENZE MARATHON S.S.,1 fi- 1,Firenze,12/02/2012
7.22,,CRAVCENCO Alina,89,ATL. BRESCIA 1950,1 ba- 1,Firenze,13/02/2013
7.22,,TORRISI Chiara,96,A.S.D. C.U.S. PALERMO,1 ba- 3,Palermo,31/01/2015
7.22,,NISTRI Silvia,92,TOSCANA ATL.EMPOLI NISSAN,1 ba- 1,Firenze,03/02/2018
7.23,,BATACCHI Carlotta,86,ASSI BANCA TOSCANA FIRENZE,4 fi- 1,Firenze,18/01/2005
7.23,,GIRARDI Michelle,84,ATLETICA LIVORNO,2 fi- 3,Firenze,05/02/2010
7.23,,BATACCHI Carlotta,86,TOSCANA ATL.EMPOLI NISSAN,1 ba- 2,Firenze,05/02/2011
7.23,,FIORINDI Camilla,91,ATLETICA FIRENZE MARATHON S.S.,5 fi- 2,Firenze,05/02/2011
7.23,,BORSI Veronica,87,G.A. FIAMME GIALLE,2 fi- 1,Firenze,15/02/2011
7.23,,MARTINI Eleonora,88,A.S.D. SPECTEC ATL. CARISPEZIA,1 fi- 1,Firenze,21/02/2012
7.23,,TORRISI Chiara,96,A.S.D. C.U.S. PALERMO,1 fi- 1,Palermo,31/01/2015
7.23,,BRUSCOLI Elisa,00,TOSCANA ATL.EMPOLI NISSAN,2 fi- 1,Firenze,27/01/2018
7.24,,ALLOH Audrey,87,ATL.ASICS FIRENZE MARATHON,1 ba- 2,Firenze,01/02/2005
7.24,,GIRARDI Michelle,84,ATLETICA LIVORNO,1 fi- 2,Firenze,14/02/2006
7.24,,PACINI Claudia,86,C.S. ESERCITO,2 fi- 1,Firenze,01/02/2007
7.24,,BATACCHI Carlotta,86,TOSCANA ATL.EMPOLI NISSAN,1 ba- 1,Firenze,09/02/2011
7.24,,FIORINDI Camilla,91,ATLETICA FIRENZE MARATHON S.S.,1 ba- 3,Firenze,12/02/2012
7.24,,FIORINDI Camilla,91,ATLETICA FIRENZE MARATHON S.S.,2 fi- 1,Firenze,21/02/2012
7.24,,CRAVCENCO Alina,89,ATL. BRESCIA 1950,2 fi- 1,Firenze,13/02/2013
7.24,,NISTRI Silvia,92,TOSCANA ATL.EMPOLI NISSAN,3 fi- 1,Firenze,13/02/2013
7.24,,LENSI Valentina,95,ATLETICA LIVORNO,2 fi- 1,Firenze,18/02/2014
7.24,,NISTRI Silvia,92,TOSCANA ATL.EMPOLI NISSAN,2 fi- 1,Firenze,10/02/2015
7.24,,SANNINO Mariaelisa,86,A.S.D. ASTRO 2000 BN-AGROPOLI,1 ba- 1,Firenze,11/02/2016
7.25,,BATACCHI Carlotta,86,TOSCANA ATL.EMPOLI,3 fi- 3,Firenze,31/01/2006
7.25,,ALLOH Audrey,87,ATL.ASICS FIRENZE MARATHON,2 fi- 2,Firenze,14/02/2006
7.25,,POGGIONI Letizia,84,JAKY-TECH APUANA,1 ba- 4,Firenze,01/02/2007
7.25,,BATACCHI Carlotta,86,TOSCANA ATL.EMPOLI,2 ba- 2,Firenze,01/02/2007
