Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
8.88,,CARAVELLI Serena,79,ATL BRUGNERA PN FRIULINTAGLI,1 se- 1,Padova,04/03/2023
8.91,,CARAVELLI Serena,79,ATL BRUGNERA PN FRIULINTAGLI,1 su- 1,Ancona,11/03/2023
8.91,,CARAVELLI Serena,79,ATL BRUGNERA PN FRIULINTAGLI,1 fi- 1,Torun,01/04/2023
8.93,,CARAVELLI Serena,79,ATL BRUGNERA PN FRIULINTAGLI,1 su- 1,Ancona,12/02/2022
8.97,,CARAVELLI Serena,79,ATL BRUGNERA PN FRIULINTAGLI,3 fi- 1,Braga,26/02/2022
9.03,,CARAVELLI Serena,79,ATL BRUGNERA PN FRIULINTAGLI,1 sf- 2,Torun,01/04/2023
9.16,,CARAVELLI Serena,79,ATL BRUGNERA PN FRIULINTAGLI,1 se- 1,Casalmaggiore,29/01/2022
9.22,,MORONI Maria costanza,69,G.S. ERMENEGILDO ZEGNA,1 su- 1,Ancona,02/04/2016
9.23,,CARAVELLI Serena,79,ATL BRUGNERA PN FRIULINTAGLI,2 ba- 1,Braga,25/02/2022
9.27,,COLOMBO Roberta sara,73,ATLETICA MONZA,1 se- 2,Ancona,24/02/2017
9.27,,COLOMBO Roberta sara,73,ATLETICA MONZA,1 se- 1,Ancona,23/02/2018
9.31,,MORONI Maria costanza,69,G.S. ERMENEGILDO ZEGNA,2 fi- 1,Madrid,23/03/2018
9.36,,MORONI Maria costanza,69,G.S. ERMENEGILDO ZEGNA,1 su- 1,Ancona,24/02/2018
9.36,,CARAVELLI Serena,79,ATL BRUGNERA PN FRIULINTAGLI,1 su- 1,Padova,09/01/2022
9.39,,COLOMBO Roberta sara,73,ATLETICA MONZA,3 ba- 1,Ancona,01/04/2016
9.39,,COLOMBO Roberta sara,73,ATLETICA MONZA,4 fi- 1,Ancona,02/04/2016
9.40,,MORONI Maria costanza,69,G.S. ERMENEGILDO ZEGNA,1 ba- 2,Madrid,23/03/2018
9.41,,MORONI Maria costanza,69,G.S. ERMENEGILDO ZEGNA,1 su- 1,Ancona,25/02/2017
9.43,,COLOMBO Roberta sara,73,ATLETICA MONZA,2 su- 1,Ancona,24/02/2018
9.44,,COLOMBO Roberta sara,73,ATLETICA MONZA,1 su- 1,Ancona,25/02/2017
9.48,,MORONI Maria costanza,69,G.S. ERMENEGILDO ZEGNA,1 su- 1,Ancona,27/02/2016
9.54,,PAGANELLI Cristina,80,ASD ROMATLETICA FOOTWORKS,1 su- 1,Padova,15/02/2020
9.55,,COLOMBO Roberta sara,73,ATLETICA MONZA,2 se- 2,Ancona,29/03/2016
9.55,,MORONI Maria costanza,69,G.S. ERMENEGILDO ZEGNA,1 su- 1,Aosta,18/02/2017
9.56,,COLOMBO Roberta sara,73,ATLETICA MONZA,1 se- 1,Mantova,04/02/2018
9.60,,COLOMBO Roberta sara,73,A.S. LA FRATELLANZA 1874,1 su- 1,Ancona,23/02/2019
9.61,,PAGANELLI Cristina,80,ASD ROMATLETICA,2 su- 1,Ancona,11/03/2023
9.62,,MORONI Maria costanza,69,G.S. ERMENEGILDO ZEGNA,1 se- 1,Saronno,06/03/2016
9.64,,GIULIVI Antonella,75,S.S. VITTORIO ALFIERI ASTI,2 su- 1,Ancona,25/02/2017
9.65,,MORONI Maria costanza,69,G.S. ERMENEGILDO ZEGNA,1 su- 1,Aosta,10/02/2018
9.66,,COLOMBO Roberta sara,73,ATLETICA MONZA,1 se- 2,Ancona,26/02/2016
9.67,,GIULIVI Antonella,75,ATLETICA ASTI 2.2 A.S.D.,1 su- 1,Ancona,12/02/2022
9.72,,BAGGIOLINI Emanuela,72,C.U.S. CAGLIARI,4 su- 1,Torun,28/03/2015
9.72,,GIULIVI Antonella,75,ATLETICA CANAVESANA,1 su- 1,Ancona,11/03/2023
9.73,,PAGANELLI Cristina,80,ASD ROMATLETICA FOOTWORKS,1 su- 1,Ancona,20/03/2021
9.74,,SANTAMBROGIO Annalisa,77,ROAD RUNNERS CLUB MILANO,1 su- 1,Ancona,23/02/2019
9.76,,PAGANELLI Cristina,80,ASD ROMATLETICA,2 se- 1,Padova,04/03/2023
9.78,,GIULIVI Antonella,75,S.S. VITTORIO ALFIERI ASTI,2 su- 1,Aosta,18/02/2017
9.79,,FORCELLINI Carla,59,A.S.D. POL. EUROPA CAPACI,1 se- 1,Ancona,03/03/2007
9.82,,COLOMBO Roberta sara,73,ATLETICA MONZA,1 su- 1,Ancona,27/02/2016
9.82,,SANTAMBROGIO Annalisa,77,ROAD RUNNERS CLUB MILANO,2 se- 1,Mantova,04/02/2018
9.83,,FERRIO Ivana,70,ATLETICA CANAVESANA,2 su- 1,Ancona,27/02/2016
9.83,,FELLA Ivana,74,A.S. LA FRATELLANZA 1874,2 su- 1,Ancona,11/03/2023
9.90,,FORCELLINI Carla,59,ATLETICA GRAN SASSO SSD A R.L.,4 su- 1,Ancona,28/03/2009
9.92,,FELLA Ivana,74,GIOVANNI SCAVO 2000 ATL.,7 su- 1,Madrid,23/03/2018
9.94,,GIULIVI Antonella,75,S.S. VITTORIO ALFIERI ASTI,3 se- 2,Ancona,29/03/2016
9.94,,SANTAMBROGIO Annalisa,77,ROAD RUNNERS CLUB MILANO,1 su- 1,Ancona,24/02/2018
9.96,,FERRARI Gioia,73,ASSI GIGLIO ROSSO FIRENZE,2 su- 1,Ancona,23/02/2019
9.96,,GIULIVI Antonella,75,ATLETICA ASTI 2.2 A.S.D.,2 se- 1,Casalmaggiore,29/01/2022
9.97,,GIULIVI Antonella,75,S.S. VITTORIO ALFIERI ASTI,5 ba- 2,Ancona,01/04/2016
9.98,,GIULIVI Antonella,75,S.S. VITTORIO ALFIERI ASTI,1 su- 1,Aosta,06/02/2016
10.00,,FERRIO Ivana,70,ATLETICA CANAVESANA,2 su- 1,Aosta,06/02/2016
10.02,,FELLA Ivana,74,GIOVANNI SCAVO 2000 ATL.,3 sf- 1,Torun,30/03/2019
10.03,,FELLA Ivana,74,A.S. LA FRATELLANZA 1874,1 su- 1,Ancona,10/03/2023
10.04,,GIULIVI Antonella,75,S.S. VITTORIO ALFIERI ASTI,1 se- 2,Ancona,27/02/2015
10.08,,GIULIVI Antonella,75,S.S. VITTORIO ALFIERI ASTI,1 su- 1,Ancona,28/02/2015
10.11,,FELLA Ivana,74,GIOVANNI SCAVO 2000 ATL.,7 fi- 1,Torun,30/03/2019
10.15,,FERRARI Gioia,73,ASSI GIGLIO ROSSO FIRENZE,1 su- 1,Padova,09/02/2019
10.20,,ANSALDI Chiara,68,ATL. VIRTUS CASTENEDOLO,2 su- 1,Ancona,25/02/2017
10.21,,FERRARINI Barbara,67,ATL. VIRTUS CASTENEDOLO,1 su- 1,Ancona,08/03/2014
10.22,,ANSALDI Chiara,68,ATL. VIRTUS CASTENEDOLO,1 su- 1,Ancona,28/02/2015
10.26,,DE LUCA Rebecka,72,ATL. ROMA ACQUACETOSA,3 se- 2,Budapest,25/03/2014
