Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
11:50.08,,GIORGI Eleonora anna,89,G.S. FIAMME AZZURRE,1 su- 1,Ancona,22/02/2014
11:55.30,,PALMISANO Antonella,91,G.A. FIAMME GIALLE,1 su- 1,Ancona,17/02/2018
12:05.68,,PALMISANO Antonella,91,G.A. FIAMME GIALLE,1 su- 1,Padova,21/02/2015
12:08.83,,PALMISANO Antonella,91,G.A. FIAMME GIALLE,1 su- 1,Ancona,18/02/2017
12:09.57,,RIGAUDO Elisa,80,G.A. FIAMME GIALLE,1 se- 2,Ancona,19/02/2005
12:10.23,,RIGAUDO Elisa,80,G.A. FIAMME GIALLE,1 su- 1,Genova,23/02/2008
12:10.61,,RIGAUDO Elisa,80,G.A. FIAMME GIALLE,1 su- 1,Ancona,18/02/2006
12:14.72,,RIGAUDO Elisa,80,G.A. FIAMME GIALLE,1 su- 1,Ancona,17/02/2007
12:23.15,,PALMISANO Antonella,91,G.A. FIAMME GIALLE,1 su- 1,Ancona,16/02/2019
12:35.55,,TRAPLETTI Valentina,85,BRACCO ATLETICA,2 su- 1,Padova,21/02/2015
12:37.11,,DOMINICI Eleonora,96,A.S.D. ACSI ITALIA ATLETICA,2 su- 1,Ancona,17/02/2018
12:40.75,,RIGAUDO Elisa,80,G.A. FIAMME GIALLE,1 su- 1,Torino,21/02/2009
12:40.88,,PELLINO Cristiana,70,C.S. FORESTALE,2 se- 2,Ancona,19/02/2005
12:42.15,,DI VINCENZO Sibilla,83,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Ancona,27/02/2010
12:42.61,,DI VINCENZO Sibilla,83,ASSINDUSTRIA SPORT PADOVA,1 su- 1,Ancona,19/02/2011
12:43.04,,TRAPLETTI Valentina,85,C.S. ESERCITO,1 su- 1,Ancona,20/02/2021
12:44.00,,GIORDANO Rossella,72,G.S. FIAMME AZZURRE,2 su- 1,Ancona,17/02/2007
12:44.12,,DOMINICI Eleonora,96,A.S.D. ACSI ITALIA ATLETICA,2 su- 1,Ancona,16/02/2019
12:45.74,,TRAPLETTI Valentina,85,BRACCO ATLETICA,2 su- 1,Ancona,18/02/2017
12:49.68,,GIORDANO Rossella,72,G.S. FIAMME AZZURRE,2 su- 1,Genova,23/02/2008
12:49.94,,DI VINCENZO Sibilla,83,FONDIARIA - SAI ATLETICA,3 se- 2,Ancona,19/02/2005
12:51.59,,GIORGI Eleonora anna,89,G.S. FIAMME AZZURRE,2 su- 1,Ancona,19/02/2011
12:51.73,,MIHAI Alexandrina,03,ATL. BRESCIA 1950,1 su- 1,Ancona,18/02/2023
12:53.14,,GIORGI Eleonora anna,89,G.S. FIAMME AZZURRE,1 su- 1,Ancona,25/02/2012
12:53.32,,STELLA Noemi,97,A.S.D. ATLETICA DON MILANI,1 su- 1,Ancona,07/02/2015
12:53.61,,TRAPLETTI Valentina,85,C.S. ESERCITO,1 su- 1,Ancona,22/02/2020
12:53.63,,PALMISANO Antonella,91,G.A. FIAMME GIALLE,1 su- 1,Ancona,16/02/2013
12:55.13,,BERTINI Simona,01,A.S.D. FRANCESCO FRANCIA,1 su- 1,Ancona,26/02/2022
12:55.39,,TRAPLETTI Valentina,85,C.S. ESERCITO,2 su- 1,Ancona,22/02/2014
12:55.72,,DI VINCENZO Sibilla,83,ASSINDUSTRIA SPORT PADOVA,2 su- 1,Torino,21/02/2009
12:55.77,,DI VINCENZO Sibilla,83,BRACCO ATLETICA,3 su- 1,Ancona,18/02/2017
12:55.86,,GIORGI Eleonora anna,89,ATL. LECCO-COLOMBO COSTRUZ.,2 su- 1,Ancona,27/02/2010
12:57.34,,ORSINI Gisella,71,G.S. FORESTALE,2 su- 1,Ancona,18/02/2006
12:58.25,,MIHAI Alexandrina,03,ATL. BRESCIA 1950,1 su- 1,Ancona,04/02/2023
12:58.85,,PELLINO Cristiana,70,G.S. FORESTALE,3 su- 1,Ancona,18/02/2006
13:00.43,,DI VINCENZO Sibilla,83,FONDIARIA - SAI ATLETICA,1 su- 1,Genova,06/02/2005
13:01.64,,DI VINCENZO Sibilla,83,FONDIARIA - SAI ATLETICA,3 su- 1,Genova,23/02/2008
13:02.31,,ORSINI Gisella,71,G.S. FORESTALE,3 su- 1,Ancona,17/02/2007
13:04.18,,DOMINICI Eleonora,96,A.S.D. ACSI ITALIA ATLETICA,4 su- 1,Ancona,18/02/2017
13:04.21,,DOMINICI Eleonora,96,A.S.D. ACSI ITALIA ATLETICA,1 su- 1,Ancona,03/02/2018
13:04.42,,ORSINI Gisella,71,G.S. FORESTALE,4 su- 1,Genova,23/02/2008
13:05.13,,GIORGI Eleonora anna,89,G.S. FIAMME AZZURRE,1 su- 1,Ancona,12/02/2011
13:06.03,,TRAPLETTI Valentina,85,BRACCO ATLETICA,1 se- 1,Padova,16/01/2016
13:06.22,,RAGONESI Agnese,85,N.ATL. FANFULLA LODIGIANA,3 su- 1,Ancona,27/02/2010
13:07.64,,RAGONESI Agnese,85,A.S.D. ATLETICA 2001 S.P. CLAR,5 su- 1,Genova,23/02/2008
13:07.91,,PALMISANO Antonella,91,A.S.D. ATLETICA DON MILANI,1 su- 1,Ancona,06/03/2010
13:07.98,,TRAPLETTI Valentina,85,BRACCO ATLETICA,1 su- 1,Padova,14/01/2015
13:09.00,,TRAPLETTI Valentina,85,BRACCO ATLETICA,1 se- 1,Padova,21/01/2017
13:09.15,,PERILLI Emanuela,73,C.S. FORESTALE,4 se- 2,Ancona,19/02/2005
13:09.53,,PERILLI Emanuela,73,G.S. FORESTALE,4 su- 1,Ancona,18/02/2006
13:10.99,,DI VINCENZO Sibilla,83,BRACCO ATLETICA,1 su- 1,Ancona,05/03/2016
13:11.54,,FERRARO Federica,88,C.S. AERONAUTICA MILITARE,1 se- 1,Nice,15/12/2013
13:12.13,,PALMISANO Antonella,91,A.S.D. ATLETICA DON MILANI,1 su- 1,Ancona,14/02/2010
13:12.19,,COLOMBI Nicole,95,ATL. BRESCIA 1950,1 su- 1,Ancona,06/02/2016
13:12.88,,ORSINI Gisella,71,C.S. FORESTALE,5 se- 2,Ancona,19/02/2005
13:12.98,,PRUNER Serena,86,S G AMSICORA,3 su- 1,Ancona,19/02/2011
13:14.39,,GIORGI Eleonora anna,89,ATL. LECCO-COLOMBO COSTRUZ.,3 su- 1,Torino,21/02/2009
13:15.39,,PALMISANO Antonella,91,A.S.D. ATLETICA DON MILANI,4 su- 1,Ancona,27/02/2010
13:16.03,,BERTINI Simona,01,A.S.D. FRANCESCO FRANCIA,1 su- 1,Ancona,05/02/2022
13:16.73,,DI VINCENZO Sibilla,83,BRACCO ATLETICA,3 su- 1,Ancona,22/02/2014
13:17.39,,COLOMBI Nicole,95,ATL. BRESCIA 1950,1 se- 1,Padova,20/02/2016
13:17.40,,BUGLISI Sara,01,SPORTCLUB MERANO,1 su- 1,Ancona,08/02/2020
13:18.22,,DOMINICI Eleonora,96,A.S.D. ACSI ITALIA ATLETICA,2 su- 1,Ancona,06/02/2016
13:18.38,,BECCHETTI Mariavittoria,94,ATL. STUDENTESCA CA.RI.RI,1 su- 1,Ancona,07/02/2015
13:19.39,,STELLA Noemi,97,A.S.D. ATLETICA DON MILANI,1 su- 1,Lione,28/02/2015
13:20.00,,RAGONESI Agnese,85,A.S.D. ATLETICA 2001 S.P. CLAR,6 se- 2,Ancona,19/02/2005
13:20.06,,MIHAI Alexandrina,03,ATL. BRESCIA 1950,1 su- 1,Padova,08/01/2023
13:20.33,,DI VINCENZO Sibilla,83,BRACCO ATLETICA,2 se- 1,Padova,20/02/2016
13:20.97,,TRAINA Giada,04,ATLETICA LIVORNO,1 su- 1,Ancona,04/02/2023
13:22.14,,GABRIELE Giulia,05,FIAMME GIALLE G. SIMONI,2 su- 1,Ancona,04/02/2023
13:22.26,,COLOMBI Nicole,95,ATL. BRESCIA 1950 ISPA GROUP,3 su- 1,Ancona,17/02/2018
13:23.27,,FERRARO Federica,88,C.S. AERONAUTICA MILITARE,2 su- 1,Ancona,25/02/2012
13:23.58,,GIORGI Eleonora anna,89,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Ancona,13/02/2010
13:24.01,,COLOMBI Nicole,95,ATL. BRESCIA 1950 ISPA GROUP,3 su- 1,Ancona,16/02/2019
13:24.21,,STELLA Noemi,97,A.S.D. ATLETICA DON MILANI,1 su- 1,Halle,01/03/2014
13:25.27,,STELLA Noemi,97,A.S.D. ATLETICA DON MILANI,1 su- 1,Ancona,02/03/2013
13:25.32,,VITIELLO Sara,96,G.S.SELF ATL. MONTANARI GRUZZA,2 su- 1,Ancona,18/02/2023
13:25.33,,DE SOCCIO Adelina,86,G.A. FIAMME GIALLE,2 su- 1,Ancona,16/02/2013
13:26.21,,BOTTERO Giuseppina,81,C.S. ESERCITO,4 su- 1,Ancona,17/02/2007
13:27.31,,CLEMENTE Anna,94,A.S.D. ATLETICA DON MILANI,2 su- 1,Ancona,06/03/2010
13:27.32,,GIORGI Eleonora anna,89,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Ancona,14/02/2009
13:27.78,,GIORGI Eleonora anna,89,ATL. LECCO-COLOMBO COSTRUZ.,1 su- 1,Padova,17/01/2009
13:27.80,,RAGONESI Agnese,85,A.S.D. ATLETICA 2001 S.P. CLAR,1 su- 1,Genova,24/02/2007
