Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
11.31,+0.0,COSTA Luisa,87,GS VALSUGANA TRENTINO,8 se- 1,Modena,16/01/2005
11.31,+0.0,DI SALVO Sara,85,ASSI BANCA TOSCANA FIRENZE,4 se- 2,Firenze,26/01/2005
11.33,+0.0,MORGANTI Nadia,87,ATL. BRESCIA 1950,5 su- 1,Castenedolo,30/01/2005
11.33,+0.0,CAMPINOTI Jaya,88,TOSCANA ATL.EMPOLI,10 su- 1,Genova,06/02/2005
11.34,+0.0,PRANDI Barbara,86,REGGIO EVENT'S,5 se- 1,Modena,09/01/2005
11.37,+0.0,LUCCHESI Alessandra,86,DARRA ATL. TORVECA VIGEVANO,1 se- 1,Mantova,22/01/2005
11.37,+0.0,NEVIANI Elisa,65,MOLLIFICIO MODENESE CITTADELLA,3 se- 2,Firenze,26/01/2005
11.39,+0.0,SCALVINI Giada,87,ATL. VIRTUS CASTENEDOLO,4 su- 1,Castenedolo,30/01/2005
11.40,+0.0,DI SALVO Sara,85,ASSI BANCA TOSCANA FIRENZE,2 su- 1,Firenze,21/01/2005
11.42,+0.0,DEL MORO Silvia,88,ATL.SANGIORGESE TECNOLIFT R.R.,9 su- 1,Genova,06/02/2005
11.44,+0.0,CENNI Marta,87,ATLETICA ESTENSE,7 se- 1,Modena,13/02/2005
11.45,+0.0,LUCCHESI Alessandra,86,DARRA ATL. TORVECA VIGEVANO,5 su- 1,Genova Palasport,13/02/2005
11.47,,GALLERANI Valentina,91,A.S.D. FRANCESCO FRANCIA,4 su- 1,Modena,10/01/2010
11.47,,PAIERO Francesca,89,ATLETICA BRUGNERA FRIULINTAGLI,1 su- 1,Udine,17/01/2010
11.48,+0.0,ZANIBONI Elena,85,ATL. LUGO,7 se- 1,Modena,16/01/2005
11.50,+0.0,CENNI Marta,87,ATLETICA ESTENSE,2 se- 1,Modena,22/01/2005
11.50,,FRATICELLI Giulia,86,ATL. SESTESE FEMMINILE,3 su- 1,Firenze,16/01/2010
11.50,,DI SALVO Sara,85,ATL. SESTESE FEMMINILE,6 se- 2,Firenze,03/02/2010
11.50,,DI SALVO Sara,85,ATL. SESTESE FEMMINILE,2 su- 1,Firenze,08/02/2010
11.51,+0.0,ZANIBONI Elena,85,ATL. LUGO,5 se- 1,Modena,22/01/2005
11.51,,TOFFOLETTO Barbara,86,ATLETICA ASI VENETO,2 se- 1,Padova,31/01/2010
11.51,,PEDONE Francesca,89,ATL. BERGAMO 1959 CREBERG,5 su- 1,Saronno,21/02/2010
11.52,,BARONE Sheila,90,ATL. LECCO-COLOMBO COSTRUZ.,4 su- 1,Saronno,21/02/2010
11.54,,DI SALVO Sara,85,ATL. SESTESE FEMMINILE,2 su- 1,Firenze,16/01/2010
11.54,,ANTOGNOZZI Gaia,92,ATL. STUDENTESCA CA.RI.RI,4 su- 1,Ancona,24/01/2010
11.54,,CARLINI Priscilla,93,FONDIARIA - SAI ATLETICA,5 su- 1,Ancona,24/01/2010
11.54,,PEDONE Francesca,89,ATL. BERGAMO 1959 CREBERG,8 su- 1,Saronno,30/01/2010
11.54,,MACCIO' Laura,84,C.U.S. CAGLIARI,1 fi- 1,Iglesias,07/02/2010
11.54,,CERIZZI Anna,91,U.S. ATL. VEDANO,2 su- 1,Saronno,07/02/2010
11.54,,PALANDRI Rebecca,94,TOSCANA ATL.EMPOLI NISSAN,2 su- 1,Udine,21/02/2010
11.54,,NALDI Cecilia,01,A.S. ATLETICA VIRTUS LUCCA,2 su- 1,Firenze,31/01/2021
11.54,,SANTAMBROGIO Chiara,04,TEAM-A LOMBARDIA,4 su- 1,Saronno,31/01/2021
11.54,,SOCCIO Chiara,03,U.S. FOGGIA ATL. LEGGERA,10 su- 1,Ancona,07/02/2021
11.55,+0.0,PRANDI Barbara,86,REGGIO EVENT'S,6 se- 1,Modena,16/01/2005
11.55,+0.0,PRANDI Barbara,86,REGGIO EVENT'S,1 se- 1,Modena,22/01/2005
