Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
1:36.21,,"LUKUDO SF,CHIGBOLU SF,BAZZONI SF,SIRAGUSA SF",,C.S. ESERCITO,1 se- 4,Ancona,19/02/2017
1:36.36,,"ARCIONI SF,SPACCA SF,LATINI SF,BONGIORNI SF",,C.S. CARABINIERI SEZ. ATLETICA,2 se- 4,Ancona,19/02/2017
1:36.40,,"HOOPER PF,SPACCA SF,ARCIONI SF,GIOVANETTI SF",,G.S. FORESTALE,1 se- 5,Ancona,26/02/2012
1:36.55,,"GRILLO,SPACCA,GIOVANETTI,ARCIONI",,G.S. FORESTALE,1 se- 4,Torino,22/02/2009
1:36.88,,"BONGIORNI SF,SPACCA SF,LATINI SF,DI LAZZARO PF",,C.S. CARABINIERI SEZ. ATLETICA,1 se- 4,Ancona,18/02/2018
1:37.10,,"HOOPER PF,ARCIONI SF,BONGIORNI PF,SPACCA SF",,G.S. FORESTALE,1 se- 5,Ancona,23/02/2014
1:37.27,,"BAZZONI,MILANI,FERRANTE,GRAGLIA",,C.S. ESERCITO,1 se- 5,Genova,24/02/2008
1:37.49,,"GRILLO,ARCIONI,SPURI,NIEDERSTAETTER",,G.S. FORESTALE,2 se- 5,Genova,24/02/2008
1:37.72,,"DRAISCI SF,MARONE SF,DOVERI SF,BAZZONI SF",,C.S. ESERCITO,1 se- 4,Ancona,17/02/2013
1:37.78,,"BELLANOVA RIVOIR,REINA,BETTINI,CALI'",,G.S. FIAMME AZZURRE,3 se- 5,Genova,24/02/2008
1:37.80,,"DRAISCI SF,CHIGBOLU SF,LUKUDO PF,BAZZONI SF",,C.S. ESERCITO,1 se- 4,Padova,22/02/2015
1:38.01,,"DRAISCI SF,BAZZONI SF,LUKUDO PF,SIRAGUSA SF",,C.S. ESERCITO,1 se- 4,Ancona,06/03/2016
1:38.28,,"ARCIONI,SPACCA,GIOVANETTI,ARCIONI",,G.S. FORESTALE,1 se- 4,Ancona,28/02/2010
1:38.30,,"MELON PF,POLINARI PF,PEDRESCHI PF,PAVESE PF",,ATL. BS '50 METALLURG. S.MARCO,1 se- 3,Ancona,09/02/2020
1:38.38,,"GALIMBERTI PF,TASSANI JF,OBERTO PF,MAFFIOLETTI SF",,BRACCO ATLETICA,2 se- 4,Padova,22/02/2015
1:38.40,,"GRILLO,PANE,ARCIONI,SPACCA",,G.S. FORESTALE,1 se- 2,Ancona,18/02/2006
1:38.50,,"MAFFIOLETTI PF,SIRTOLI SF,FUGAZZA SF,D'ANGELO PF",,CAMELOT,1 se- 4,Ancona,20/02/2011
1:38.51,,"GRILLO,BOFFELLI,ARCIONI,SPACCA",,G.S. FORESTALE,1 se- 3,Ancona,18/02/2007
1:38.64,,"PEDRESCHI PF,NIOTTA PF,MELON PF,PAVESE PF",,ATL. BRESCIA 1950 ISPA GROUP,1 se- 3,Ancona,03/02/2019
1:38.85,,"DRAISCI SF,CHIGBOLU SF,PAOLETTA SF,MILANI SF",,C.S. ESERCITO,2 se- 5,Ancona,26/02/2012
1:39.00,,"TASSANI JF,MAZZA SF,GALIMBERTI PF,MAFFIOLETTI SF",,BRACCO ATLETICA,2 se- 4,Ancona,06/03/2016
1:39.03,,"SORDELLI,MAMBRETTI,ANELLO,SIRTOLI",,CAMELOT,2 se- 3,Ancona,18/02/2007
1:39.04,,"HOOPER PF,SPACCA SF,ARTUSO SF,BONGIORNI PF",,G.S. FORESTALE,2 se- 4,Ancona,17/02/2013
1:39.05,,"DE FAZIO JF,GERVASI SF,BATTAGLIA JF,PIANGERELLI SF",,ASD AUDACIA RECORD ATLETICA,2 se- 4,Ancona,20/02/2011
1:39.07,,"CALI',REINA,DI LORETO,ALLOH",,G.S. FIAMME AZZURRE,2 se- 4,Torino,22/02/2009
1:39.18,,"PISTONE,BAZZONI,DE CESARIS,GRAGLIA",,C.S. ESERCITO,3 se- 3,Ancona,18/02/2007
1:39.20,,"GHERARDI AF,TIRNETTA PF,SIMONELLI JF,GENTILI JF",,ATL.STUD. RIETI ANDREA MILARDI,1 se- 3,Ancona,18/02/2018
1:39.21,,"CAVALLERI PF,POLINARI PF,RODIANI PF,MELON PF",,ATL. BS '50 METALLURG. S.MARCO,1 se- 2,Ancona,07/02/2021
1:39.25,,"SPADOTTO SCOTT PF,TASSANI PF,MAFFIOLETTI SF,MOSETTI PF",,BRACCO ATLETICA,2 se- 4,Ancona,18/02/2018
1:39.50,,"PIERGALLINI PF,GUGLIELMI SF,GIOIA SF35,HERRERA ABREU PF",,ATL. BRESCIA 1950,3 se- 4,Ancona,06/03/2016
1:39.53,,"IEZZI Alessandra PF,BONORA Alessandra PF,BRUNETTI Alessia PF,DONATO Costanz",,BRACCO ATLETICA,1 se- 2,Ancona,06/02/2022
1:39.54,,"GERVASI,CECCARELLI,SMARGIASSI,GRAGLIA",,FONDIARIA - SAI ATLETICA,1 se- 3,Ancona,19/02/2005
1:39.56,,"PENNELLA,PIANGERELLI,DRAISCI,GRASSO",,FONDIARIA - SAI ATLETICA,3 se- 4,Torino,22/02/2009
1:39.58,,"GERVASI,ANELLO,RIVA,CECCARELLI",,FONDIARIA - SAI ATLETICA,2 se- 2,Ancona,18/02/2006
1:39.65,,"BURATTIN SF,TROIANI PF,TROIANI PF,TROIANI PF",,CUS PRO PATRIA MILANO,1 se- 3,Ancona,19/02/2017
1:39.66,,"GHERARDI AF,ALTIMARI SF,GENTILI JF,SIMONELLI JF",,ATL.STUD. RIETI ANDREA MILARDI,2 se- 3,Ancona,19/02/2017
