100+200+300+400
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
2:01.34,,"CAPPADONA M. AM,FAVARETTO S. AM,ZARA L. AM,AZZOLINA F. AM",,TREVISATLETICA,1 se- 1,Conegliano,23/04/2023
2:01.68,,"D'ANGELO PM,GALASSO SM,BALZANO PM,DE MARCO PM",,A.S.D. ATL. AGROPOLI,1 se- 2,Napoli,01/04/2023
2:03.25,,"DI NAPOLI PM,MARCONE JM,PASCALE SM,DE LEO PM",,A.S.D. C.U.S. NAPOLI,1 se- 1,Napoli,01/04/2023
2:04.17,,"RUGGIERO JM,DE NICOLA SM,DE NICOLA PM,PASTORE PM",,RUNNING CLUB NAPOLI,1 se- 4,Napoli,01/04/2023
2:04.35,,"DALL'ALBA N. AM,FRIVOLI N. AM,GEMO N. AM,VALLORTIGARA S. AM",,ATL.VICENTINA,2 se- 1,Conegliano,23/04/2023
2:04.51,,"SANNA SM,CERRI PM,MAMINO SM,GALLO PM",,ATL. MONDOVI'-ACQUA S.BERNARDO,1 su- 1,Fossano,16/04/2023
2:04.96,,"GITANO AM,JALLOW AM,INCORONATO AM,PORRICELLI JM",,ATLETICA LEGGERA PORTICI,2 se- 4,Napoli,01/04/2023
2:05.00,,"GRANERO SM,ROLFI AM,QUAGLIA SM,MASSA SM",,A.S.D. ATL. FOSSANO '75,2 su- 1,Fossano,16/04/2023
2:05.61,,"FONTANA AM,BONGIOANNI SM,POMPILI JM,CASTAGNOTTO PM",,A.S.D. ATLETICA ALBA,3 su- 1,Fossano,16/04/2023
2:06.11,,"MASUCCI JM,MELE AM,IULIANO SM,PETRETTI JM",,IDEATLETICA AURORA,2 se- 2,Napoli,01/04/2023
,(10)/2023
2:06.21,,"DE MIZIO JM,TARTAGLIA JM,TECCE JM,VICERE' JM",,LIBERTAS AMATORI ATLETICA LEGG,1 se- 3,Napoli,01/04/2023
2:06.29,,"BECCARIA AM,CERRI AM,FICANO AM,DELL'AGNOLA AM",,ATL. MONDOVI'-ACQUA S.BERNARDO,4 su- 1,Fossano,16/04/2023
2:06.64,,"LONGO SM55,CICCHETTI SM50,BUOMPRISCO AM,NOCERINO SM",,ASD NISSOLINO ATL. VIS NOVA SA,2 se- 1,Napoli,01/04/2023
2:07.12,,"MADONNA AM,DE MATTEO AM,COLELLA JM,MAIETTA JM",,ATLETICA MARCIANISE A.S.D,2 se- 3,Napoli,01/04/2023
2:07.12,,"VIANELLO S. AM,NAPOLETANO M. AM,GIACOBBE T. AM,BELLIN N. AM",,ASD ATLETICA BIOTEKNA,1 se- 3,Conegliano,23/04/2023
2:07.60,,"ORLANDO AM,INCORONATO AM,JALLOW AM,GITANO AM",,ATLETICA LEGGERA PORTICI,1 se- 2,Napoli,01/04/2023
2:08.25,,"BUSATTA A. AM,ZONTA F. AM,RETTORE G. AM,CORTESE G. AM",,G.S. FIAMME ORO PADOVA,3 se- 1,Conegliano,23/04/2023
2:08.28,,"VALLAURI AM,RE AM,OCLEPPO AM,DALMASSO AM",,A.S.D. ATLETICA ROATA CHIUSANI,5 su- 1,Fossano,16/04/2023
2:08.66,,"BARCHI SM60,PORTALATINI SM50,PELLONI SM45,BIANCHI SM45",,A.S. LA FRATELLANZA 1874,1 se- 1,Campi Bisenzio,28/05/2023
2:08.75,,"ERBACCI P. AM,COCCATO E. AM,DE POL M. AM,FLORI L. AM",,C.U.S. PADOVA,1 se- 2,Conegliano,23/04/2023
,(20)/2023
2:09.02,,"NICOTRA SM45,PRADELLA SM40,DE LUCA SM40,GUGLIELMINI SM35",,A.S. LA FRATELLANZA 1874,2 se- 1,Campi Bisenzio,28/05/2023
2:09.48,,"ACAMPA SM55,MORI SM45,FEDI SM40,FINELLI SM40",,ATLETICA GROSSETO BANCA TEMA,1 se- 3,Campi Bisenzio,28/05/2023
2:09.79,,"DELLA VEDOVA SM45,BIANCHI SM50,SALVADORI SM45,POLLICINO SM50",,TOSCANA ATLETICA JOLLY,2 se- 3,Campi Bisenzio,28/05/2023
2:10.26,,"GIUBILEI J. AM,OLIBONI A. AM,SPILLER S. AM,SANNA T. AM",,ATL. INSIEME VERONA,2 se- 2,Conegliano,23/04/2023
2:10.34,,"CINCINI SM,CASTALDO AM,GUIDA PM,DE FEIS AM",,ASD G.P. BUDOKAN CLUB PORTICI,3 se- 1,Napoli,01/04/2023
2:10.34,,"MOSOLE R. AM,ZEDDE A. AM,SPONCHIADO F. AM,PERISSINOTTO M. AM",,ATLETICA SAN BIAGIO,2 se- 3,Conegliano,23/04/2023
2:10.35,,"SANTIN M. AM,ALTINIER M. AM,DALL'ANTONIA E. AM,ROMAN A. AM",,ATL-ETICA SAN VENDEMIANO,3 se- 3,Conegliano,23/04/2023
2:12.01,,"SANTUCCI SM45,CASAGRANDE SM50,BALDONI SM45,CINQUEGRANA SM35",,A.S.ATHLON BASTIA,1 se- 2,Campi Bisenzio,28/05/2023
2:12.06,,"RUFFONI G. AM,MONTAGNER M. AM,ULIANA C. AM,PARO A. AM",,ATL-ETICA SAN VENDEMIANO,3 se- 2,Conegliano,23/04/2023
2:12.19,,"FORTUNATO SM50,FABRIS SM50,VIVIAN SM35,VIDALE SM40",,ATL.VICENTINA,2 se- 2,Campi Bisenzio,28/05/2023
,(30)/2023
2:12.83,,"DI STEFANO SM45,GRAVA SM45,NADALUTTI SM40,RIZZO SM35",,ATLETICA EDILMARKET SANDRIN,3 se- 1,Campi Bisenzio,28/05/2023
2:12.93,,"SANNINO AM,MARTIGNETTI AM,CECIO AM,SANTORO AM",,RUNNING CLUB NAPOLI,2 se- 2,Napoli,01/04/2023
2:12.99,,"PILO A. AM,BETTIN R. AM,ALBA G. AM,RANDON E. AM",,TREVISATLETICA,4 se- 1,Conegliano,23/04/2023
2:13.02,,"CAPITANIO AM,MANCINI AM,CALABRESE AM,TENGA AM",,LIBERTAS AMATORI ATLETICA LEGG,1 se- 1,Napoli,01/04/2023
2:14.11,,"TAFURI PM,MARIANO SM35,MARRUCCELLA SM,SALZANO DE LUNA PM",,A.P.D. AMATORI ATLETICA NAPOLI,3 se- 3,Napoli,01/04/2023
2:14.64,,"CEOLA SM60,SALVADOR SM50,BLASINA SM55,MANDICH SM50",,A.S.D. ATLETICA MASTER TRIESTE,1 se- 4,Campi Bisenzio,28/05/2023
2:15.49,,"VANZO SM55,INFORZATO SM55,CATTANI SM50,GIRARDELLO SM50",,ATL.VICENTINA,2 se- 4,Campi Bisenzio,28/05/2023
2:15.86,,"IACONELLI SM50,DI MAIO SM45,RASPI SM50,LASSI SM50",,SOC. ATL. VOLTERRA,4 se- 1,Campi Bisenzio,28/05/2023
2:15.96,,"RUGGIERO AM,VINACCIA AM,SCHIRRU AM,HEBERT AM",,GIANO SSD ARL,2 se- 1,Napoli,01/04/2023
2:15.96,,"AVERSA JM,AUTIERO JM,CAMPANILE AM,CAPUANO JM",,ASD ENTERPRISE SPORT & SERVICE,3 se- 2,Napoli,01/04/2023
,(40)/2023
2:16.10,,"ACCETTO SM,ACCETTO SM35,CERASUOLO SM35,DI GIORGIO VINCIGUERRA SM",,A. P. D.  HIPPOS CAMPI FLEGREI,4 se- 3,Napoli,01/04/2023
2:16.30,,"MANFREDI SM60,VASQUEZ JURADO SM55,PAOLINI SM50,CRINO' SM45",,A.S. LA FRATELLANZA 1874,3 se- 4,Campi Bisenzio,28/05/2023
2:16.41,,"PETRUNYAK PM,LICENZIATO PM,CUORVO JM,GRASSIA SM45",,RUNNING CLUB NAPOLI,3 se- 4,Napoli,01/04/2023
2:16.96,,"IUCOLANO AM,DI LORENZO AM,CAPONE AM,CIARDI AM",,ASD ENTERPRISE SPORT & SERVICE,3 se- 2,Napoli,01/04/2023
2:16.96,,"ROASIO AM,MOLINERI AM,PORRACCHIA JM,GARELLI AM",,A.S.D. ATLETICA CUNEO,6 su- 1,Fossano,16/04/2023
2:17.23,,"GIORDANO JM,CONTICELLI JM,SGAMBATI AM,COCUZZOLI PM",,GIANO SSD ARL,4 se- 1,Napoli,01/04/2023
2:17.23,,"FISCALE PM,CAPUTO JM,CARMELLINO JM,VINCIGUERRA JM",,ASD ARCA ATL.AVERSA A.AVERSANO,4 se- 2,Napoli,01/04/2023
2:17.32,,"GALLO JM,DE LUCIA SM35,ESPOSITO JM,MALAFRONTE AM",,A.S.D. ATL. AGROPOLI,5 se- 3,Napoli,01/04/2023
2:18.04,,"FUSI SM55,ROMANO SM55,PRATESI SM50,RIDI SM55",,TOSCANA ATLETICA JOLLY,4 se- 4,Campi Bisenzio,28/05/2023
2:18.44,,"DEYNAT SM50,LANZARA SM45,MUSCOLO SM50,SESSA SM50",,ASD NISSOLINO ATL. VIS NOVA SA,1 su- 1,Napoli,01/04/2023
,(50)/2023
2:18.88,,"GHI SM75,AMOROSO SM55,MARTIGNANI SM55,GALASSI SM50",,A.S. LA FRATELLANZA 1874,1 se- 5,Campi Bisenzio,28/05/2023
2:19.10,,"MASI SM55,BASTIANELLI SM55,DE GRANDIS SM50,DE SIMONE SM35",,ASD ATLETICA LA SBARRA,5 se- 1,Campi Bisenzio,28/05/2023
2:19.16,,"TANI SM55,SAMARITANI SM50,GAROFOLI SM50,MESSERI SM35",,ATLETICA LIVORNO,3 se- 3,Campi Bisenzio,28/05/2023
2:19.30,,"SASSO SM50,LUCE JM,LUCE SM,DI FILIPPO SM",,ASDATL. ISAURA VALLE DELL'IRNO,5 se- 2,Napoli,01/04/2023
2:19.36,,"COLANTONI SM45,LIBERATORE SM50,ROSARI SM50,CAMANGI SM45",,ASD OSTIA TRACK 'N FIELD,6 se- 1,Campi Bisenzio,28/05/2023
2:19.44,,"POSSAMAI M. AM,FOLEY L. AM,BIZ A. AM,FACCHETTI F. AM",,VITTORIO ATLETICA,5 se- 1,Conegliano,23/04/2023
2:19.66,,"MARIANI SM40,GHIDETTI SM60,TEODORI SM40,POETA SM50",,A.ATL. FABRIANO,3 se- 2,Campi Bisenzio,28/05/2023
2:19.85,,"FERRARA AM,DI MARE AM,LOPES AM,MAIONE AM",,RUNNING CLUB NAPOLI,4 se- 2,Napoli,01/04/2023
2:20.14,,"PORRECA SM55,TAMBURINI SM60,ZAMAGNI SM60,MANGANO SM50",,ATLETICA SANTAMONICA MISANO,2 se- 5,Campi Bisenzio,28/05/2023
2:21.16,,"D'ORLANDO PM,FATIGATI AM,ROMANO SM,SALTALAMACCHIA AM",,A.S.D. ATLETICA VIRGILIANO,6 se- 3,Napoli,01/04/2023
,(60)/2023
2:21.24,,PULVIRENTI MARIO - CAFFO - ANGELO - BARBAGALLO GABRIELE ALFIO - SPADARO FRA,,ATLETICA VIRTUS ACIREALE,1 su- 1,Catania,04/03/2023
2:22.02,,"BADIN M. AM,FRASSON M. AM,MARTIGNON F. AM,DROANCA C. AM",,ATLETICA LIB. S.A.N.P.,4 se- 3,Conegliano,23/04/2023
2:22.44,,"FASSONE SM60,RUGGERI SM40,IACOPONI SM50,CANTERI SM35",,A.S.D.  ATL. VILLA GUGLIELMI,4 se- 3,Campi Bisenzio,28/05/2023
2:25.03,,DI PRIMA ANGELO - ARENA THOMAS LA PENTA DARIO - RAPISARDA SANTO,,A.S.D. NISSOLINO SAL CATANIA,2 su- 1,Catania,04/03/2023
2:25.49,,"PESARESI SM60,PARI SM50,TOMBINI SM40,MONTANARI SM35",,ATLETICA SANTAMONICA MISANO,5 se- 3,Campi Bisenzio,28/05/2023
2:25.77,,"BOTTEGA SM60,DEL PRETE SM55,BRISOTTO SM60,SCHIAVON SM60",,ASD ATLETICA BIOTEKNA,3 se- 5,Campi Bisenzio,28/05/2023
2:26.61,,"ADDEO JM,KALUTARA KANIKANAMALAGE JM,MASINI SM,BORRELLI PM",,A.P.D. AMATORI ATLETICA NAPOLI,5 se- 1,Napoli,01/04/2023
2:26.63,,"DI FRANCO SM,GUGLIELMELLI SM50,MILANO AM,DE PONTE PM",,RUNNING CLUB NAPOLI,4 se- 4,Napoli,01/04/2023
2:29.20,,"SPINA SM65,SALVATORI SM50,BUGIARDINI SM75,TIFI SM60",,S.E.F. MACERATA,4 se- 5,Campi Bisenzio,28/05/2023
2:30.54,,"PICARONE SM,FASULO JM,CAMMARDELLA AM,MANGANO SM",,A.S.D. CARMAX CAMALDOLESE,5 se- 4,Napoli,01/04/2023
,(70)/2023
2:30.54,,"ZANARDO SM75,SANDRIN SM80,POLESELLO SM55,GASPAROTTO SM45",,ATLETICA EDILMARKET SANDRIN,5 se- 4,Campi Bisenzio,28/05/2023
2:31.14,,DI MARCO ANTONINO GABRIELE - FERRAROTTO ALESSANDRO - VODA COSMIN - BORZI SA,,ASD ALTIS ATHLETICS,3 su- 1,Catania,04/03/2023
2:33.18,,"ROSSETTI SM70,ROSSI SM70,MARGUTTI SM60,ALBERTI SM50",,A.S.ATHLON BASTIA,6 se- 4,Campi Bisenzio,28/05/2023
2:33.96,,"STACCHIOTTI VEROLI SM50,SILVI SM45,CRISTOFANETTI SM50,MONZANI SM40",,ATLETICA OSIMO,4 se- 2,Campi Bisenzio,28/05/2023
2:34.16,,"DI SALVO SM65,VACCHIANO SM55,VETRANO SM50,CURCIO SM40",,A. P. D.  HIPPOS CAMPI FLEGREI,2 su- 1,Napoli,01/04/2023
2:39.04,,"CUCCU SM70,MISCIOSCIA SM70,BROGI SM55,PANARO SM65",,A.S.D.  C.U.S. GENOVA,7 se- 4,Campi Bisenzio,28/05/2023
2:42.95,,"FALLI SM75,ROSSI SM70,FATTORI SM70,SBALCHIERO SM60",,ASSI GIGLIO ROSSO FIRENZE,1 se- 6,Campi Bisenzio,28/05/2023
2:43.34,,"GIACOMAZZI SM70,SANTINI SM55,PISON SM55,PALMA SM60",,ATL.VICENTINA,5 se- 5,Campi Bisenzio,28/05/2023
2:45.89,,"FORTE SM70,COCO SM65,VARI INZUCCHI SM70,RAPACCIONI SM65",,ASD ROMATLETICA,2 se- 6,Campi Bisenzio,28/05/2023
2:46.47,,"CALONI SM65,RICCITELLI SM60,ZAZZA SM55,MARTINI SM55",,ASD TALENTI RUNNING TEAM ROMA,6 se- 5,Campi Bisenzio,28/05/2023
,(80)/2023
2:50.97,,"D'ANNIBALE SM70,DEL MAESTRO SM60,SCARPETTA SM70,DI SESSA SM50",,ASD ATLETICA PISTOIA,7 se- 5,Campi Bisenzio,28/05/2023
2:57.30,,"ERMINI SM50,FAIS SM50,VALDIFIORI SM75,PRATI SM65",,ATL. ENDAS  CESENA,8 se- 5,Campi Bisenzio,28/05/2023
2:59.89,,"POTENTE SM55,MANZELLA SM60,CARBONE SM60,MAIALE SM60",,ASD ARCA ATL.AVERSA A.AVERSANO,3 su- 1,Napoli,01/04/2023
3:00.46,,"PERRETTA SM55,GAUDIO SM50,BASILIO SM45,SORRENTINO SM65",,ASD ARCA ATL.AVERSA A.AVERSANO,4 su- 1,Napoli,01/04/2023
3:02.65,,"MAZZETTO SM90,VOGLIOTTI SM80,POVERO SM65,MERLO SM55",,S.S. VITTORIO ALFIERI ASTI,3 se- 6,Campi Bisenzio,28/05/2023
3:06.69,,"ATTOLICO SM70,PERAGINE SM75,CAPRARELLA SM65,GRANDE SM65",,PEDONE-RICCARDI BISCEGLIE,4 se- 6,Campi Bisenzio,28/05/2023
3:17.34,,"GIANNONE SM80,MARINI SM70,GORETTI SM70,PASSALACQUA SM60",,ASD TRACK & FIELD MASTER GROSS,5 se- 6,Campi Bisenzio,28/05/2023
3:27.32,,"MARCHIONI SM85,FEROCI SM70,GIUNTINI SM75,PAIS SM60",,ASD ATLETICA PISTOIA,6 se- 6,Campi Bisenzio,28/05/2023
3:38.14,,"CANNATA SM75,STRANO SM75,STRANO SM70,CACCIATORE SM70",,A.S. DIL. LIB. RUNNING MODICA,7 se- 6,Campi Bisenzio,28/05/2023
