2000 siepi H91
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
5:29.26,,ZOGHLAMI Osama,94,C.S. AERONAUTICA MILITARE,1 su- 1,Pliezhausen,14/05/2023
5:32.24,,ZOGHLAMI Ala,94,G.S. FIAMME ORO PADOVA,2 su- 1,Pliezhausen,14/05/2023
6:03.3,,BONAN Marco,00,U.S. QUERCIA,1 su- 1,Belluno,26/04/2023
6:43.0,,BOUDALIA Hisham,05,GS LA PIAVE 2000,2 su- 1,Belluno,26/04/2023
5:29.26,,ZOGHLAMI Osama,94,C.S. AERONAUTICA MILITARE,1 su- 1,Pliezhausen,14/05/2023
5:32.24,,ZOGHLAMI Ala,94,G.S. FIAMME ORO PADOVA,2 su- 1,Pliezhausen,14/05/2023
6:03.3,,BONAN Marco,00,U.S. QUERCIA,1 su- 1,Belluno,26/04/2023
6:43.0,,BOUDALIA Hisham,05,GS LA PIAVE 2000,2 su- 1,Belluno,26/04/2023
5:29.26,,ZOGHLAMI Osama,94,C.S. AERONAUTICA MILITARE,1 su- 1,Pliezhausen,14/05/2023
5:32.24,,ZOGHLAMI Ala,94,G.S. FIAMME ORO PADOVA,2 su- 1,Pliezhausen,14/05/2023
6:03.3,,BONAN Marco,00,U.S. QUERCIA,1 su- 1,Belluno,26/04/2023
6:43.0,,BOUDALIA Hisham,05,GS LA PIAVE 2000,2 su- 1,Belluno,26/04/2023
5:29.26,,ZOGHLAMI Osama,94,C.S. AERONAUTICA MILITARE,1 su- 1,Pliezhausen,14/05/2023
5:32.24,,ZOGHLAMI Ala,94,G.S. FIAMME ORO PADOVA,2 su- 1,Pliezhausen,14/05/2023
6:03.3,,BONAN Marco,00,U.S. QUERCIA,1 su- 1,Belluno,26/04/2023
6:43.0,,BOUDALIA Hisham,05,GS LA PIAVE 2000,2 su- 1,Belluno,26/04/2023
5:29.26,,ZOGHLAMI Osama,94,C.S. AERONAUTICA MILITARE,1 su- 1,Pliezhausen,14/05/2023
5:32.24,,ZOGHLAMI Ala,94,G.S. FIAMME ORO PADOVA,2 su- 1,Pliezhausen,14/05/2023
6:03.3,,BONAN Marco,00,U.S. QUERCIA,1 su- 1,Belluno,26/04/2023
6:43.0,,BOUDALIA Hisham,05,GS LA PIAVE 2000,2 su- 1,Belluno,26/04/2023
