24h  corsa su strada
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
210.732,,FRANCESCATO Francesco,76,BERGAMO STARS ATLETICA,1 su- 1,Venezia,15/04/2023
198.823,,MARTIGNONI Massimiliano,70,ATL. SAN MARCO U.S. ACLI,1 su- 1,Venezia,15/04/2023
191.109,,MOREGOLA Attilio,67,ASD OLL SCARS,1 su- 1,Venezia,15/04/2023
188.095,,TALLARITA Antonio,60,ATLETICA LICATA,1 su- 1,Venezia,15/04/2023
187.651,,SEVERINI Fabrizio,64,GROTTINI TEAM RECANATI ASD,2 su- 1,Venezia,15/04/2023
182.424,,PASQUARIELLO Benito,83,BERGAMO STARS ATLETICA,1 su- 1,Venezia,15/04/2023
180.910,,FURLAN Alberto,77,ASD ATLETICA BIOTEKNA,2 su- 1,Venezia,15/04/2023
174.682,,BUCCIOL Marco,70,ASD ATLETICA BIOTEKNA,2 su- 1,Venezia,15/04/2023
174.475,,BUSETTI Fabio,74,ASD AVIS OGGIONO,3 su- 1,Venezia,15/04/2023
172.651,,TIOZZO Andrea,81,A.S.D. ESCAPE TEAM VIGEVANO,2 su- 1,Venezia,15/04/2023
,(10)/2023
171.624,,TOSI Moris,74,VENICEMARATHON SSD A R.L.,4 su- 1,Venezia,15/04/2023
167.465,,MARZOLI Maurizio,67,BERGAMO STARS ATLETICA,3 su- 1,Venezia,15/04/2023
165.720,,CONARDI Davide,75,ASD ATLETICA BIOTEKNA,5 su- 1,Venezia,15/04/2023
164.089,,MARANGON Tiziano,78,VENICEMARATHON SSD A R.L.,6 su- 1,Venezia,15/04/2023
163.414,,DRAGO Daniele,59,VENICEMARATHON SSD A R.L.,2 su- 1,Venezia,15/04/2023
163.132,,ZANNI Massimo,53,S.E.F. STAMURA ANCONA A.S.D.,1 su- 1,Venezia,15/04/2023
163.110,,BRIGO Marco,75,ASSINDUSTRIA SPORT,7 su- 1,Venezia,15/04/2023
163.091,,RUBRINI Michele,78,VENICEMARATHON SSD A R.L.,8 su- 1,Venezia,15/04/2023
161.182,,MILONE Alessandro,66,BERGAMO STARS ATLETICA,4 su- 1,Venezia,15/04/2023
154.519,,ZAMUNER Francesco,72,ASD OLL SCARS,3 su- 1,Venezia,15/04/2023
,(20)/2023
150.681,,MASIERO Domenico,66,RUNNING TEAM MESTRE,5 su- 1,Venezia,15/04/2023
149.256,,RUFFONI Andrea,70,VENICEMARATHON SSD A R.L.,4 su- 1,Venezia,15/04/2023
148.742,,DE VIVO Vero,76,A.S.D. RUNNING SAVIANO,9 su- 1,Venezia,15/04/2023
147.894,,GENOVESE Roberto,64,RUNNING TEAM MESTRE,6 su- 1,Venezia,15/04/2023
146.492,,AMBROSINI Luca,84,G.P. TURRISTI MONTEGROTTO,1 su- 1,Venezia,15/04/2023
145.341,,GALFIONE Domenico,52,ASD ATLETICA RACCONIGI,2 su- 1,Venezia,15/04/2023
143.881,,SILVA Vittorio,86,ATL. FRANCIACORTA OXYBURN,2 su- 1,Venezia,15/04/2023
143.429,,SANTONI Fabio,77,"9,92 RUNNING ASD",10 su- 1,Venezia,15/04/2023
141.645,,SMEDILE Corrado,75,RUNNING TEAM MESTRE,11 su- 1,Venezia,15/04/2023
139.393,,CHINELLATO Reginaldo,58,RUNNING TEAM MESTRE,1 su- 1,Venezia,15/04/2023
,(30)/2023
