300 Hs H 76
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
51.22,,FRANCO Marco,63,ATLETICA GALLIERA VENETA,1 su- 1,Monselice,04/06/2023
52.31,,FASCE Luciano,60,A.S.D.  C.U.S. GENOVA,1 su- 1,Acireale,23/06/2023
52.97,,LUMACA Sergio,60,ASD ROMATLETICA,1 su- 1,Colleferro,11/06/2023
54.34,,RAPACCIONI Claudio,54,ASD ROMATLETICA,2 su- 1,Colleferro,11/06/2023
54.61,,RAPACCIONI Claudio,54,ASD ROMATLETICA,1 su- 1,Acireale,23/06/2023
55.37,,FRANZ Claudio,62,NUOVA ATLETICA DAL FRIULI,2 su- 1,Monselice,04/06/2023
56.15,,BOTTAN Antonio,62,ATLETICA SAN BIAGIO,3 su- 1,Monselice,04/06/2023
58.07,,MASSARI Marco,56,CUS BARI,2 su- 1,Acireale,23/06/2023
59.35,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,3 su- 1,Acireale,23/06/2023
59.79,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,1 su- 1,Avellino,02/07/2023
,(10)/2023
51.22,,FRANCO Marco,63,ATLETICA GALLIERA VENETA,1 su- 1,Monselice,04/06/2023
52.31,,FASCE Luciano,60,A.S.D.  C.U.S. GENOVA,1 su- 1,Acireale,23/06/2023
52.97,,LUMACA Sergio,60,ASD ROMATLETICA,1 su- 1,Colleferro,11/06/2023
54.34,,RAPACCIONI Claudio,54,ASD ROMATLETICA,2 su- 1,Colleferro,11/06/2023
54.61,,RAPACCIONI Claudio,54,ASD ROMATLETICA,1 su- 1,Acireale,23/06/2023
55.37,,FRANZ Claudio,62,NUOVA ATLETICA DAL FRIULI,2 su- 1,Monselice,04/06/2023
56.15,,BOTTAN Antonio,62,ATLETICA SAN BIAGIO,3 su- 1,Monselice,04/06/2023
58.07,,MASSARI Marco,56,CUS BARI,2 su- 1,Acireale,23/06/2023
59.35,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,3 su- 1,Acireale,23/06/2023
59.79,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,1 su- 1,Avellino,02/07/2023
,(10)/2023
51.22,,FRANCO Marco,63,ATLETICA GALLIERA VENETA,1 su- 1,Monselice,04/06/2023
52.31,,FASCE Luciano,60,A.S.D.  C.U.S. GENOVA,1 su- 1,Acireale,23/06/2023
52.97,,LUMACA Sergio,60,ASD ROMATLETICA,1 su- 1,Colleferro,11/06/2023
54.34,,RAPACCIONI Claudio,54,ASD ROMATLETICA,2 su- 1,Colleferro,11/06/2023
54.61,,RAPACCIONI Claudio,54,ASD ROMATLETICA,1 su- 1,Acireale,23/06/2023
55.37,,FRANZ Claudio,62,NUOVA ATLETICA DAL FRIULI,2 su- 1,Monselice,04/06/2023
56.15,,BOTTAN Antonio,62,ATLETICA SAN BIAGIO,3 su- 1,Monselice,04/06/2023
58.07,,MASSARI Marco,56,CUS BARI,2 su- 1,Acireale,23/06/2023
59.35,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,3 su- 1,Acireale,23/06/2023
59.79,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,1 su- 1,Avellino,02/07/2023
,(10)/2023
51.22,,FRANCO Marco,63,ATLETICA GALLIERA VENETA,1 su- 1,Monselice,04/06/2023
52.31,,FASCE Luciano,60,A.S.D.  C.U.S. GENOVA,1 su- 1,Acireale,23/06/2023
52.97,,LUMACA Sergio,60,ASD ROMATLETICA,1 su- 1,Colleferro,11/06/2023
54.34,,RAPACCIONI Claudio,54,ASD ROMATLETICA,2 su- 1,Colleferro,11/06/2023
54.61,,RAPACCIONI Claudio,54,ASD ROMATLETICA,1 su- 1,Acireale,23/06/2023
55.37,,FRANZ Claudio,62,NUOVA ATLETICA DAL FRIULI,2 su- 1,Monselice,04/06/2023
56.15,,BOTTAN Antonio,62,ATLETICA SAN BIAGIO,3 su- 1,Monselice,04/06/2023
58.07,,MASSARI Marco,56,CUS BARI,2 su- 1,Acireale,23/06/2023
59.35,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,3 su- 1,Acireale,23/06/2023
59.79,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,1 su- 1,Avellino,02/07/2023
,(10)/2023
51.22,,FRANCO Marco,63,ATLETICA GALLIERA VENETA,1 su- 1,Monselice,04/06/2023
52.31,,FASCE Luciano,60,A.S.D.  C.U.S. GENOVA,1 su- 1,Acireale,23/06/2023
52.97,,LUMACA Sergio,60,ASD ROMATLETICA,1 su- 1,Colleferro,11/06/2023
54.34,,RAPACCIONI Claudio,54,ASD ROMATLETICA,2 su- 1,Colleferro,11/06/2023
54.61,,RAPACCIONI Claudio,54,ASD ROMATLETICA,1 su- 1,Acireale,23/06/2023
55.37,,FRANZ Claudio,62,NUOVA ATLETICA DAL FRIULI,2 su- 1,Monselice,04/06/2023
56.15,,BOTTAN Antonio,62,ATLETICA SAN BIAGIO,3 su- 1,Monselice,04/06/2023
58.07,,MASSARI Marco,56,CUS BARI,2 su- 1,Acireale,23/06/2023
59.35,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,3 su- 1,Acireale,23/06/2023
59.79,,DE BELLIS Giovanni,55,LIBERTAS AMATORI ATLETICA LEGG,1 su- 1,Avellino,02/07/2023
,(10)/2023
