3000 metri
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
7:47.88,,CRIPPA Yemaneberhan,96,G.S. FIAMME ORO PADOVA,1 su- 1,Pergine Valsugana,17/06/2023
7:54.55,,NDIKUMANA Celestin,02,A.S.D. ATLETICA FUTURA ROMA,3 su- 1,Pergine Valsugana,17/06/2023
7:58.09,,PAROLINI Sebastiano,98,G. ALPINISTICO VERTOVESE,1 se- 1,Rodengo Saiano,17/05/2023
7:58.15,,ZINOUBI Saber,03,ATL. VALLECAMONICA,2 se- 1,Rodengo Saiano,17/05/2023
7:59.98,,PAROLINI Sebastiano,98,G. ALPINISTICO VERTOVESE,8 su- 1,Nembro,01/07/2023
8:00.37,,BAYBAT Mohammed,96,CIRCOLO MINERVA ASD,1 se- 1,Modena,14/06/2023
8:00.42,,DE MARCHI Jacopo,98,C.S. ESERCITO,8 su- 1,Grosseto,27/05/2023
8:01.50,,GUERRA Francesco,01,C.S. CARABINIERI SEZ. ATLETICA,9 su- 1,Nembro,01/07/2023
8:02.05,,OUHDA Ahmed,97,ASD IMPERIALI ATLETICA,10 su- 1,Nembro,01/07/2023
8:03.94,,GATTO Giovanni,99,U.S. QUERCIA,3 se- 1,Rodengo Saiano,17/05/2023
,(10)/2023
8:04.82,,AOUANI Iliass,95,G.S. FIAMME AZZURRE,12 su- 1,Nembro,01/07/2023
8:05.52,,PAGLIONE Leo,91,GRUPPO SPORTIVO VIRTUS,13 su- 1,Nembro,01/07/2023
8:05.94,,MONDAZZI Alberto,98,ATL. CASONE NOCETO,1 se- 3,Alzano Lombardo,24/05/2023
8:06.10,,KIRWA Geoffrey kipkemboi,99,ACSI CAMPIDOGLIO PALATINO,1 se- 1,Mondovi,02/06/2023
8:06.58,,ZERRAD Mohamed,93,ASD ATL. VOMANO,2 se- 1,Mondovi,02/06/2023
8:06.66,,SELVAROLO Pasquale,99,G.S. FIAMME AZZURRE,4 se- 1,Rodengo Saiano,17/05/2023
8:07.91,,MONDAZZI Alberto,98,ATL. CASONE NOCETO,15 su- 1,Nembro,01/07/2023
8:10.90,,STEFFANONI Saverio,99,CUS INSUBRIA VARESE COMO,5 se- 1,Rodengo Saiano,17/05/2023
8:11.30,,MAGGI Konjoneh,03,ATL. LECCO-COLOMBO COSTRUZ.,1 se- 4,Azzano San Paolo,06/06/2023
8:11.65,,BARDEA Matteo,03,ATL. VALLE BREMBANA,6 se- 1,Rodengo Saiano,17/05/2023
,(20)/2023
8:12.37,,ODDONE Enrico martino,98,ATLETICA GIO' 22 RIVERA,7 se- 1,Rodengo Saiano,17/05/2023
8:13.01,,RIBATTI Andrea,04,ASD IMPERIALI ATLETICA,1 se- 2,Rodengo Saiano,17/05/2023
8:14.13,,CASINI Marco,99,DELTA ATL. SASSUOLO,8 se- 1,Rodengo Saiano,17/05/2023
8:14.34,,MAGRI Luca,90,LA RECASTELLO RADICI GROUP,2 se- 2,Rodengo Saiano,17/05/2023
8:14.35,,SPETTOLI Luciano,01,ATL. ALESSANDRIA,9 se- 1,Rodengo Saiano,17/05/2023
8:14.62,,BRUNIER Lorenzo,96,G.P. PARCO ALPI APUANE,3 se- 2,Rodengo Saiano,17/05/2023
8:14.74,,LOSS Nikolas,01,ATLETICA VALLE DI CEMBRA,10 se- 1,Rodengo Saiano,17/05/2023
8:14.96,,BENZONI Stefano,04,ATL. VALLE BREMBANA,11 se- 1,Rodengo Saiano,17/05/2023
8:16.25,,BELGHITI Mustafa',98,A.S.D. DINAMO SPORT,12 se- 1,Rodengo Saiano,17/05/2023
8:17.47,,TOGNI Manuel,94,ATL. VALLE BREMBANA,13 se- 1,Rodengo Saiano,17/05/2023
,(30)/2023
8:18.28,,MARTELLATO Riccardo,00,ASSINDUSTRIA SPORT,14 se- 1,Rodengo Saiano,17/05/2023
8:19.22,,ZANINI Manuel,06,ATL. GAVIRATE,4 se- 2,Rodengo Saiano,17/05/2023
8:19.39,,CECERE Stefano,03,ATL.AM. CISTERNINO ECOLSERVIZI,15 se- 1,Rodengo Saiano,17/05/2023
8:20.21,,RICCIARDI Luis matteo,93,ATL. IMOLA SACMI AVIS,1 se- 1,Bologna,06/06/2023
8:20.72,,CASINI Marco,99,DELTA ATL. SASSUOLO,2 se- 1,Bologna,06/06/2023
8:20.76,,GRIECO Vincenzo,99,ATL. CASTELLO,1 se- 1,Pontedera,05/07/2023
8:20.83,,VALDUGA Simone,04,U.S. QUERCIA,16 se- 1,Rodengo Saiano,17/05/2023
8:20.83,,FARRONATO Daniele,97,TREVISATLETICA,5 se- 2,Rodengo Saiano,17/05/2023
8:20.94,,MOROTTI Alessandro,04,ATL. BERGAMO 1959 ORIOCENTER,17 se- 1,Rodengo Saiano,17/05/2023
8:21.20,,SOFFIENTINI Andrea,88,A.S.D. DINAMO SPORT,18 se- 1,Rodengo Saiano,17/05/2023
,(40)/2023
