80 Hs H 68.6
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
20.26,-0.9,SOFIA Alberto,41,CUS BARI,1 su- 1,Acireale,23/06/2023
22.34,-0.9,CICCHELLI Silvino,43,ASD 'VINI FANTINI',2 su- 1,Acireale,23/06/2023
20.26,-0.9,SOFIA Alberto,41,CUS BARI,1 su- 1,Acireale,23/06/2023
22.34,-0.9,CICCHELLI Silvino,43,ASD 'VINI FANTINI',2 su- 1,Acireale,23/06/2023
20.26,-0.9,SOFIA Alberto,41,CUS BARI,1 su- 1,Acireale,23/06/2023
22.34,-0.9,CICCHELLI Silvino,43,ASD 'VINI FANTINI',2 su- 1,Acireale,23/06/2023
20.26,-0.9,SOFIA Alberto,41,CUS BARI,1 su- 1,Acireale,23/06/2023
22.34,-0.9,CICCHELLI Silvino,43,ASD 'VINI FANTINI',2 su- 1,Acireale,23/06/2023
20.26,-0.9,SOFIA Alberto,41,CUS BARI,1 su- 1,Acireale,23/06/2023
22.34,-0.9,CICCHELLI Silvino,43,ASD 'VINI FANTINI',2 su- 1,Acireale,23/06/2023
