Corsa strada Km 10
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
28:02,,CRIPPA Yemaneberhan,96,G.S. FIAMME ORO PADOVA,1 su- 1,Monza,14/05/2023
28:04,,NDIKUMANA Celestin,02,A.S.D. ATLETICA FUTURA ROMA,2 su- 1,Arezzo,28/05/2023
28:27,,GHEBREHIWET FANIEL Eyob,92,G.S. FIAMME ORO PADOVA,1 su- 1,Manchester,21/05/2023
28:47,,JAAFARI Badr,98,ATL. CASONE NOCETO,2 su- 1,Monza,14/05/2023
28:47,,NDIKUMANA Celestin,02,A.S.D. ATLETICA FUTURA ROMA,2 su- 1,Trieste,21/05/2023
28:49,,CHIAPPINELLI Yohanes,97,C.S. CARABINIERI SEZ. ATLETICA,37 su- 1,Valencia,15/01/2023
28:51,,SELVAROLO Pasquale,99,G.S. FIAMME AZZURRE,1 su- 1,Oderzo,01/05/2023
29:12,,LOLKURRARU Lengen,90,PEGARUN A.S.D.,1 su- 1,Muggia,23/04/2023
29:13,,CHIAPPINELLI Yohanes,97,C.S. CARABINIERI SEZ. ATLETICA,2 su- 1,Oderzo,01/05/2023
29:15,,CHEVRIER Xavier,90,ATL. VALLI BERGAMASCHE LEFFE,1 su- 1,Vicenza,19/03/2023
,(10)/2023
29:17,,CUNEO Ademe,98,ATL. CASONE NOCETO,8 su- 1,Arezzo,28/05/2023
29:20,,RAZINE Marouan,91,C.S. ESERCITO,3 su- 1,Oderzo,01/05/2023
29:20,,EL FATHAOUI Yassine,82,CIRCOLO MINERVA ASD,9 su- 1,Arezzo,28/05/2023
29:20,,GERRATANA Giuseppe,92,C.S. AERONAUTICA MILITARE,2 su- 1,Telese Terme,18/06/2023
29:21,,LOITANYANG Simon kibet,94,U. P.POLICIANO AREZZO ATLETICA,10 su- 1,Arezzo,28/05/2023
29:21,,MEUCCI Daniele,85,C.S. ESERCITO,3 su- 1,Telese Terme,18/06/2023
29:28,,CHEVRIER Xavier,90,ATL. VALLI BERGAMASCHE LEFFE,2 se- 1,Torino,16/04/2023
29:28,,RACHIK Yassine,93,G.S. FIAMME ORO PADOVA,4 su- 1,Trieste,21/05/2023
29:28,,CRIPPA Nekagenet,94,C.S. ESERCITO,4 su- 1,Telese Terme,18/06/2023
29:29,,CRIPPA Nekagenet,94,C.S. ESERCITO,5 su- 1,Oderzo,01/05/2023
,(20)/2023
29:29,,EL FATHAOUI Yassine,82,CIRCOLO MINERVA ASD,5 su- 1,Telese Terme,18/06/2023
29:30,,SELVAROLO Pasquale,99,G.S. FIAMME AZZURRE,1 su- 1,Canosa Di Puglia,26/03/2023
29:31,,VECCHI Enrico,00,ATL. RODENGO SAIANO MICO,6 su- 1,Oderzo,01/05/2023
29:32,,VENDER Alberto,96,DINAMO TEAM SSD ARL,18 su- 1,Lille,19/03/2023
29:32,,ZINOUBI Saber,03,ATL. VALLECAMONICA,1 su- 1,Bergamo,16/04/2023
29:32,,MAIYO Rodgers,93,ATL BRUGNERA PN FRIULINTAGLI,11 su- 1,Arezzo,28/05/2023
29:35,,GATTO Giovanni,99,U.S. QUERCIA,2 su- 1,Vicenza,19/03/2023
29:35,,BAMOUSSA Abdoullah,86,ATL BRUGNERA PN FRIULINTAGLI,2 su- 1,Muggia,23/04/2023
29:37,,FARRONATO Daniele,97,TREVISATLETICA,3 su- 1,Vicenza,19/03/2023
29:37,,NZIKWINKUNDA Onesphore,97,ASD SICILIA RUNNING TEAM,12 su- 1,Arezzo,28/05/2023
,(30)/2023
29:38,,COSTA Isacco,99,LA RECASTELLO RADICI GROUP,4 su- 1,Vicenza,19/03/2023
29:39,,JAAFARI Badr,98,ATL. CASONE NOCETO,1 su- 1,Misano Adriatico,26/02/2023
29:39,,RAZINE Marouan,91,C.S. ESERCITO,2 su- 1,Bergamo,16/04/2023
29:42,,ODDONE Enrico martino,98,ATLETICA GIO' 22 RIVERA,14 ex- 1,Nizza,08/01/2023
29:42,,MAESTRI Cesare,93,ATL. VALLI BERGAMASCHE LEFFE,3 su- 1,Bergamo,16/04/2023
29:42,,RAILEANU Maxim,94,CAIVANO RUNNERS,7 su- 1,Oderzo,01/05/2023
29:42,,RAZINE Marouan,91,C.S. ESERCITO,3 su- 1,Monza,14/05/2023
29:45,,CAVAGNA Alain,01,ATL. VALLE BREMBANA,4 su- 1,Bergamo,16/04/2023
29:46,,CAVAGNA Nadir,95,G.S. FIAMME AZZURRE,5 su- 1,Bergamo,16/04/2023
29:46,,MAGRI Luca,90,LA RECASTELLO RADICI GROUP,6 su- 1,Bergamo,16/04/2023
,(40)/2023
29:47,,EL MAZOURY Ahmed,90,LA RECASTELLO RADICI GROUP,5 su- 1,Vicenza,19/03/2023
29:50,,SARZILLA Michele,88,CUS INSUBRIA VARESE COMO,7 su- 1,Bergamo,16/04/2023
29:56,,MAGRI Luca,90,LA RECASTELLO RADICI GROUP,6 su- 1,Vicenza,19/03/2023
29:56,,CAVAGNA Alain,01,ATL. VALLE BREMBANA,9 su- 1,Oderzo,01/05/2023
29:57,,GIUDICI Marco,95,SPORT PROJECT VCO,3 su- 1,Torino,16/04/2023
29:57,,SELVAROLO Pasquale,99,G.S. FIAMME AZZURRE,6 su- 1,Telese Terme,18/06/2023
29:58,,DONE' Riccardo,95,ATLETICA MOGLIANO,7 su- 1,Vicenza,19/03/2023
30:00,,FONTANA Michele,91,C.S. AERONAUTICA MILITARE,4 su- 1,Monza,14/05/2023
30:04,,BAMOUSSA Abdoullah,86,ATL BRUGNERA PN FRIULINTAGLI,10 su- 1,Oderzo,01/05/2023
30:05,,FARRONATO Daniele,97,TREVISATLETICA,11 su- 1,Oderzo,01/05/2023
,(50)/2023
30:06,,MAIYO Rodgers,93,ATL BRUGNERA PN FRIULINTAGLI,3 su- 1,Muggia,23/04/2023
30:09,,BELGHITI Mustafa',98,A.S.D. DINAMO SPORT,8 su- 1,Vicenza,19/03/2023
30:10,,PELLEGRINI Pietro,01,ATLETICA FIRENZE MARATHON S.S.,9 su- 1,Vicenza,19/03/2023
30:10,,VECCHI Enrico,00,ATL. RODENGO SAIANO MICO,1 su- 1,Orzinuovi,26/03/2023
30:11,,SONZOGNI Pietro,94,ATL. VALLE BREMBANA,1 su- 1,Bergamo,05/02/2023
30:11,,MEUCCI Daniele,85,C.S. ESERCITO,15 su- 1,Arezzo,28/05/2023
30:11,,BUKURU Jean marie,02,ATLETICA SALUZZO,16 su- 1,Arezzo,28/05/2023
30:13,,BOTTEON Andrea,04,VITTORIO ATLETICA,10 su- 1,Vicenza,19/03/2023
30:13,,MEUCCI Daniele,85,C.S. ESERCITO,1 su- 1,Treviso,02/06/2023
30:14,,DE MARCHI Jacopo,98,C.S. ESERCITO,4 su- 1,Muggia,23/04/2023
,(60)/2023
30:14,,MARTELLATO Riccardo,00,ASSINDUSTRIA SPORT,2 su- 1,Treviso,02/06/2023
30:15,,LOLLO Antonino,90,G.P. PARCO ALPI APUANE,5 su- 1,Monza,14/05/2023
30:20,,LOITANYANG Simon kibet,94,U. P.POLICIANO AREZZO ATLETICA,1 su- 1,Terni,26/03/2023
30:21,,TOGNI Manuel,94,ATL. VALLE BREMBANA,2 su- 1,Bergamo,05/02/2023
30:21,,OUHDA Ahmed,97,ASD IMPERIALI ATLETICA,12 su- 1,Oderzo,01/05/2023
30:21,,BAMOUSSA Abdoullah,86,ATL BRUGNERA PN FRIULINTAGLI,3 su- 1,Treviso,02/06/2023
30:22,,ZERRAD Mohamed,93,ASD ATL. VOMANO,1 su- 1,Roma,26/03/2023
30:22,,MAIYO Rodgers,93,ATL BRUGNERA PN FRIULINTAGLI,1 su- 1,Sacile,21/05/2023
30:23,,GUERRA Massimo,98,ATL.VICENTINA,11 su- 1,Vicenza,19/03/2023
30:24,,ABDIKADAR SHEIK ALI Mohad,93,C.S. AERONAUTICA MILITARE,2 su- 1,Roma,26/03/2023
,(70)/2023
30:24,,BONZI Nicola,95,ATL. VALLE BREMBANA,8 su- 1,Bergamo,16/04/2023
30:26,,RICCIARDI Luis matteo,93,ATL. IMOLA SACMI AVIS,113 su- 1,Valencia,15/01/2023
30:26,,AGNELLO Vincenzo,91,G.P. PARCO ALPI APUANE,1 se- 1,Acireale,19/02/2023
30:27,,BEDINI Nicolo',02,G.P. PARCO ALPI APUANE,13 su- 1,Oderzo,01/05/2023
30:28,,D'ESTE Thomas,03,ASSINDUSTRIA SPORT,12 su- 1,Vicenza,19/03/2023
30:28,,DONE' Riccardo,95,ATLETICA MOGLIANO,14 su- 1,Oderzo,01/05/2023
30:28,,GIACOBAZZI Alessandro,96,C.S. AERONAUTICA MILITARE,8 su- 1,Telese Terme,18/06/2023
30:31,,ZAHIR Zohair,94,A.S. ATLETICA VIRTUS LUCCA,1 su- 1,Castano Primo,05/02/2023
30:31,,BELTRAME Tobia,94,TRIESTE ATLETICA,13 su- 1,Vicenza,19/03/2023
30:31,,SOFFIENTINI Andrea,88,A.S.D. DINAMO SPORT,6 su- 1,Monza,14/05/2023
,(80)/2023
30:32,,MAGRI Luca,90,LA RECASTELLO RADICI GROUP,2 su- 1,Castano Primo,05/02/2023
30:32,,BREUSA Francesco,98,BATTAGLIO C.U.S. TORINO ATL,2 su- 1,Vigone,30/04/2023
30:32,,LOLLO Antonino,90,G.P. PARCO ALPI APUANE,1 su- 1,Lacchiarella,07/05/2023
30:33,,CARRERA Francesco,90,ATL. CASONE NOCETO,2 su- 1,Misano Adriatico,26/02/2023
30:34,,BONZI Nicola,95,ATL. VALLE BREMBANA,3 su- 1,Bergamo,05/02/2023
30:36,,EL BIR Ayyoub,98,ASD ATLETICA BIOTEKNA,17 su- 1,Arezzo,28/05/2023
30:37,,SARTORE Pietro,99,VICENZA MARATHON,14 su- 1,Vicenza,19/03/2023
30:37,,FARRONATO Daniele,97,TREVISATLETICA,2 su- 1,Sacile,21/05/2023
30:38,,LATAM Abdellah,00,ASD INTERNATIONAL SECURITY S.,9 su- 1,Telese Terme,18/06/2023
30:42,,GIACOBAZZI Alessandro,96,C.S. AERONAUTICA MILITARE,1 su- 1,Carrara,19/02/2023
,(90)/2023
30:42,,NJIE Nfamara,98,ATL. CASONE NOCETO,1 su- 1,Calimera,26/03/2023
30:44,,GIOVANNELLI Raffaele,95,ASD INTERNATIONAL SECURITY S.,1 su- 1,Salerno,16/04/2023
30:46,,EL MOUNIM Mohammed,91,A.S.D. AT RUNNING,2 su- 1,Terni,26/03/2023
30:46,,KALALE Ishmael chelanga,95,ATL BRUGNERA PN FRIULINTAGLI,18 su- 1,Arezzo,28/05/2023
30:47,,LABOUITI Moslim,93,ATL. CASTENASO  CELTIC DRUID,15 su- 1,Vicenza,19/03/2023
30:47,,EL MAZOURY Ahmed,90,LA RECASTELLO RADICI GROUP,2 su- 1,Saronno,13/05/2023
30:47,,ASTOLFI Andrea,94,CUS PRO PATRIA MILANO,7 su- 1,Monza,14/05/2023
30:47,,BELGHITI Mustafa',98,A.S.D. DINAMO SPORT,1 su- 1,Solaro,27/05/2023
30:48,,OUKHRID Lhoussaine,84,A.P.D. AENEAS RUN,1 su- 1,Pietra Ligure,23/04/2023
30:49,,GHERGUT Emanuel daniel,96,TOSCANA ATLETICA JOLLY,2 su- 1,Pietra Ligure,23/04/2023
,(100)/2023
28:02,,CRIPPA Yemaneberhan,96,G.S. FIAMME ORO PADOVA,1 su- 1,Monza,14/05/2023
