DECATHLON ALLIEVI
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
6341,,TOMASI Daniele,06,C.S.S. LEONARDO DA VINCI,1 su- 1,Caorle,23/06/2023
6256,,STRADI Francesco,06,ATL. REGGIO ASD,1 su- 1,Castelnovo Monti,30/04/2023
6205,,SERRA Nicola,06,CENTRO ATLETICA PIOMBINO,2 su- 1,Caorle,23/06/2023
6177,,STRADI Francesco,06,ATL. REGGIO ASD,3 su- 1,Caorle,23/06/2023
6167,,COSTA Matteo gianfranco,06,ATL. GALLARATESE,4 su- 1,Caorle,23/06/2023
6157,,KARLSBERGS Karlis jekabs,07,RUNNING CLUB NAPOLI,4 su- 1,Valmiera,21/05/2023
6013,,OPOLAIS Miks janis,06,RUNNING CLUB NAPOLI,6 su- 1,Valmiera,21/05/2023
5931,,COSTA Matteo gianfranco,06,ATL. GALLARATESE,1 su- 1,Busto Arsizio,23/04/2023
5919,,MAGGIONI Matteo,06,G.S. VIRTUS CALCO,2 su- 1,Busto Arsizio,23/04/2023
5887,,BECCARI Marco,07,CENTRO ATLETICA PIOMBINO,5 su- 1,Caorle,23/06/2023
,(10)/2023
5830,,MAGGIONI Matteo,06,G.S. VIRTUS CALCO,6 su- 1,Caorle,23/06/2023
5803,,LUBELLO Kevin,06,C.S.S. LEONARDO DA VINCI,7 su- 1,Caorle,23/06/2023
5773,,PACINI Pietro giulio,07,ASD ATLETICA  PRATO,8 su- 1,Caorle,23/06/2023
5730,,SERRA Nicola,06,CENTRO ATLETICA PIOMBINO,1 se- 1,Firenze,29/04/2023
5712,,ELLERO Pierluigi,06,G.S. FIAMME ORO PADOVA,9 su- 1,Caorle,23/06/2023
5657,,NOVARA Gabriele,06,ATLETICA ASTI 2.2 A.S.D.,1 su- 1,Donnas,27/05/2023
5633,,BECCARI Marco,07,CENTRO ATLETICA PIOMBINO,2 se- 1,Firenze,29/04/2023
5615,,ZATTRA Matteo,06,ATL.VICENTINA,1 su- 1,Bovolone,29/04/2023
5603,,CUTAIA Marco,06,A.S.D. PONTEVECCHIO BOLOGNA,10 su- 1,Caorle,23/06/2023
5601,,NOVARA Gabriele,06,ATLETICA ASTI 2.2 A.S.D.,1 su- 1,Imperia,30/04/2023
,(20)/2023
5589,,CAVALLARO Marco,07,A.S.D. ATL. AGROPOLI,1 su- 1,Agropoli,27/05/2023
5581,,COCORULLO Pietro,06,ACQUIRUNNERS,11 su- 1,Caorle,23/06/2023
5563,,SMIRIGLIA Michele,07,TEAM ATLETICA MARCHE,1 su- 1,San Benedetto Del Tronto,29/04/2023
5552,,DENARO Markel,06,C.U.S. VERONA SEZ. ATLETICA,1 su- 1,Bovolone,01/07/2023
5527,,ZUCCOLOTTO Simone,07,ATL. GAVIRATE,12 su- 1,Caorle,23/06/2023
5489,,ELLERO Pierluigi,06,G.S. FIAMME ORO PADOVA,2 su- 1,Bovolone,29/04/2023
5483,,ALPIGIANO Francesco,07,ASD ATLETICA SPORT E' VITA,1 su- 1,Cagliari,30/04/2023
5478,,ZOGNO Nicola,06,ATLETICA VIS ABANO,13 su- 1,Caorle,23/06/2023
5465,,VERNACE Luca pietro,06,ATLETICA MONZA,2 su- 1,Donnas,27/05/2023
5458,,CAVALLARO Marco,07,A.S.D. ATL. AGROPOLI,14 su- 1,Caorle,23/06/2023
,(30)/2023
5446,,GEMO Nicola,07,ATL.VICENTINA,3 su- 1,Bovolone,29/04/2023
5444,,RUGGERI Luca,06,ATL. CAIRATESE,2 su- 1,Bovolone,01/07/2023
5426,,NOVARA Gabriele,06,ATLETICA ASTI 2.2 A.S.D.,15 su- 1,Caorle,23/06/2023
5415,,PATUMI Francesco,06,2S ATLETICA SPOLETO,2 su- 1,San Benedetto Del Tronto,29/04/2023
5408,,ANTONINI Alessandro,06,CENTRO ATLETICA PIOMBINO,16 su- 1,Caorle,23/06/2023
5385,,COCORULLO Pietro,06,ACQUIRUNNERS,3 su- 1,Donnas,27/05/2023
5372,,LUBELLO Kevin,06,C.S.S. LEONARDO DA VINCI,4 su- 1,Bovolone,29/04/2023
5356,,DENARO Markel,06,C.U.S. VERONA SEZ. ATLETICA,17 su- 1,Caorle,23/06/2023
5341,,GEMO Nicola,07,ATL.VICENTINA,18 su- 1,Caorle,23/06/2023
5293,,ANTONINI Alessandro,06,CENTRO ATLETICA PIOMBINO,3 se- 1,Firenze,29/04/2023
,(40)/2023
5257,,SMIRIGLIA Michele,07,TEAM ATLETICA MARCHE,19 su- 1,Caorle,23/06/2023
5249,,GRAIFF Mattia,06,C.S.S. LEONARDO DA VINCI,5 su- 1,Bovolone,29/04/2023
5218,,ZACCARINI Enea,06,ATL. IMOLA SACMI AVIS,2 su- 1,Castelnovo Monti,30/04/2023
5217,,VERNACE Luca pietro,06,ATLETICA MONZA,20 su- 1,Caorle,23/06/2023
5212,,RUGGERI Luca,06,ATL. CAIRATESE,3 su- 1,Busto Arsizio,23/04/2023
5189,,DENARO Markel,06,C.U.S. VERONA SEZ. ATLETICA,6 su- 1,Bovolone,29/04/2023
5185,,RISTORI Mattia,06,CENTRO ATLETICA PIOMBINO,21 su- 1,Caorle,23/06/2023
5182,,ZOGNO Nicola,06,ATLETICA VIS ABANO,7 su- 1,Bovolone,29/04/2023
5181,,ZACCARINI Enea,06,ATL. IMOLA SACMI AVIS,22 su- 1,Caorle,23/06/2023
5175,,RISTORI Mattia,06,CENTRO ATLETICA PIOMBINO,4 se- 1,Firenze,29/04/2023
,(50)/2023
5158,,GIACOMINI Mauro,06,ATL. CAIRATESE,3 su- 1,Bovolone,01/07/2023
5147,,FIORUCCI Emanuele,07,ATLETICA MONZA,4 su- 1,Donnas,27/05/2023
5129,,DEMO Fabrizio,06,ATLETICA CANAVESANA,5 su- 1,Donnas,27/05/2023
5125,,GRAIFF Mattia,06,C.S.S. LEONARDO DA VINCI,23 su- 1,Caorle,23/06/2023
5124,,ZUCCOLOTTO Simone,07,ATL. GAVIRATE,4 su- 1,Busto Arsizio,23/04/2023
5120,,GENTILE Daniele,06,ATLETICA BARBAS,1 su- 1,Reggio Di Calabria,23/04/2023
5115,,TOMASI Daniele,06,C.S.S. LEONARDO DA VINCI,2 su- 1,Innsbruck,04/06/2023
5110,,GIACOMINI Mauro,06,ATL. CAIRATESE,5 su- 1,Busto Arsizio,23/04/2023
5110,,CUTAIA Marco,06,A.S.D. PONTEVECCHIO BOLOGNA,3 su- 1,Castelnovo Monti,30/04/2023
5097,,GIACOMINI Mauro,06,ATL. CAIRATESE,24 su- 1,Caorle,23/06/2023
,(60)/2023
5096,,BEFANI Riccardo,06,2S ATLETICA SPOLETO,3 su- 1,San Benedetto Del Tronto,29/04/2023
5078,,DEMO Fabrizio,06,ATLETICA CANAVESANA,25 su- 1,Caorle,23/06/2023
5071,,VERNACE Luca pietro,06,ATLETICA MONZA,6 su- 1,Busto Arsizio,23/04/2023
4997,,FIORUCCI Emanuele,07,ATLETICA MONZA,26 su- 1,Caorle,23/06/2023
4984,,TAGLIAFERRI Stefano,06,G.S. VIRTUS CALCO,6 su- 1,Donnas,27/05/2023
4969,,SPITI Andrea,07,ALTO LAZIO A.S.D.,27 su- 1,Caorle,23/06/2023
4964,,DI NOLA Salvatore,06,ASD NISSOLINO INTESATLETICA,1 su- 1,Latina,29/04/2023
4960,,BERETTA Davide,06,TEAM-A LOMBARDIA,7 su- 1,Busto Arsizio,23/04/2023
4851,,PERNA Giuseppe,07,A.S.D. ATL. AGROPOLI,2 su- 1,Agropoli,27/05/2023
4793,,IANNE Marco,06,TEAM-A LOMBARDIA,8 su- 1,Busto Arsizio,23/04/2023
,(70)/2023
4792,,SIRONI Federico,07,ATLETICA MONZA,9 su- 1,Busto Arsizio,23/04/2023
4751,,REPPELE Tommaso,06,C.U.S. VERONA SEZ. ATLETICA,8 su- 1,Bovolone,29/04/2023
4750,,STERPI Morgan,06,SPORT RACE S.S.D. A R.L.,2 su- 1,Latina,29/04/2023
4744,,RAIOLA Raffaele,06,A.S.D. ATL. AGROPOLI,3 su- 1,Agropoli,27/05/2023
4740,,CHARBONNIER Nicolo',06,ATLETICA ASTI 2.2 A.S.D.,7 su- 1,Donnas,27/05/2023
4732,,ZUCCALA' Sebastiano,07,ATLETICA BARBAS,2 su- 1,Reggio Di Calabria,23/04/2023
4683,,CHARBONNIER Nicolo',06,ATLETICA ASTI 2.2 A.S.D.,2 su- 1,Imperia,30/04/2023
4675,,DALL'ANTONIA Elia,07,ATL-ETICA SAN VENDEMIANO,9 su- 1,Bovolone,29/04/2023
4665,,GIANFRANCESCO Daniel yuri,07,ASD NISSOLINO INTESATLETICA,3 su- 1,Latina,29/04/2023
4654,,ZIANI Pietro,06,ATLETICA MALIGNANI LIBERTAS UD,10 su- 1,Bovolone,29/04/2023
,(80)/2023
4654,,MANCINI Michelangelo,07,LIBERTAS AMATORI ATLETICA LEGG,4 su- 1,Agropoli,27/05/2023
4635,,PACINI Pietro giulio,07,ASD ATLETICA  PRATO,5 se- 1,Firenze,29/04/2023
4630,,PARLANGELI Edoardo,06,ATLETICA CANAVESANA,8 su- 1,Donnas,27/05/2023
4610,,COLOMBO Filippo,07,G.S. VIRTUS CALCO,10 su- 1,Busto Arsizio,23/04/2023
4594,,TAGLIAFERRI Stefano,06,G.S. VIRTUS CALCO,11 su- 1,Busto Arsizio,23/04/2023
4568,,BAGNARA Emil,07,COLLECTION ATLETICA SAMBENEDET,4 su- 1,San Benedetto Del Tronto,29/04/2023
4562,,PIZZOLI Giacomo,06,FONDAZIONE M. BENTEGODI,4 su- 1,Bovolone,01/07/2023
4557,,ALTINIER Marco,06,ATL-ETICA SAN VENDEMIANO,11 su- 1,Bovolone,29/04/2023
4502,,BIANCHINI Filippo,07,ATLETICA MONZA,12 su- 1,Busto Arsizio,23/04/2023
4480,,YUSSIF Dauda,07,MODENA ATLETICA  ASD,4 su- 1,Castelnovo Monti,30/04/2023
,(90)/2023
4473,,GABBRICCI Gabriele,06,CENTRO ATLETICA PIOMBINO,6 se- 1,Firenze,29/04/2023
4466,,FONTANA Salvatore,06,A.S.D. ATL. AGROPOLI,5 su- 1,Agropoli,27/05/2023
4461,,GOZZI Giacomo,06,ATL. REGGIO ASD,5 su- 1,Castelnovo Monti,30/04/2023
4452,,MARGARINI Andrea,07,G.S. ERMENEGILDO ZEGNA,9 su- 1,Donnas,27/05/2023
4445,,PIVA Edoardo,06,FONDAZIONE M. BENTEGODI,5 su- 1,Bovolone,01/07/2023
4439,,MAGNANI Paolo,06,ATL. REGGIO ASD,6 su- 1,Castelnovo Monti,30/04/2023
4436,,MARGARINI Andrea,07,G.S. ERMENEGILDO ZEGNA,3 su- 1,Imperia,30/04/2023
4426,,BENELLI Luca,06,ATL. REGGIO ASD,7 su- 1,Castelnovo Monti,30/04/2023
4388,,BALBO Gabriele,07,ATLETICA MONZA,13 su- 1,Busto Arsizio,23/04/2023
4380,,MARCHETTI Alessandro,07,G.S. ATLETICA 75 CATTOLICA,8 su- 1,Castelnovo Monti,30/04/2023
,(100)/2023
6341,,TOMASI Daniele,06,C.S.S. LEONARDO DA VINCI,1 su- 1,Caorle,23/06/2023
6256,,STRADI Francesco,06,ATL. REGGIO ASD,1 su- 1,Castelnovo Monti,30/04/2023
6205,,SERRA Nicola,06,CENTRO ATLETICA PIOMBINO,2 su- 1,Caorle,23/06/2023
6177,,STRADI Francesco,06,ATL. REGGIO ASD,3 su- 1,Caorle,23/06/2023
6167,,COSTA Matteo gianfranco,06,ATL. GALLARATESE,4 su- 1,Caorle,23/06/2023
6157,,KARLSBERGS Karlis jekabs,07,RUNNING CLUB NAPOLI,4 su- 1,Valmiera,21/05/2023
6013,,OPOLAIS Miks janis,06,RUNNING CLUB NAPOLI,6 su- 1,Valmiera,21/05/2023
5931,,COSTA Matteo gianfranco,06,ATL. GALLARATESE,1 su- 1,Busto Arsizio,23/04/2023
5919,,MAGGIONI Matteo,06,G.S. VIRTUS CALCO,2 su- 1,Busto Arsizio,23/04/2023
5887,,BECCARI Marco,07,CENTRO ATLETICA PIOMBINO,5 su- 1,Caorle,23/06/2023
,(10)/2023
5830,,MAGGIONI Matteo,06,G.S. VIRTUS CALCO,6 su- 1,Caorle,23/06/2023
5803,,LUBELLO Kevin,06,C.S.S. LEONARDO DA VINCI,7 su- 1,Caorle,23/06/2023
5773,,PACINI Pietro giulio,07,ASD ATLETICA  PRATO,8 su- 1,Caorle,23/06/2023
5730,,SERRA Nicola,06,CENTRO ATLETICA PIOMBINO,1 se- 1,Firenze,29/04/2023
5712,,ELLERO Pierluigi,06,G.S. FIAMME ORO PADOVA,9 su- 1,Caorle,23/06/2023
5657,,NOVARA Gabriele,06,ATLETICA ASTI 2.2 A.S.D.,1 su- 1,Donnas,27/05/2023
5633,,BECCARI Marco,07,CENTRO ATLETICA PIOMBINO,2 se- 1,Firenze,29/04/2023
5615,,ZATTRA Matteo,06,ATL.VICENTINA,1 su- 1,Bovolone,29/04/2023
5603,,CUTAIA Marco,06,A.S.D. PONTEVECCHIO BOLOGNA,10 su- 1,Caorle,23/06/2023
5601,,NOVARA Gabriele,06,ATLETICA ASTI 2.2 A.S.D.,1 su- 1,Imperia,30/04/2023
,(20)/2023
5589,,CAVALLARO Marco,07,A.S.D. ATL. AGROPOLI,1 su- 1,Agropoli,27/05/2023
5581,,COCORULLO Pietro,06,ACQUIRUNNERS,11 su- 1,Caorle,23/06/2023
5563,,SMIRIGLIA Michele,07,TEAM ATLETICA MARCHE,1 su- 1,San Benedetto Del Tronto,29/04/2023
5552,,DENARO Markel,06,C.U.S. VERONA SEZ. ATLETICA,1 su- 1,Bovolone,01/07/2023
5527,,ZUCCOLOTTO Simone,07,ATL. GAVIRATE,12 su- 1,Caorle,23/06/2023
5489,,ELLERO Pierluigi,06,G.S. FIAMME ORO PADOVA,2 su- 1,Bovolone,29/04/2023
5483,,ALPIGIANO Francesco,07,ASD ATLETICA SPORT E' VITA,1 su- 1,Cagliari,30/04/2023
5478,,ZOGNO Nicola,06,ATLETICA VIS ABANO,13 su- 1,Caorle,23/06/2023
5465,,VERNACE Luca pietro,06,ATLETICA MONZA,2 su- 1,Donnas,27/05/2023
5458,,CAVALLARO Marco,07,A.S.D. ATL. AGROPOLI,14 su- 1,Caorle,23/06/2023
,(30)/2023
5446,,GEMO Nicola,07,ATL.VICENTINA,3 su- 1,Bovolone,29/04/2023
5444,,RUGGERI Luca,06,ATL. CAIRATESE,2 su- 1,Bovolone,01/07/2023
5426,,NOVARA Gabriele,06,ATLETICA ASTI 2.2 A.S.D.,15 su- 1,Caorle,23/06/2023
5415,,PATUMI Francesco,06,2S ATLETICA SPOLETO,2 su- 1,San Benedetto Del Tronto,29/04/2023
5408,,ANTONINI Alessandro,06,CENTRO ATLETICA PIOMBINO,16 su- 1,Caorle,23/06/2023
5385,,COCORULLO Pietro,06,ACQUIRUNNERS,3 su- 1,Donnas,27/05/2023
5372,,LUBELLO Kevin,06,C.S.S. LEONARDO DA VINCI,4 su- 1,Bovolone,29/04/2023
5356,,DENARO Markel,06,C.U.S. VERONA SEZ. ATLETICA,17 su- 1,Caorle,23/06/2023
5341,,GEMO Nicola,07,ATL.VICENTINA,18 su- 1,Caorle,23/06/2023
5293,,ANTONINI Alessandro,06,CENTRO ATLETICA PIOMBINO,3 se- 1,Firenze,29/04/2023
,(40)/2023
5257,,SMIRIGLIA Michele,07,TEAM ATLETICA MARCHE,19 su- 1,Caorle,23/06/2023
5249,,GRAIFF Mattia,06,C.S.S. LEONARDO DA VINCI,5 su- 1,Bovolone,29/04/2023
5218,,ZACCARINI Enea,06,ATL. IMOLA SACMI AVIS,2 su- 1,Castelnovo Monti,30/04/2023
5217,,VERNACE Luca pietro,06,ATLETICA MONZA,20 su- 1,Caorle,23/06/2023
5212,,RUGGERI Luca,06,ATL. CAIRATESE,3 su- 1,Busto Arsizio,23/04/2023
5189,,DENARO Markel,06,C.U.S. VERONA SEZ. ATLETICA,6 su- 1,Bovolone,29/04/2023
5185,,RISTORI Mattia,06,CENTRO ATLETICA PIOMBINO,21 su- 1,Caorle,23/06/2023
5182,,ZOGNO Nicola,06,ATLETICA VIS ABANO,7 su- 1,Bovolone,29/04/2023
5181,,ZACCARINI Enea,06,ATL. IMOLA SACMI AVIS,22 su- 1,Caorle,23/06/2023
5175,,RISTORI Mattia,06,CENTRO ATLETICA PIOMBINO,4 se- 1,Firenze,29/04/2023
,(50)/2023
5158,,GIACOMINI Mauro,06,ATL. CAIRATESE,3 su- 1,Bovolone,01/07/2023
5147,,FIORUCCI Emanuele,07,ATLETICA MONZA,4 su- 1,Donnas,27/05/2023
5129,,DEMO Fabrizio,06,ATLETICA CANAVESANA,5 su- 1,Donnas,27/05/2023
5125,,GRAIFF Mattia,06,C.S.S. LEONARDO DA VINCI,23 su- 1,Caorle,23/06/2023
5124,,ZUCCOLOTTO Simone,07,ATL. GAVIRATE,4 su- 1,Busto Arsizio,23/04/2023
5120,,GENTILE Daniele,06,ATLETICA BARBAS,1 su- 1,Reggio Di Calabria,23/04/2023
5115,,TOMASI Daniele,06,C.S.S. LEONARDO DA VINCI,2 su- 1,Innsbruck,04/06/2023
5110,,GIACOMINI Mauro,06,ATL. CAIRATESE,5 su- 1,Busto Arsizio,23/04/2023
5110,,CUTAIA Marco,06,A.S.D. PONTEVECCHIO BOLOGNA,3 su- 1,Castelnovo Monti,30/04/2023
5097,,GIACOMINI Mauro,06,ATL. CAIRATESE,24 su- 1,Caorle,23/06/2023
,(60)/2023
5096,,BEFANI Riccardo,06,2S ATLETICA SPOLETO,3 su- 1,San Benedetto Del Tronto,29/04/2023
5078,,DEMO Fabrizio,06,ATLETICA CANAVESANA,25 su- 1,Caorle,23/06/2023
5071,,VERNACE Luca pietro,06,ATLETICA MONZA,6 su- 1,Busto Arsizio,23/04/2023
4997,,FIORUCCI Emanuele,07,ATLETICA MONZA,26 su- 1,Caorle,23/06/2023
4984,,TAGLIAFERRI Stefano,06,G.S. VIRTUS CALCO,6 su- 1,Donnas,27/05/2023
4969,,SPITI Andrea,07,ALTO LAZIO A.S.D.,27 su- 1,Caorle,23/06/2023
4964,,DI NOLA Salvatore,06,ASD NISSOLINO INTESATLETICA,1 su- 1,Latina,29/04/2023
4960,,BERETTA Davide,06,TEAM-A LOMBARDIA,7 su- 1,Busto Arsizio,23/04/2023
4851,,PERNA Giuseppe,07,A.S.D. ATL. AGROPOLI,2 su- 1,Agropoli,27/05/2023
4793,,IANNE Marco,06,TEAM-A LOMBARDIA,8 su- 1,Busto Arsizio,23/04/2023
,(70)/2023
4792,,SIRONI Federico,07,ATLETICA MONZA,9 su- 1,Busto Arsizio,23/04/2023
4751,,REPPELE Tommaso,06,C.U.S. VERONA SEZ. ATLETICA,8 su- 1,Bovolone,29/04/2023
4750,,STERPI Morgan,06,SPORT RACE S.S.D. A R.L.,2 su- 1,Latina,29/04/2023
4744,,RAIOLA Raffaele,06,A.S.D. ATL. AGROPOLI,3 su- 1,Agropoli,27/05/2023
4740,,CHARBONNIER Nicolo',06,ATLETICA ASTI 2.2 A.S.D.,7 su- 1,Donnas,27/05/2023
4732,,ZUCCALA' Sebastiano,07,ATLETICA BARBAS,2 su- 1,Reggio Di Calabria,23/04/2023
4683,,CHARBONNIER Nicolo',06,ATLETICA ASTI 2.2 A.S.D.,2 su- 1,Imperia,30/04/2023
4675,,DALL'ANTONIA Elia,07,ATL-ETICA SAN VENDEMIANO,9 su- 1,Bovolone,29/04/2023
4665,,GIANFRANCESCO Daniel yuri,07,ASD NISSOLINO INTESATLETICA,3 su- 1,Latina,29/04/2023
4654,,ZIANI Pietro,06,ATLETICA MALIGNANI LIBERTAS UD,10 su- 1,Bovolone,29/04/2023
,(80)/2023
4654,,MANCINI Michelangelo,07,LIBERTAS AMATORI ATLETICA LEGG,4 su- 1,Agropoli,27/05/2023
4635,,PACINI Pietro giulio,07,ASD ATLETICA  PRATO,5 se- 1,Firenze,29/04/2023
4630,,PARLANGELI Edoardo,06,ATLETICA CANAVESANA,8 su- 1,Donnas,27/05/2023
