DECATHLON JUNIORES M
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
7363,,DEMO Stefano,04,ATLETICA CANAVESANA,1 su- 1,Donnas,27/05/2023
7202,,NONINO Alberto,04,ATLETICA MALIGNANI LIBERTAS UD,5 su- 1,Filderstadt-bernhausen,21/05/2023
7168,,BELLANOVA Emanuele francesco,04,ATLETICA VERCELLI 78,2 su- 1,Donnas,27/05/2023
7159,,FRANZE' Tommaso,05,ATLETICA P.A.R. CANEGRATE,3 su- 1,Donnas,27/05/2023
6957,,MELLANO Lorenzo,04,A.S.D. ATL. FOSSANO '75,4 su- 1,Donnas,27/05/2023
6822,,VICERE' Vincenzo,04,LIBERTAS AMATORI ATLETICA LEGG,1 su- 1,Avellino,07/05/2023
6814,,CARUGATI Alessandro,04,ATL. O.S.A. SARONNO LIB.,8 su- 1,Filderstadt-bernhausen,20/05/2023
6596,,FRANZE' Tommaso,05,ATLETICA P.A.R. CANEGRATE,1 su- 1,Busto Arsizio,23/04/2023
6353,,NONINO Alberto,04,ATLETICA MALIGNANI LIBERTAS UD,2 su- 1,Busto Arsizio,23/04/2023
6142,,PANCALDI Emanuele,04,A.S.D. PONTEVECCHIO BOLOGNA,1 su- 1,Castelnovo Monti,30/04/2023
,(10)/2023
6012,,CORONA Simone,04,ATL-ETICA SAN VENDEMIANO,1 su- 1,Bovolone,29/04/2023
5847,,FLORE Luca,04,SS ATL ORISTANO,1 su- 1,Cagliari,30/04/2023
5823,,CORDERA Lorenzo,04,A.S. ATL. STRAMBINO,5 su- 1,Donnas,27/05/2023
5778,,TESTA Nicola,05,ATL.VICENTINA,6 su- 1,Donnas,27/05/2023
5655,,DEL PEZZO Ruben,04,A.S.D. ATL. AGROPOLI,2 su- 1,Avellino,07/05/2023
5602,,MONFRINI Francesco,05,ASD NUOVA VIRTUS CREMA,3 su- 1,Busto Arsizio,23/04/2023
5572,,MATTOLINI Francesco,05,ATLETICA LIVORNO,1 se- 1,Firenze,29/04/2023
5530,,BORTOLAZZI Luca,04,C.U.S. VERONA SEZ. ATLETICA,2 su- 1,Bovolone,29/04/2023
