M.ManigliaC Kg 15.88
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
12.44,,VENTURELLI Emanuele,76,DELTA ATL. SASSUOLO,1 su- 1,Mariano Comense,16/04/2023
11.92,,VALSECCHI Alessandro,75,TEAM ALTO LAMBRO,1 su- 1,Ancona,12/03/2023
11.92,,CROCE TAGLIAFERRO Luca,81,ATL. O.S.A. SARONNO LIB.,1 su- 1,Acireale,25/06/2023
11.79,,CROCE TAGLIAFERRO Luca,81,ATL. O.S.A. SARONNO LIB.,1 su- 1,Ancona,12/03/2023
11.55,,PERBELLINI Pietro,84,FONDAZIONE M. BENTEGODI,1 su- 1,Santhia,18/06/2023
11.48,,MALAGOLI Sauro,74,A.S. LA FRATELLANZA 1874,2 su- 1,Ancona,12/03/2023
11.42,,MALAGOLI Sauro,74,A.S. LA FRATELLANZA 1874,2 su- 1,Mariano Comense,16/04/2023
11.11,,DE RE Riccardo,83,G. P. LIVENZA SACILE,3 su- 1,Mariano Comense,16/04/2023
10.96,,PERBELLINI Pietro,84,FONDAZIONE M. BENTEGODI,7 su- 1,Monselice,04/06/2023
10.90,,PERBELLINI Pietro,84,FONDAZIONE M. BENTEGODI,10 su- 1,Santhia,18/06/2023
,(10)/2023
10.89,,VALSECCHI Alessandro,75,TEAM ALTO LAMBRO,11 su- 1,Aosta,18/03/2023
10.80,,VALSECCHI Alessandro,75,TEAM ALTO LAMBRO,4 su- 1,Mariano Comense,16/04/2023
10.80,,CECCARELLI Dario carlo,76,DAINI CARATE BRIANZA,1 su- 1,Santhia,18/06/2023
10.78,,ANDRIANI Luca,76,A.S.D. TRE CASALI,1 se- 1,Brindisi,17/06/2023
10.77,,CECCARELLI Dario carlo,76,DAINI CARATE BRIANZA,5 su- 1,Mariano Comense,16/04/2023
10.76,,MALAGOLI Sauro,74,A.S. LA FRATELLANZA 1874,1 su- 1,Acireale,25/06/2023
10.70,,VALSECCHI Alessandro,75,TEAM ALTO LAMBRO,11 su- 1,Santhia,18/06/2023
10.66,,PERBELLINI Pietro,84,FONDAZIONE M. BENTEGODI,6 su- 1,Mariano Comense,16/04/2023
10.64,,ALFE' Alessandro,75,TRIESTE ATLETICA,2 su- 1,Acireale,25/06/2023
10.53,,PINO Salvatore,78,A.S. DILETT. ATL.VILLAFRANCA,3 su- 1,Acireale,25/06/2023
,(20)/2023
10.48,,VALSECCHI Alessandro,75,TEAM ALTO LAMBRO,2 su- 1,Santhia,18/06/2023
10.42,,ANDRIANI Luca,76,A.S.D. TRE CASALI,3 su- 1,Ancona,12/03/2023
10.27,,CECCARELLI Dario carlo,76,DAINI CARATE BRIANZA,3 su- 1,Santhia,18/06/2023
10.23,,ALFE' Alessandro,75,TRIESTE ATLETICA,13 su- 1,Santhia,18/06/2023
10.20,,CROCE TAGLIAFERRO Luca,81,ATL. O.S.A. SARONNO LIB.,7 su- 1,Mariano Comense,16/04/2023
