Maratona B
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
2h18:15,,BOUFARS Hicham,88,ASD INTERNATIONAL SECURITY S.,1 su- 1,Terni,19/02/2023
2h21:44,,BUCCILLI Carmine,82,ASD ATLETICA SANTA MARINELLA,2 su- 1,Terni,19/02/2023
2h31:03,,ZITOUNI Youness,79,OSTERIA DEI PODISTI,1 su- 1,Terre Roveresche,07/05/2023
2h32:19,,LOTTI Lorenzo,86,ASD BERUNNERS,1 se- 1,Ragusa,22/01/2023
2h35:36,,BELLUSCHI Michele,92,GROTTINI TEAM RECANATI ASD,2 su- 1,Terre Roveresche,07/05/2023
2h36:02,,LUCCHESE Matteo,80,ATL. AVIS CASTEL S.PIETRO,3 su- 1,Terni,19/02/2023
2h36:50,,STRAPPATO Massimiliano,91,ATL.AMAT.OSIMO,3 su- 1,Terre Roveresche,07/05/2023
2h40:07,,TOMASSINI Cristiano,80,TERNANA MARATHON CLUB A.S.D.,5 su- 1,Terni,19/02/2023
2h40:25,,PERUZZO Fabio,78,SPLENDOR 1922,651 su- 1,Boston,17/04/2023
2h44:15,,BOINEGA Luca,91,ATL. URBANIA,4 su- 1,Terre Roveresche,07/05/2023
,(10)/2023
2h44:41,,BOVANINI Filippo,94,ATL. AVIS CASTEL S.PIETRO,1 su- 1,Castiglione Del Lago,12/03/2023
2h45:23,,GIOVANNINI Tommaso,88,RUNNING CLUB FOSSOMBRONE,5 su- 1,Terre Roveresche,07/05/2023
2h45:46,,MARCHITIELLO Giovanni,75,ATLETICA CORREREPOLLINO,6 su- 1,Terni,19/02/2023
2h46:02,,CALCATERRA Giorgio,72,CALCATERRA SPORT ASD,1 su- 1,Sabaudia,05/02/2023
2h46:41,,ROFENA Andrea,84,A.S.D. AT RUNNING,7 su- 1,Terni,19/02/2023
2h46:48,,BOVANINI Filippo,94,ATL. AVIS CASTEL S.PIETRO,6 su- 1,Terre Roveresche,07/05/2023
2h46:54,,SALVI Guido,71,RUNNERS CANINO ASD,8 su- 1,Terni,19/02/2023
2h47:51,,FOTI Sebastiano,83,ASD CATANIA RUNNING CLUB,2 se- 1,Ragusa,22/01/2023
2h48:55,,GIARDIELLO Saverio,81,ASD MONTEMILETTO TEAM RUNNERS,9 su- 1,Terni,19/02/2023
2h48:55,,QUATTRINI Riccardo,74,G.P. LUCREZIA,7 su- 1,Terre Roveresche,07/05/2023
,(20)/2023
2h49:05,,CAPOCCIA Andrea,86,PIETRALUNGA RUNNERS A.S.D.,10 su- 1,Terni,19/02/2023
2h49:43,,CARBONE Aldo,85,COSENZA K42,3 se- 1,Ragusa,22/01/2023
2h50:09,,D'ELIA Dante,73,GIOVANNI SCAVO VELLETRI,2 su- 1,Sabaudia,05/02/2023
2h50:55,,DI GIORGI Cristian,74,A.S.D. ATHLON KAMARINA,4 se- 1,Ragusa,22/01/2023
2h52:50,,BOINEGA Lorenzo,91,ATL. URBANIA,8 su- 1,Terre Roveresche,07/05/2023
2h52:55,,SERANTONI Egidio,72,AMATORI PODISTICA TERNI,12 su- 1,Terni,19/02/2023
