Marcia 5000m
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
20:12.88,,CHIESA Stefano,96,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Fabriano,24/06/2023
20:18.74,,PICCHIOTTINO Gianluca,96,G.A. FIAMME GIALLE,1 su- 1,Bergamo,10/06/2023
20:21.81,,GAMBA Gabriele,02,ATL. RICCARDI MILANO 1946,2 su- 1,Fabriano,24/06/2023
20:42.72,,BRAGGIO Mattia,00,ASD ATLETICA SPEZIA DUFERCO,1 su- 1,Genova,26/03/2023
20:42.9,,LOMUSCIO Nicola,03,AMATORI ATL. ACQUAVIVA,1 su- 1,Foggia,26/03/2023
20:43.39,,DISABATO Giuseppe,06,AMATORI ATL. ACQUAVIVA,1 su- 1,Bari,17/06/2023
20:59.22,,CHIESA Stefano,96,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Vittorio Veneto,10/06/2023
21:02.27,,DISABATO Giuseppe,06,AMATORI ATL. ACQUAVIVA,1 su- 1,Bari,02/07/2023
21:03.39,,BRAGGIO Mattia,00,ASD ATLETICA SPEZIA DUFERCO,3 su- 1,Fabriano,24/06/2023
21:04.4,,NOTARISTEFANO Pietro pio,03,AMATORI ATL. ACQUAVIVA,2 su- 1,Foggia,26/03/2023
,(10)/2023
21:04.8,,DISABATO Giuseppe,06,AMATORI ATL. ACQUAVIVA,1 su- 1,Foggia,26/03/2023
21:06.20,,REIS Luigi,03,TRIESTE ATLETICA,1 su- 1,Trieste,04/06/2023
21:08.83,,REIS Luigi,03,TRIESTE ATLETICA,2 su- 1,Bergamo,10/06/2023
21:12.78,,SCOLI Giulio,01,ATLETICA LIVORNO,3 su- 1,Bergamo,10/06/2023
21:21.83,,GRILLO Ettore,97,ATLETICA FIRENZE MARATHON S.S.,4 su- 1,Fabriano,24/06/2023
21:27.96,,DI BARI Vito,90,A.S. ATLETICA VIRTUS LUCCA,4 su- 1,Bergamo,10/06/2023
21:32.14,,BRAGGIO Mattia,00,ASD ATLETICA SPEZIA DUFERCO,1 su- 1,Boissano,18/06/2023
21:33.70,,DISABATO Giuseppe,06,AMATORI ATL. ACQUAVIVA,1 su- 1,Agropoli,10/06/2023
21:36.36,,DISABATO Giuseppe,06,AMATORI ATL. ACQUAVIVA,1 su- 1,Bari,06/05/2023
21:48.61,,MARCHETTI Pietro,02,U.S. QUERCIA,5 su- 1,Bergamo,10/06/2023
,(20)/2023
21:56.64,,LOMUSCIO Nicola,03,AMATORI ATL. ACQUAVIVA,1 se- 1,Acquaviva Delle Fonti,07/01/2023
21:58.90,,DI CARLO Andrea,05,ATL.STUD. RIETI ANDREA MILARDI,1 su- 1,Ceprano,01/04/2023
21:59.01,,MORETTI Omar,06,ATL.LIBERTAS UNICUSANO LIVORNO,1 su- 1,Pistoia,02/07/2023
22:04.00,,DISABATO Giuseppe,06,AMATORI ATL. ACQUAVIVA,1 se- 1,Acquaviva Delle Fonti,07/01/2023
22:07.60,,CAPOSTAGNO Filippo antonio,02,FIAMME GIALLE G. SIMONI,2 su- 1,Ceprano,01/04/2023
22:15.72,,ANGELINI Gregorio,96,ATL.AM. CISTERNINO ECOLSERVIZI,2 su- 1,Agropoli,10/06/2023
22:16.29,,PIERVINCENZI Matteo,03,ATL.STUD. RIETI ANDREA MILARDI,5 su- 1,Fabriano,24/06/2023
22:17.83,,COPPOLA Alessio,07,SPORTIAMO,1 su- 1,Pordenone,13/05/2023
22:19.76,,MORETTI Omar,06,ATL.LIBERTAS UNICUSANO LIVORNO,1 su- 1,Pietrasanta,21/05/2023
22:22.85,,DI CARLO Andrea,05,ATL.STUD. RIETI ANDREA MILARDI,1 su- 1,Foligno,02/07/2023
,(30)/2023
22:23.5,,MANERA Salvatore,04,ASD SAN PIETRO CLARENZA,3 su- 1,Foggia,26/03/2023
22:24.16,,DINO Giuseppe gaetano,04,TEAM-A LOMBARDIA,2 su- 1,Vittorio Veneto,10/06/2023
22:26.60,,PIERVINCENZI Matteo,03,ATL.STUD. RIETI ANDREA MILARDI,3 su- 1,Ceprano,01/04/2023
22:38.92,,ALBERGA Alfonso,99,AMATORI ATL. ACQUAVIVA,2 se- 1,Acquaviva Delle Fonti,07/01/2023
22:45.47,,CAPORASO Teodorico,87,S.E.F. VIRTUS EMILSIDER BO,1 su- 1,Pietrasanta,10/06/2023
22:45.65,,ARISI Matteo,06,C.U.S. PARMA,6 su- 1,Bergamo,10/06/2023
22:46.78,,FAMULARO Matteo,02,SSD NISSOLINO SPORT SRL ASU,7 su- 1,Bergamo,10/06/2023
22:49.79,,MANDARINO Matteo,03,SISPORT SSD,3 su- 1,Vittorio Veneto,10/06/2023
22:52.38,,ARISI Matteo,06,C.U.S. PARMA,1 su- 1,Bologna,28/05/2023
22:52.69,,ANNOSCIA Leonardo,00,G.S. AVIS BARLETTA A.S.D.,1 su- 1,Bari,02/07/2023
,(40)/2023
22:56.09,,BUSTO Paride,04,AMATORI ATL. ACQUAVIVA,1 su- 1,Bari,17/06/2023
22:58.3,,BUSTO Paride,04,AMATORI ATL. ACQUAVIVA,4 su- 1,Foggia,26/03/2023
22:58.47,,MAGLIULO Vincenzo,76,USD ELITE GIOVANI ATLETI,3 su- 1,Agropoli,10/06/2023
