Marcia strada Km 5
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
22:05.2,,CAPOSTAGNO Filippo antonio,02,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
22:10.4,,DI CARLO Andrea,05,ATL.STUD. RIETI ANDREA MILARDI,1 su- 1,Lanuvio,15/01/2023
22:46.4,,PIERVINCENZI Matteo,03,ATL.STUD. RIETI ANDREA MILARDI,2 su- 1,Lanuvio,15/01/2023
23:25.7,,BARILE Leonardo,06,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
26:02.2,,RIGHI Domiziano,06,FIAMME GIALLE G. SIMONI,2 su- 1,Lanuvio,15/01/2023
26:57.6,,FEDERICI Cristian,07,FIAMME GIALLE G. SIMONI,3 su- 1,Lanuvio,15/01/2023
28:00.5,,DE SANTIS Claudio,07,FIAMME GIALLE G. SIMONI,4 su- 1,Lanuvio,15/01/2023
28:02.0,,CANZANELLA Alessio,07,LUDUS ATLETICA LIB VALM. ZAGA.,5 su- 1,Lanuvio,15/01/2023
28:10.8,,COLCERASA Tiziano,06,FIAMME GIALLE G. SIMONI,6 su- 1,Lanuvio,15/01/2023
,(10)/2023
22:05.2,,CAPOSTAGNO Filippo antonio,02,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
22:10.4,,DI CARLO Andrea,05,ATL.STUD. RIETI ANDREA MILARDI,1 su- 1,Lanuvio,15/01/2023
22:46.4,,PIERVINCENZI Matteo,03,ATL.STUD. RIETI ANDREA MILARDI,2 su- 1,Lanuvio,15/01/2023
23:25.7,,BARILE Leonardo,06,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
26:02.2,,RIGHI Domiziano,06,FIAMME GIALLE G. SIMONI,2 su- 1,Lanuvio,15/01/2023
26:57.6,,FEDERICI Cristian,07,FIAMME GIALLE G. SIMONI,3 su- 1,Lanuvio,15/01/2023
28:00.5,,DE SANTIS Claudio,07,FIAMME GIALLE G. SIMONI,4 su- 1,Lanuvio,15/01/2023
28:02.0,,CANZANELLA Alessio,07,LUDUS ATLETICA LIB VALM. ZAGA.,5 su- 1,Lanuvio,15/01/2023
28:10.8,,COLCERASA Tiziano,06,FIAMME GIALLE G. SIMONI,6 su- 1,Lanuvio,15/01/2023
,(10)/2023
22:05.2,,CAPOSTAGNO Filippo antonio,02,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
22:10.4,,DI CARLO Andrea,05,ATL.STUD. RIETI ANDREA MILARDI,1 su- 1,Lanuvio,15/01/2023
22:46.4,,PIERVINCENZI Matteo,03,ATL.STUD. RIETI ANDREA MILARDI,2 su- 1,Lanuvio,15/01/2023
23:25.7,,BARILE Leonardo,06,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
26:02.2,,RIGHI Domiziano,06,FIAMME GIALLE G. SIMONI,2 su- 1,Lanuvio,15/01/2023
26:57.6,,FEDERICI Cristian,07,FIAMME GIALLE G. SIMONI,3 su- 1,Lanuvio,15/01/2023
28:00.5,,DE SANTIS Claudio,07,FIAMME GIALLE G. SIMONI,4 su- 1,Lanuvio,15/01/2023
28:02.0,,CANZANELLA Alessio,07,LUDUS ATLETICA LIB VALM. ZAGA.,5 su- 1,Lanuvio,15/01/2023
28:10.8,,COLCERASA Tiziano,06,FIAMME GIALLE G. SIMONI,6 su- 1,Lanuvio,15/01/2023
,(10)/2023
22:05.2,,CAPOSTAGNO Filippo antonio,02,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
22:10.4,,DI CARLO Andrea,05,ATL.STUD. RIETI ANDREA MILARDI,1 su- 1,Lanuvio,15/01/2023
22:46.4,,PIERVINCENZI Matteo,03,ATL.STUD. RIETI ANDREA MILARDI,2 su- 1,Lanuvio,15/01/2023
23:25.7,,BARILE Leonardo,06,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
26:02.2,,RIGHI Domiziano,06,FIAMME GIALLE G. SIMONI,2 su- 1,Lanuvio,15/01/2023
26:57.6,,FEDERICI Cristian,07,FIAMME GIALLE G. SIMONI,3 su- 1,Lanuvio,15/01/2023
28:00.5,,DE SANTIS Claudio,07,FIAMME GIALLE G. SIMONI,4 su- 1,Lanuvio,15/01/2023
28:02.0,,CANZANELLA Alessio,07,LUDUS ATLETICA LIB VALM. ZAGA.,5 su- 1,Lanuvio,15/01/2023
28:10.8,,COLCERASA Tiziano,06,FIAMME GIALLE G. SIMONI,6 su- 1,Lanuvio,15/01/2023
,(10)/2023
22:05.2,,CAPOSTAGNO Filippo antonio,02,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
22:10.4,,DI CARLO Andrea,05,ATL.STUD. RIETI ANDREA MILARDI,1 su- 1,Lanuvio,15/01/2023
22:46.4,,PIERVINCENZI Matteo,03,ATL.STUD. RIETI ANDREA MILARDI,2 su- 1,Lanuvio,15/01/2023
23:25.7,,BARILE Leonardo,06,FIAMME GIALLE G. SIMONI,1 su- 1,Lanuvio,15/01/2023
26:02.2,,RIGHI Domiziano,06,FIAMME GIALLE G. SIMONI,2 su- 1,Lanuvio,15/01/2023
26:57.6,,FEDERICI Cristian,07,FIAMME GIALLE G. SIMONI,3 su- 1,Lanuvio,15/01/2023
28:00.5,,DE SANTIS Claudio,07,FIAMME GIALLE G. SIMONI,4 su- 1,Lanuvio,15/01/2023
28:02.0,,CANZANELLA Alessio,07,LUDUS ATLETICA LIB VALM. ZAGA.,5 su- 1,Lanuvio,15/01/2023
28:10.8,,COLCERASA Tiziano,06,FIAMME GIALLE G. SIMONI,6 su- 1,Lanuvio,15/01/2023
,(10)/2023
