Martello/HT Kg 4.000
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
37.86,,DERHEMI Xhavit,51,A.S.D. LIBERATLETICA,1 se- 3,Colleferro,20/05/2023
36.32,,DERHEMI Xhavit,51,A.S.D. LIBERATLETICA,1 se- 3,Colleferro,10/06/2023
36.08,,MAINO Antonio,51,ATL. O.S.A. SARONNO LIB.,1 su- 1,Ancona,09/03/2023
35.76,,SCORDINO Calogero,49,A.S. DIL. PUNTESE S.G LA PUNTA,1 su- 1,Mariano Comense,15/04/2023
34.81,,PILOTTO Giuseppe beniamino,52,ITALIA,1 su- 1,Acireale,23/06/2023
34.52,,VENTURI Tarcisio,51,A.S. LA FRATELLANZA 1874,2 su- 1,Mariano Comense,15/04/2023
34.50,,MIORELLI Alvaro,51,ATLETICA SANDRO CALVESI,8 su- 1,Aosta,18/03/2023
34.34,,MIORELLI Alvaro,51,ATLETICA SANDRO CALVESI,1 su- 1,Beinasco,14/05/2023
34.25,,MIORELLI Alvaro,51,ATLETICA SANDRO CALVESI,1 su- 1,Santhia,18/06/2023
34.08,,SCORDINO Calogero,49,A.S. DIL. PUNTESE S.G LA PUNTA,2 su- 1,Ancona,09/03/2023
,(10)/2023
33.99,,MIORELLI Alvaro,51,ATLETICA SANDRO CALVESI,3 su- 1,Mariano Comense,15/04/2023
33.75,,PILOTTO Giuseppe beniamino,52,ITALIA,3 su- 1,Ancona,09/03/2023
33.58,,MIORELLI Alvaro,51,ATLETICA SANDRO CALVESI,2 su- 1,Acireale,23/06/2023
33.34,,MIORELLI Alvaro,51,ATLETICA SANDRO CALVESI,4 su- 1,Ancona,09/03/2023
33.26,,SCORDINO Calogero,49,A.S. DIL. PUNTESE S.G LA PUNTA,2 se- 1,Villafranca Tirrena,18/03/2023
33.22,,VENTURI Tarcisio,51,A.S. LA FRATELLANZA 1874,2 su- 1,Santhia,18/06/2023
33.14,,SCORDINO Calogero,49,A.S. DIL. PUNTESE S.G LA PUNTA,3 su- 1,Acireale,23/06/2023
32.95,,PILOTTO Giuseppe beniamino,52,ITALIA,4 su- 1,Mariano Comense,15/04/2023
32.88,,VENTURI Tarcisio,51,A.S. LA FRATELLANZA 1874,10 su- 1,Aosta,18/03/2023
32.61,,MIORELLI Alvaro,51,ATLETICA SANDRO CALVESI,1 su- 1,Novara,12/02/2023
,(20)/2023
32.45,,PILOTTO Giuseppe beniamino,52,ITALIA,3 su- 1,Santhia,18/06/2023
31.72,,MENEGOTTO Alberto,49,A.S.D. SUEDTIROL TEAM CLUB,1 su- 1,Bolzano,11/06/2023
31.03,,VENTURI Tarcisio,51,A.S. LA FRATELLANZA 1874,5 su- 1,Cesena,07/05/2023
30.33,,SAGONI Roberto,47,GIOVANNI SCAVO 2000 ATL.,2 se- 3,Colleferro,10/06/2023
29.18,,SAGONI Roberto,47,GIOVANNI SCAVO 2000 ATL.,5 su- 1,Mariano Comense,15/04/2023
27.65,,SAGONI Roberto,47,GIOVANNI SCAVO 2000 ATL.,1 su- 1,Latina,08/01/2023
27.38,,BONALDO Umberto,50,ATLETICA  VILLORBA,9 su- 1,Bovolone,30/04/2023
27.37,,MANCINI Roberto,51,ASD LAZIO OLIMPIA RUNNERS TEAM,2 se- 3,Colleferro,20/05/2023
26.28,,NATALE Piero,50,A.P.D. ECOLOGICA 'G',1 su- 1,Sulmona,07/05/2023
25.94,,BONALDO Umberto,50,ATLETICA  VILLORBA,1 su- 1,Trieste,11/02/2023
,(30)/2023
25.77,,D'ANNIBALE Daniele,51,ASD ATLETICA PISTOIA,5 su- 1,Ancona,09/03/2023
25.70,,SAGONI Roberto,47,GIOVANNI SCAVO 2000 ATL.,3 se- 3,Colleferro,20/05/2023
25.62,,BONALDO Umberto,50,ATLETICA  VILLORBA,4 su- 1,Acireale,23/06/2023
25.53,,MANCINI Roberto,51,ASD LAZIO OLIMPIA RUNNERS TEAM,6 su- 1,Ancona,09/03/2023
24.62,,D'ANNIBALE Daniele,51,ASD ATLETICA PISTOIA,8 su- 1,Pistoia,07/05/2023
24.58,,DOTTO Giorgio,53,VIRTUS ESTE,7 su- 1,San Biagio Di Callalta,07/05/2023
24.56,,MANTOVANI Bruno angelo,50,ROAD RUNNERS CLUB MILANO,9 su- 1,Brescia,16/05/2023
24.12,,BONALDO Umberto,50,ATLETICA  VILLORBA,6 su- 1,Mariano Comense,15/04/2023
23.30,,PULEO Fausto,46,AMATORI MASTERS NOVARA,4 su- 1,Santhia,18/06/2023
23.09,,SOFFIENTINI Virginio,53,ATL. VIRTUS CASTENEDOLO,7 su- 1,Mariano Comense,15/04/2023
,(40)/2023
22.96,,PULEO Fausto,46,AMATORI MASTERS NOVARA,8 su- 1,Mariano Comense,15/04/2023
22.87,,PULEO Fausto,46,AMATORI MASTERS NOVARA,2 su- 1,Novara,12/02/2023
22.70,,PULEO Fausto,46,AMATORI MASTERS NOVARA,1 su- 1,Asti,22/06/2023
21.98,,MARIANI Giancarlo,45,A.ATL. TRODICA,1 su- 1,Macerata,04/06/2023
21.83,,PULEO Fausto,46,AMATORI MASTERS NOVARA,1 su- 1,Vercelli,10/06/2023
21.64,,MANTOVANI Bruno angelo,50,ROAD RUNNERS CLUB MILANO,5 su- 1,Santhia,18/06/2023
21.57,,BONALDO Umberto,50,ATLETICA  VILLORBA,7 su- 1,Ancona,09/03/2023
21.53,,SOFFIENTINI Virginio,53,ATL. VIRTUS CASTENEDOLO,6 su- 1,Santhia,18/06/2023
21.52,,ORSI Massimo,47,ATL.PIETRASANTA VERSILIA,9 su- 1,Pistoia,07/05/2023
21.38,,BENEVELLI Paolo,44,LYCEUM ROMA XIII A.P.D.,1 su- 1,Ancona,09/03/2023
,(50)/2023
21.33,,BONFA' Sergio,44,ATL. RIGOLETTO,5 su- 1,Mantova,21/05/2023
21.09,,PULEO Fausto,46,AMATORI MASTERS NOVARA,2 su- 1,Beinasco,14/05/2023
20.21,,GUALDI Marco,53,ASD GRUPPO CITTA DI GENOVA,3 su- 1,Boissano,18/06/2023
20.03,,PINNA Alberto,52,MARATONETI GENOVESI,4 su- 1,Boissano,18/06/2023
19.65,,PINNA Alberto,52,MARATONETI GENOVESI,1 su- 1,Boissano,01/04/2023
19.62,,DEODARI Renzo,46,ACQUADELA BOLOGNA,11 su- 1,Cesena,07/05/2023
18.76,,DEODARI Renzo,46,ACQUADELA BOLOGNA,2 su- 1,Ancona,09/03/2023
18.72,,DEODARI Renzo,46,ACQUADELA BOLOGNA,1 su- 1,Acireale,23/06/2023
18.57,,DEODARI Renzo,46,ACQUADELA BOLOGNA,7 su- 1,Santhia,18/06/2023
18.24,,DEODARI Renzo,46,ACQUADELA BOLOGNA,9 su- 1,Mariano Comense,15/04/2023
,(60)/2023
17.42,,LEOGRANDE Giovanni francesco,51,AMATORI ATL. ACQUAVIVA,1 se- 1,Lecce,30/04/2023
16.67,,CORDUA Pasquale,47,ASD ARCA ATL.AVERSA A.AVERSANO,1 su- 1,Salerno,01/07/2023
16.52,,CICCARELLI Filiberto,46,ATLETICA OSIMO,3 su- 1,Ancona,09/03/2023
16.15,,CORDUA Pasquale,47,ASD ARCA ATL.AVERSA A.AVERSANO,1 su- 1,Salerno,04/06/2023
15.89,,FRACCHIA Giorgio,48,S.S. VITTORIO ALFIERI ASTI,8 su- 1,Santhia,18/06/2023
15.72,,DE PILLA Elio,46,S G AMSICORA,1 su- 1,Cagliari,01/04/2023
15.67,,DE PILLA Elio,46,S G AMSICORA,1 su- 1,Sassari,22/04/2023
15.43,,SALA Federico,49,TEAM ALTO LAMBRO,10 su- 1,Mariano Comense,15/04/2023
15.18,,CICCARELLI Filiberto,46,ATLETICA OSIMO,2 su- 1,Macerata,04/06/2023
13.22,,DI MEGLIO Franco,48,ATLETICA POSILLIPO,2 su- 1,Salerno,04/06/2023
,(70)/2023
11.75,,MOSTACCIUOLO Sergio,50,LIBERTAS AMATORI ATLETICA LEGG,3 su- 1,Salerno,04/06/2023
37.86,,DERHEMI Xhavit,51,A.S.D. LIBERATLETICA,1 se- 3,Colleferro,20/05/2023
