Peso/SP Kg 4.000
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
12.40,,DERHEMI Xhavit,51,A.S.D. LIBERATLETICA,1 se- 3,Colleferro,20/05/2023
12.31,,VENTURI Tarcisio,51,A.S. LA FRATELLANZA 1874,1 su- 1,Aosta,18/03/2023
12.23,,VENTURI Tarcisio,51,A.S. LA FRATELLANZA 1874,1 su- 1,Cesena,07/05/2023
12.08,,DERHEMI Xhavit,51,A.S.D. LIBERATLETICA,1 se- 3,Colleferro,10/06/2023
12.03,,VENTURI Tarcisio,51,A.S. LA FRATELLANZA 1874,1 su- 1,Mariano Comense,15/04/2023
11.88,,VENTURI Tarcisio,51,A.S. LA FRATELLANZA 1874,1 su- 1,Santhia,18/06/2023
11.47,,SCORDINO Calogero,49,A.S. DIL. PUNTESE S.G LA PUNTA,1 su- 1,Siracusa,17/06/2023
11.46,,CURTOLO Piergiorgio,48,VIRTUS ESTE,3 su- 1,San Biagio Di Callalta,07/05/2023
11.31,,CURTOLO Piergiorgio,48,VIRTUS ESTE,1 su- 1,Domegge Di Cadore,22/04/2023
11.17,,MIORELLI Alvaro,51,ATLETICA SANDRO CALVESI,1 su- 1,Acireale,23/06/2023
,(10)/2023
11.16,,CURTOLO Piergiorgio,48,VIRTUS ESTE,4 su- 1,Monselice,04/06/2023
11.12,,MIORELLI Alvaro,51,ATLETICA SANDRO CALVESI,2 su- 1,Santhia,18/06/2023
11.04,,SCORDINO Calogero,49,A.S. DIL. PUNTESE S.G LA PUNTA,2 su- 1,Mariano Comense,15/04/2023
11.02,,ROSSI Gilberto,50,CUS PISA,2 su- 1,Pistoia,07/05/2023
11.01,,SCORDINO Calogero,49,A.S. DIL. PUNTESE S.G LA PUNTA,2 su- 1,Acireale,23/06/2023
10.99,,ROSSI Gilberto,50,CUS PISA,1 su- 1,Firenze,10/06/2023
10.94,,CURTOLO Piergiorgio,48,VIRTUS ESTE,1 su- 1,Brugnera,10/06/2023
