Salto in lungo/LJ
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
8.44,+2.2,FURLANI Mattia,05,G.S. FIAMME ORO PADOVA,1 su- 1,Savona,24/05/2023
8.24,-0.7,FURLANI Mattia,05,G.S. FIAMME ORO PADOVA,1 su- 1,Hengelo,04/06/2023
8.04,+0.6,FURLANI Mattia,05,G.S. FIAMME ORO PADOVA,1 su- 1,Palermo,11/06/2023
8.00,+1.7,FURLANI Mattia,05,G.S. FIAMME ORO PADOVA,1 su- 1,Savona,24/05/2023
7.97,-0.4,FURLANI Mattia,05,G.S. FIAMME ORO PADOVA,2 su- 1,Chorzow,24/06/2023
7.94,+2.8,MERSAL Kareem hatem,01,VV MANAGEMENT ASD,1 su- 1,Agropoli,18/06/2023
7.90,+1.9,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,1 su- 1,Grosseto,27/05/2023
7.86,+1.1,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,1 su- 1,Nembro,01/07/2023
7.83,+1.0,MERSAL Kareem hatem,01,VV MANAGEMENT ASD,4 su- 1,Clovis,12/05/2023
7.83,+1.3,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,2 su- 1,Palermo,11/06/2023
,(10)/2023
7.76,+0.8,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,1 su- 1,Palermo,22/04/2023
7.74,+0.5,CHAHBOUN Mohamed reda,97,ATL.LIBERTAS UNICUSANO LIVORNO,2 su- 1,Grosseto,27/05/2023
7.73,-1.0,FURLANI Mattia,05,G.S. FIAMME ORO PADOVA,9 su- 1,Losanna,30/06/2023
7.69,+0.7,PAZ SOTO Geovany,96,SSD NISSOLINO SPORT SRL ASU,3 su- 1,Grosseto,27/05/2023
7.69,+0.4,CHAHBOUN Mohamed reda,97,ATL.LIBERTAS UNICUSANO LIVORNO,1 su- 1,Bergamo,11/06/2023
7.65,+1.0,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,4 su- 1,Savona,24/05/2023
7.65,+0.9,PAZ SOTO Geovany,96,SSD NISSOLINO SPORT SRL ASU,5 su- 1,Savona,24/05/2023
7.65,+0.2,PINI Leonardo,03,CREMONA SPORTIVA ATL. ARVEDI,1 su- 1,Brescia,04/06/2023
7.64,+1.6,MERSAL Kareem hatem,01,VV MANAGEMENT ASD,6 su- 1,Long Beach,15/04/2023
7.63,+2.1,CHAHBOUN Mohamed reda,97,ATL.LIBERTAS UNICUSANO LIVORNO,6 su- 1,Savona,24/05/2023
,(20)/2023
7.63,+4.0,PINI Leonardo,03,CREMONA SPORTIVA ATL. ARVEDI,2 su- 1,Agropoli,18/06/2023
7.62,+2.6,NKEONYE Destiny,01,ATHLETIC CLUB 96 ALPERIA,3 se- 2,Houston,22/04/2023
7.58,+2.2,PINI Leonardo,03,CREMONA SPORTIVA ATL. ARVEDI,4 su- 1,Grosseto,27/05/2023
