Staffetta 4X100
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
38.38,,"PATTA LORENZO SM,MELLUZZO MATTEO PM,DESALU ESEOSA FOSTINE SM,TORTU FILIPPO SM",,G.A. FIAMME GIALLE,1 se- 1,Firenze,07/05/2023
40.29,,"SALA R. PM,TRENTO E. PM,LURASCHI E. PM,ANTONIETTI M. PM",,ATL. O.S.A. SARONNO LIB.,1 se- 2,Agropoli,17/06/2023
40.39,,"VALENTINI PM,ZLATAN SM,ORI SM,FORNASARI SM",,A.S. LA FRATELLANZA 1874,1 su- 1,Parma,01/07/2023
40.71,,"ROSSI L. PM,SACCHETTO N. PM,TONELLA L. JM,FEDERICI A. SM",,ASD ATLETICA BIOTEKNA,1 se- 2,Palermo,10/06/2023
40.71,,"MANETTI A. JM,PONTIGGIA G. SM,FERRANTE F. SM,MERIGGI M. SM",,ATLETICA FIRENZE MARATHON S.S.,2 se- 2,Palermo,10/06/2023
40.72,,"SALA PM,TRENTO PM,LURASCHI PM,ANTONIETTI PM",,ATL. O.S.A. SARONNO LIB.,1 se- 2,Pietrasanta,10/06/2023
40.73,,"VALENTINI PM,ZLATAN SM,ORI SM,FORNASARI SM",,A.S. LA FRATELLANZA 1874,1 se- 1,Castelfranco Emilia,28/06/2023
40.76,,"MANINI Federico PM,BARESI Tommaso alessio PM,CASAREALE Alberto PM,ROSSI Fra",,CUS PRO PATRIA MILANO,1 se- 2,Pavia,30/04/2023
40.77,,"CEGLIE F. SM,BUCCIOL M. SM,LEI L. PM,GEMILI A. SM",,ASSINDUSTRIA SPORT,1 se- 1,Bergamo,10/06/2023
40.83,,"PONTIGGIA Giovanni maria SM,MERIGGI Massimiliano SM,GRAMIGNA Cosimo PM,BRAN",,ATLETICA FIRENZE MARATHON S.S.,5 su- 1,Firenze,07/05/2023
,(10)/2023
40.85,,"MAREK E. PM,RIGNANESE S. PM,PIAZZALUNGA F. SM,VALETTI D. PM",,ATL. BERGAMO 1959 ORIOCENTER,1 se- 3,Bergamo,10/06/2023
40.92,,"SALA Riccardo PM,TRENTO Emanuele PM,LURASCHI Edoardo PM,ANTONIETTI Mattia P",,ATL. O.S.A. SARONNO LIB.,1 se- 1,Saronno,13/05/2023
40.93,,"SALA PM,TRENTO PM,LURASCHI PM,ANTONIETTI PM",,ATL. O.S.A. SARONNO LIB.,1 se- 2,Nembro,27/05/2023
40.93,,"MONTE A. SM,RIPARELLI J. SM40,NKEONYE D. PM,IANES L. SM",,ATHLETIC CLUB 96 ALPERIA,2 se- 1,Palermo,10/06/2023
41.01,,"VALENTINI R. PM,ZLATAN A. SM,CAVINI A. SM,FORNASARI F. SM",,A.S. LA FRATELLANZA 1874,3 se- 2,Palermo,10/06/2023
41.02,,"MILANI T. SM,ROLFI G. PM,MONOLO P. PM,DONOLA M. SM",,PRO SESTO ATL. CERNUSCO,4 se- 2,Palermo,10/06/2023
41.15,,"BOLLINI SM,GASPERONI SM,MOLINARI SM,SANSOVINI SM",,OLIMPUS SAN MARINO ATLETICA,2 su- 1,Marsa,03/06/2023
41.17,,"LEI L. PM,NICOLETTO A. PM,BOLZONELLO M. PM,ALBERTIN J. PM",,ASSINDUSTRIA SPORT,1 se- 1,Agropoli,17/06/2023
41.21,,"ROSSI L. PM,SACCHETTO N. PM,DAL POZZO M. PM,ANZIVINO R. PM",,ASD ATLETICA BIOTEKNA,2 se- 2,Agropoli,17/06/2023
41.22,,"SALA PM,MOLINA PM,LURASCHI PM,ANTONIETTI PM",,ATL. O.S.A. SARONNO LIB.,1 se- 3,Varese,16/04/2023
,(20)/2023
41.28,,"BOLLINI SM,GASPERONI SM,MOLINARI SM,SANSOVINI SM",,OLIMPUS SAN MARINO ATLETICA,1 se- 1,San Marino,29/04/2023
41.31,,"IURIG ALESSANDRO SM,MESSINA PAOLO PM,BRUNETTI MICHELE PM,DOMENIS LEO OUMAR",,TRIESTE ATLETICA,1 se- 2,Pordenone,06/05/2023
41.31,,"SPURI PM,SPURI SM,RINALDI SM,PAGLIARINI AM",,ATLETICA FANO TECHFEM,1 su- 1,San Marino,07/06/2023
41.33,,"BERGAMASCHI F. PM,ROLFI G. PM,GARGANTINI F. PM,MONOLO P. PM",,PRO SESTO ATL. CERNUSCO,3 se- 2,Agropoli,17/06/2023
41.40,,"BOZZA M. SM,VARIOLA A. SM,ORLANDINI L. SM,ANTONEL N. PM",,ATL BRUGNERA PN FRIULINTAGLI,5 se- 2,Palermo,10/06/2023
41.43,,"SALMI JM,MASINI SM,APREA SM,KYEREME SM",,G.S.SELF ATL. MONTANARI GRUZZA,1 se- 1,Modena,13/05/2023
41.44,,"BONETTI PM,GIANANTONI SM,TARDITO SM,MASTRIPPOLITO SM",,S.E.F. VIRTUS EMILSIDER BO,2 se- 1,Castelfranco Emilia,28/06/2023
41.48,,"BRUNELLO E. SM,QUARSHIE S. SM,GUIDOLIN D. PM,NORBIATO G. SM",,ATL.VICENTINA,1 se- 1,San Biagio Di Callalta,30/06/2023
41.52,,"MONACELLI L. SM,SPURI M. SM,RINALDI M. SM,PAGLIARINI F. AM",,ATLETICA FANO TECHFEM,1 se- 1,Fabriano,20/05/2023
41.55,,"ROSSI L. PM,SACCHETTO N. PM,TONELLA L. JM,ANZIVINO R. PM",,ASD ATLETICA BIOTEKNA,1 se- 1,Conegliano,23/04/2023
,(30)/2023
41.55,,"MILANI Thomas SM,ROLFI Giovanni PM,MONOLO Pietro PM,DONOLA Mattia SM",,PRO SESTO ATL. CERNUSCO,2 se- 1,Saronno,13/05/2023
41.58,,"BONETTI PM,GIANANTONI SM,TARDITO SM,ZONARELLI PM",,S.E.F. VIRTUS EMILSIDER BO,2 se- 2,Pietrasanta,10/06/2023
41.59,,"VOTA JM,ANDREIS DE GREGORIO JM,MENCHINI JM,MARTINELLI JM",,SISPORT SSD,1 se- 1,Giaveno,23/04/2023
41.60,,"GIARDINO F. SM,DI PANFILO M. SM,SAFRAOUI S. JM,MASTRACCI F. PM",,SSD NISSOLINO SPORT SRL ASU,2 se- 3,Bergamo,10/06/2023
