Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG33914,Nuovo,,Salto con l'asta,Salto con l'asta UOMINI,https://www.fidal.it/risultati/2024/REG33914/Risultati/Gara027.html
REG33914,Nuovo,,Salto con l'asta,Salto con l'asta DONNE,https://www.fidal.it/risultati/2024/REG33914/Risultati/Gara127.html
REG33914,Nuovo,,Salto con l'asta,Salto con l'asta CADETTI,https://www.fidal.it/risultati/2024/REG33914/Risultati/Gara227.html
REG33914,Nuovo,,Salto con l'asta,Salto con l'asta CADETTE,https://www.fidal.it/risultati/2024/REG33914/Risultati/Gara327.html
REG33856,Nuovo,,"Disco 2,000Kg","Disco/DT Kg 2,000 UOMINI",https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara032.html
REG33856,Nuovo,,Martello 7.260Kg,Martello/HT Kg 7.260 UOMINI,https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara033.html
REG33856,Nuovo,,Giavellotto 800g,Giavellotto/JT Gr800 UOMINI,https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara034.html
REG33856,Nuovo,,"Disco 1,000Kg","Disco/DT Kg 1,000 DONNE",https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara132.html
REG33856,Nuovo,,Martello 4.000Kg,Martello/HT Kg 4.000 DONNE,https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara133.html
REG33856,Nuovo,,Giavellotto 600g,Giavellotto/JT Gr600 DONNE,https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara134.html
REG33856,Nuovo,,"Disco 1,750Kg","Disco/DT Kg 1,750 JUNIORES UOMINI",https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara232.html
REG33856,Nuovo,,Martello 6.000Kg,Martello/HT Kg 6.000 JUNIORES UOMINI,https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara233.html
REG33856,Nuovo,,"Disco 1,500Kg","Disco/DT Kg 1,500 ALLIEVI",https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara332.html
REG33856,Nuovo,,Martello 5.000Kg,Martello/HT Kg 5.000 ALLIEVI,https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara333.html
REG33856,Nuovo,,Giavellotto 700g,Giavellotto/JT Gr700 ALLIEVI,https://www.fidal.it/risultati/2024/REG33856/Risultati/Gara334.html
