Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG19361,Vecchio,,60m,60 piani  DONNE,https://www.fidal.it/risultati/2019/REG19361/Gara101.htm
REG19361,Vecchio,,3000m,3000 metri  DONNE,https://www.fidal.it/risultati/2019/REG19361/Gara113.htm
REG19361,Vecchio,,60 Hs h76,60 Hs H 76  ALLIEVE,https://www.fidal.it/risultati/2019/REG19361/Gara121.htm
REG19361,Vecchio,,60 Hs h84,60 Hs H 84  DONNE,https://www.fidal.it/risultati/2019/REG19361/Gara122.htm
REG19361,Vecchio,,60m,60 piani  UOMINI,https://www.fidal.it/risultati/2019/REG19361/Gara201.htm
REG19361,Vecchio,,3000m,3000 metri  UOMINI,https://www.fidal.it/risultati/2019/REG19361/Gara213.htm
REG19361,Vecchio,,60 Hs h91,60 Hs H 91  ALLIEVI,https://www.fidal.it/risultati/2019/REG19361/Gara221.htm
REG19361,Vecchio,,60 Hs h100,60 Hs H 100  JUNIOR UOMINI,https://www.fidal.it/risultati/2019/REG19361/Gara222.htm
REG19361,Vecchio,,60 Hs h106,60 Hs H 106  UOMINI,https://www.fidal.it/risultati/2019/REG19361/Gara223.htm
REG19361,Vecchio,,Salto con l'asta,Salto con l'asta  DONNE,https://www.fidal.it/risultati/2019/REG19361/Gara127.htm
REG19361,Vecchio,,Salto triplo,Salto triplo  DONNE,https://www.fidal.it/risultati/2019/REG19361/Gara129.htm
REG19361,Vecchio,,Salto in alto,Salto in alto  UOMINI,https://www.fidal.it/risultati/2019/REG19361/Gara226.htm
REG19361,Vecchio,,Salto in lungo,Salto in lungo  UOMINI,https://www.fidal.it/risultati/2019/REG19361/Gara228.htm
REG19242,Vecchio,,60m,60 piani UOMINI,https://www.fidal.it/risultati/2019/REG19242/Gara001.htm
REG19242,Vecchio,,400m,400 metri UOMINI,https://www.fidal.it/risultati/2019/REG19242/Gara006.htm
REG19242,Vecchio,,1000m,1000 metri UOMINI,https://www.fidal.it/risultati/2019/REG19242/Gara009.htm
