Data	Codice	Home	Risultati	Versione Sigma	Status	Ultimo Aggiornamento
2020-01-04	REG22556	https://www.fidal.it/risultati/2020/REG22556/Index.htm	https://www.fidal.it/risultati/2020/REG22556/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-09
2020-01-05	COD8439	https://www.fidal.it/risultati/2020/COD8439/Index.htm	https://www.fidal.it/risultati/2020/COD8439/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-11	REG22895	https://www.fidal.it/risultati/2020/REG22895/Index.htm	https://www.fidal.it/risultati/2020/REG22895/RESULTSBYEVENT1.htm	Vecchio #1	ok	2024-02-09
2020-01-11	REG22887	https://www.fidal.it/risultati/2020/REG22887/Index.htm	https://www.fidal.it/risultati/2020/REG22887/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-11	REG22643	https://www.fidal.it/risultati/2020/REG22643/Index.htm	https://www.fidal.it/risultati/2020/REG22643/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-09
2020-01-11	REG22798	https://www.fidal.it/risultati/2020/REG22798/Index.htm	https://www.fidal.it/risultati/2020/REG22798/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-11	REG22439	https://www.fidal.it/risultati/2020/REG22439/Index.htm	https://www.fidal.it/risultati/2020/REG22439/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-09
2020-01-12	REG22644	https://www.fidal.it/risultati/2020/REG22644/Index.htm	https://www.fidal.it/risultati/2020/REG22644/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-09
2020-01-12	REG22917	https://www.fidal.it/risultati/2020/REG22917/Index.htm	https://www.fidal.it/risultati/2020/REG22917/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-09
2020-01-12	REG22645	https://www.fidal.it/risultati/2020/REG22645/Index.htm	https://www.fidal.it/risultati/2020/REG22645/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-09
2020-01-12	REG22529	https://www.fidal.it/risultati/2020/REG22529/Index.htm	https://www.fidal.it/risultati/2020/REG22529/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-12	COD7957	https://www.fidal.it/risultati/2020/COD7957/Index.htm	https://www.fidal.it/risultati/2020/COD7957/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-12	REG22706	https://www.fidal.it/risultati/2020/REG22706/Index.htm	https://www.fidal.it/risultati/2020/REG22706/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-12	REG22686	https://www.fidal.it/risultati/2020/REG22686/Index.htm	https://www.fidal.it/risultati/2020/REG22686/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-12	REG22594	https://www.fidal.it/risultati/2020/REG22594/Index.htm	https://www.fidal.it/risultati/2020/REG22594/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-12	REG22455	https://www.fidal.it/risultati/2020/REG22455/Index.htm	https://www.fidal.it/risultati/2020/REG22455/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-12	REG22557	https://www.fidal.it/risultati/2020/REG22557/Index.htm	https://www.fidal.it/risultati/2020/REG22557/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-09
2020-01-15	REG22646	https://www.fidal.it/risultati/2020/REG22646/Index.htm	https://www.fidal.it/risultati/2020/REG22646/RESULTSBYEVENT1.htm	Vecchio #3	ok	2024-02-09
2020-01-18	REG22799	https://www.fidal.it/risultati/2020/REG22799/Index.htm	https://www.fidal.it/risultati/2020/REG22799/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-18	REG22972				Gara non esistente	2024-02-09
2020-01-18	REG22533	https://www.fidal.it/risultati/2020/REG22533/Index.htm	https://www.fidal.it/risultati/2020/REG22533/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-18	REG22647	https://www.fidal.it/risultati/2020/REG22647/Index.htm	https://www.fidal.it/risultati/2020/REG22647/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-09
2020-01-18	REG22595	https://www.fidal.it/risultati/2020/REG22595/Index.htm	https://www.fidal.it/risultati/2020/REG22595/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-18	REG22934	https://www.fidal.it/risultati/2020/REG22934/Index.htm	https://www.fidal.it/risultati/2020/REG22934/Index.htm	Vecchissimo	ok	2024-02-09
2020-01-19	REG22649	https://www.fidal.it/risultati/2020/REG22649/Index.htm	https://www.fidal.it/risultati/2020/REG22649/RESULTSBYEVENT1.htm	Vecchio #2	ok	2024-02-09
2020-01-19	REG22540	https://www.fidal.it/risultati/2020/REG22540/Index.htm	https://www.fidal.it/risultati/2020/REG22540/Index.htm	Vecchissimo	ok	2024-02-09
