Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG34144,Nuovo,,60m,60m Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara001.html
REG34144,Nuovo,,200m,200m Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
REG34144,Nuovo,,400m,400m Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara006.html
REG34144,Nuovo,,800m,800m Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara008.html
REG34144,Nuovo,,1500m,1500m Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara011.html
REG34144,Nuovo,,3000m,3000m Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara013.html
REG34144,Nuovo,,Marcia 3000m,Marcia 3000m Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara043.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara060.html
REG34144,Nuovo,,60m,60m Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara101.html
REG34144,Nuovo,,200m,200m Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
REG34144,Nuovo,,400m,400m Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara106.html
REG34144,Nuovo,,800m,800m Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara108.html
REG34144,Nuovo,,1500m,1500m Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara111.html
REG34144,Nuovo,,3000m,3000m Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara113.html
REG34144,Nuovo,,Marcia 3000m,Marcia 3000m Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara143.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara160.html
REG34144,Nuovo,,60m,60m Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara201.html
REG34144,Nuovo,,200m,200m Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara204.html
REG34144,Nuovo,,400m,400m Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara206.html
REG34144,Nuovo,,800m,800m Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara208.html
REG34144,Nuovo,,1500m,1500m Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara211.html
REG34144,Nuovo,,3000m,3000m Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara213.html
REG34144,Nuovo,,60m,60m Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara301.html
REG34144,Nuovo,,200m,200m Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara304.html
REG34144,Nuovo,,400m,400m Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara306.html
REG34144,Nuovo,,800m,800m Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara308.html
REG34144,Nuovo,,1500m,1500m Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara311.html
REG34144,Nuovo,,60m,60m Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara401.html
REG34144,Nuovo,,200m,200m Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara404.html
REG34144,Nuovo,,400m,400m Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara406.html
REG34144,Nuovo,,800m,800m Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara408.html
REG34144,Nuovo,,1500m,1500m Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara411.html
REG34144,Nuovo,,3000m,3000m Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara413.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara460.html
REG34144,Nuovo,,60m,60m Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara501.html
REG34144,Nuovo,,200m,200m Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara504.html
REG34144,Nuovo,,400m,400m Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara506.html
REG34144,Nuovo,,800m,800m Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara508.html
REG34144,Nuovo,,1500m,1500m Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara511.html
REG34144,Nuovo,,Marcia 3000m,Marcia 3000m Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara543.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara560.html
REG34144,Nuovo,,60m,60m Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara601.html
REG34144,Nuovo,,300m,300m Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara605.html
REG34144,Nuovo,,600m,600m Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara607.html
REG34144,Nuovo,,Marcia 3000m,Marcia 3000m Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara643.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara660.html
REG34144,Nuovo,,60m,60m Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara701.html
REG34144,Nuovo,,300m,300m Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara705.html
REG34144,Nuovo,,600m,600m Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara707.html
REG34144,Nuovo,,Marcia 3000m,Marcia 3000m Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara743.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara760.html
REG34144,Nuovo,,60m,60m Ragazzi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara801.html
REG34144,Nuovo,,600m,600m Ragazzi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara807.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Ragazzi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara860.html
REG34144,Nuovo,,60m,60m Ragazze,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara901.html
REG34144,Nuovo,,600m,600m Ragazze,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara907.html
REG34144,Nuovo,,Marcia 2000m,Marcia 2000m Ragazze,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara942.html
REG34144,Nuovo,,4x200m,Staffetta 4x200 Ragazze,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara960.html
REG34144,Nuovo,,60m,60m Eso M10,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE01.html
REG34144,Nuovo,,200m,200m Eso M10,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE02.html
REG34144,Nuovo,,60m,60m Eso F10,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE11.html
REG34144,Nuovo,,200m,200m Eso F10,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE12.html
REG34144,Nuovo,,60m,60m Eso M8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE21.html
REG34144,Nuovo,,200m,200m Eso M8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE22.html
REG34144,Nuovo,,60m,60m Eso F8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE31.html
REG34144,Nuovo,,200m,200m Eso F8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE32.html
REG34144,Nuovo,,60m,60m Eso M5,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE41.html
