Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG26901,Nuovo,,200m,200 metri UOMINI,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara004.html
REG26901,Nuovo,,1500m,1500 metri UOMINI,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara011.html
REG26901,Nuovo,,200m,200 metri DONNE,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara104.html
REG26901,Nuovo,,1500m,1500 metri DONNE,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara111.html
REG26901,Nuovo,,Salto con l'asta,Salto con l'asta/PV UOMINI,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara027.html
REG26901,Nuovo,,Salto triplo,Salto triplo/TJ DONNE,https://www.fidal.it/risultati/2022/REG26901/Risultati/Gara129.html
REG30323,Nuovo,,60m,60 metri Ragazzi,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara001.html
REG30323,Nuovo,,60m,60 metri Ragazze,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara101.html
REG30323,Nuovo,,60 Hs h60,60 Hs H60 Ragazze,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara120.html
REG30323,Nuovo,,60m,60 metri Cadetti,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara201.html
REG30323,Nuovo,,60 Hs h76,60 Hs H76 Cadette,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara320.html
REG30323,Nuovo,,Salto in lungo,Salto in lungo Ragazzi,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara028.html
REG30323,Nuovo,,Salto con l'asta,Salto con l'asta Cadetti,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara227.html
REG30323,Nuovo,,Salto con l'asta,Salto con l'asta Cadette,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara327.html
REG30323,Nuovo,,Salto in lungo,Salto in lungo Cadette,https://www.fidal.it/risultati/2022/REG30323/Risultati/Gara328.html
COD10310,Nuovo,,Salto con l'asta,Asta Donne Gr. 1,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara027.html
COD10310,Nuovo,,Salto con l'asta,Asta Uomini Gr. 1,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara127.html
COD10310,Nuovo,,Salto con l'asta,Asta Donne Gr. 2,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara227.html
COD10310,Nuovo,,Salto con l'asta,Asta Uomini Gr. 2,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara327.html
COD10310,Nuovo,,Salto con l'asta,Asta Donne TOP 6,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara427.html
COD10310,Nuovo,,Salto con l'asta,Asta Uomini TOP 6,https://www.fidal.it/risultati/2022/COD10310/Risultati/Gara527.html
REG26991,Vecchio,,Salto triplo,Salto triplo/TJ Donne,https://www.fidal.it/risultati/2022/REG26991/Gara029.htm
REG26991,Vecchio,,Salto triplo,Salto triplo/TJ Uomini,https://www.fidal.it/risultati/2022/REG26991/Gara129.htm
REG27204,Vecchio,,50m,50m Uomini,https://www.fidal.it/risultati/2022/REG27204/Gara156.htm
REG27204,Vecchio,,50 Hs h91,50 Hs H91 Allievi,https://www.fidal.it/risultati/2022/REG27204/Gara158.htm
REG27204,Vecchio,,50 Hs h100,50 Hs H100 Juniores Uomini,https://www.fidal.it/risultati/2022/REG27204/Gara159.htm
REG27204,Vecchio,,50 Hs h106,50 Hs H106 Uomini,https://www.fidal.it/risultati/2022/REG27204/Gara160.htm
REG27204,Vecchio,,1500m,1500m Donne,https://www.fidal.it/risultati/2022/REG27204/Gara211.htm
REG27204,Vecchio,,50m,50m Donne,https://www.fidal.it/risultati/2022/REG27204/Gara256.htm
REG27204,Vecchio,,50 Hs h76,50 Hs H76 Allieve,https://www.fidal.it/risultati/2022/REG27204/Gara258.htm
REG27204,Vecchio,,50 Hs h84,50 Hs H84 Donne,https://www.fidal.it/risultati/2022/REG27204/Gara259.htm
REG27204,Vecchio,,50m,50m Uomini,https://www.fidal.it/risultati/2022/REG27204/Gara156.htm
