Prestazione,Atleta,Cat.,Anno,Società,Disciplina,Gara
22.87,CESARONI Alessandro,SM,1995,BSXX3 ASD OLYMPIA ATHLETIC TEAM,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
25.19,TIBERIA Gabriele,PM,2004,FRXX3 AICS FROSINONE,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
25.3,ZIRIZZOTTI Gioele,PM,2004,FRXX3 AICS FROSINONE,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
25.55,SCHIMMENTI Gaetano,SM,1994,ANXX4 GIOVANE AOS,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
27.43,COTUGNO Michele,SM,1995,LEXX2 ASD ATLETICA POPOLARE RUDIAE,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
28.21,TAGLIAFERRI Igino,SM50,1972,RMXX2 ASD ATLETICA NEPTUNIA,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
27.97,CAMPORESI Massimo,SM60,1964,BOXX3 ACQUADELA A.P.D.,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
29.61,FORLANI Massimo,SM55,1965,PVXX2 ASD ATL. PAVESE,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
29.76,TESEI Enrico,SM50,1974,RNXX2 SAN MARINO ATHLETICS ACADEMY,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
31.46,PATRIARCA Massimo,SM50,1971,UDXX2 NUOVA ATLETICA DAL FRIULI,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
31.47,GALLEANI Gianpaolo,SM65,1959,PVXX2 ASD ATL. PAVESE,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
27.62,BIONDI Andrea,SM35,1986,PUXX2 GRUPPO PODISTICO LUCREZIA,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
29.51,CONTI Marco,SM40,1981,FRXX2 POFISPORTIVA,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
32.63,BRANCHESI Fabrizio,SM60,1962,TRXX2 PODISTICA CARSULAE A.S.D.,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
34.32,ZIGNI Angelo,SM60,1962,REXX2 POLISPORTIVA GUASTALLA AICS,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
34.56,VACONDIO Fabrizio,SM65,1956,REXX2 POLISPORTIVA GUASTALLA AICS,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
24.19,DI MARCO Yuri,SM,1996,AQXX2 POLISPORTIVA ATL. CAPISTRELLO,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
26.71,SANTOMAGGIO Stefano,PM,2002,AQXX2 POLISPORTIVA ATL. CAPISTRELLO,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
28.34,BORONI Andrea,SM40,1983,BSXX3 ASD OLYMPIA ATHLETIC TEAM,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
42.31,MELAPPIONI Lamberto,SM75,1945,TRXX2 PODISTICA CARSULAE A.S.D.,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
26.78,AGYEMANG Adolf,SM,1997,ANXX4 GIOVANE AOS,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
33.94,RAINERO Alessandro,PM,2004,ATXX2 ASD RAINBOW PLANET,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
34.11,BOGAZZI Piero,SM55,1968,TRXX2 PODISTICA CARSULAE A.S.D.,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
25.30,ZIRIZZOTTI Gioele,PM,2004,FRXX3 AICS FROSINONE,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara004.html
27.19,MARIN Marzia,PF,2004,POXX2 ASD POLISPORTIVA AZZANESE,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
28.55,RUZZIER Elena,SF,2000,TVXX3 RIDE YOUR DREAMS TREVISO,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
30.37,CAPPELLA Debora,SF40,1984,RNXX2 SAN MARINO ATHLETICS ACADEMY,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
35.61,FRONTINI Paola,SF55,1969,ANXX2 COM. PROV. ANCONA ASP,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
43.57,SCINTU Anna,SF40,1980,ORXX2 ASD AMPA TRAINING,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
46.09,MURRU Tina,SF65,1958,ORXX2 ASD AMPA TRAINING,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
57.47,VENTURINI Lorenza,SF65,1957,BOXX3 ACQUADELA A.P.D.,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
59.32,MELIS Tiziana,SF50,1973,ORXX2 ASD AMPA TRAINING,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
32.20,SANTOMAGGIO Martina,SF,2000,AQXX2 POLISPORTIVA ATL. CAPISTRELLO,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
34.03,MOLINO Silvia,SF45,1976,ATXX2 ASD RAINBOW PLANET,200m,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara104.html
