Prest.,Vento,Atleta,Anno,Società,Città,Data
43.23,,"ZABOT JM,BORTOLIN JM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Bressanone,11/06/2016
43.23,,"ZABOT JM,BORTOLIN JM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Bressanone,11/06/2016
43.45,,"ZABOT JM,BORTOLIN JM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Agordo,21/05/2016
43.45,,"ZABOT JM,BORTOLIN JM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Agordo,21/05/2016
43.50,,"SIRAGNA AM,ZANDOMENEGHI PM,VELLO PM,DALLA SEGA JM",,ANA ATL.FELTRE,Arzignano,24/06/2017
43.50,,"SIRAGNA AM,ZANDOMENEGHI PM,VELLO PM,DALLA SEGA JM",,ANA ATL.FELTRE,Arzignano,24/06/2017
43.52,,"ZABOT AM,SIRAGNA AM,DALLA SEGA JM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,Noale,15/04/2018
43.52,,"ZABOT AM,SIRAGNA AM,DALLA SEGA JM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,Noale,15/04/2018
43.64,,"SIRAGNA AM,DALLA SEGA JM,MANISCALCHI SM,ROLDO SM",,ANA ATL.FELTRE,Caorle,05/05/2018
43.64,,"SIRAGNA AM,DALLA SEGA JM,MANISCALCHI SM,ROLDO SM",,ANA ATL.FELTRE,Caorle,05/05/2018
43.78,,"ZABOT AM,MANISCALCHI SM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Marcon,09/05/2015
43.78,,"ZABOT AM,MANISCALCHI SM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Marcon,09/05/2015
43.85,,"ZABOT JM,ZANDOMENEGHI PM,SIRAGNA AM,DALLA SEGA JM",,ANA ATL.FELTRE,Agordo,23/04/2017
43.85,,"ZABOT JM,ZANDOMENEGHI PM,SIRAGNA AM,DALLA SEGA JM",,ANA ATL.FELTRE,Agordo,23/04/2017
43.88,,"ZABOT AM,MARIN AM,BIESUZ AM,SIRAGNA AM",,ANA ATL.FELTRE,Rieti,16/06/2018
43.88,,"ZABOT AM,MARIN AM,BIESUZ AM,SIRAGNA AM",,ANA ATL.FELTRE,Rieti,16/06/2018
43.89,,"FERRIGHETTO JM,MANISCALCHI SM,VELLO AM,ZANDOMENEGHI AM",,ANA ATL.FELTRE,Vicenza,10/05/2014
43.89,,"FERRIGHETTO JM,MANISCALCHI SM,VELLO AM,ZANDOMENEGHI AM",,ANA ATL.FELTRE,Vicenza,10/05/2014
43.90,,"ZABOT AM,MANISCALCHI SM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Cassola,26/04/2015
43.90,,"ZABOT AM,MANISCALCHI SM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Cassola,26/04/2015
43.98,,"ZABOT AM,ZIVOJINOVIC JM,MARIN JM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,San Biagio Di Callalta,11/05/2019
43.98,,"ZABOT AM,ZIVOJINOVIC JM,MARIN JM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,San Biagio Di Callalta,11/05/2019
44.09,,"ZABOT JM,BORTOLIN JM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Conegliano,25/09/2016
44.09,,"ZABOT JM,BORTOLIN JM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Conegliano,25/09/2016
44.37,,"ZABOT AM,VELLO JM,MANISCALCHI SM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Marcon,11/04/2015
