Prest.,Atleta,Anno,Società,Città,Data
1:31.26,"DALLA SEGA JM,VELLO PM,SIRAGNA AM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,Padova,04/02/2018
1:31.64,"DALLA SEGA JM,VELLO PM,SIRAGNA AM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,Ancona,18/02/2018
1:32.09,"DALLA SEGA JM,BORTOLIN JM,VELLO PM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,Padova,11/02/2017
1:32.17,"DALLA SEGA JM,BORTOLIN JM,VELLO PM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,Padova,05/02/2017
1:32.30,"DALLA SEGA JM,BORTOLIN JM,VELLO PM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,Padova,22/01/2017
1:32.67,"MANISCALCHI SM,BORTOLIN JM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Padova,17/01/2016
1:32.80,"ZABOT AM,MANISCALCHI SM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Padova,31/01/2015
1:33.18,"ZABOT JM,DALLA CORTE JM,MARIN JM,ZIVOJINOVIC JM",,ANA ATL.FELTRE,Ancona,09/02/2020
1:33.23,"MARIN JM,ZIVOJINOVIC JM,DALLA CORTE JM,SIRAGNA JM",,ANA ATL.FELTRE,Ancona,03/02/2019
1:33.34,"MARIN JM,ZIVOJINOVIC JM,DALLA CORTE JM,SIRAGNA JM",,ANA ATL.FELTRE,Padova,20/01/2019
1:33.40,"DALLA SEGA JM,BORTOLIN JM,VELLO PM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,Padova,08/01/2017
1:33.49,"DALLA SEGA JM,VELLO PM,MANISCALCHI SM,ZANDOMENEGHI PM",,ANA ATL.FELTRE,Padova,07/01/2018
1:33.76,"ZABOT AM,MANISCALCHI SM,VELLO JM,ZANDOMENEGHI JM",,ANA ATL.FELTRE,Padova,14/01/2015
