Prest.,Atleta,Anno,Società,Città,Data
4.62,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,Ancona,18/02/2023
4.61,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,Birmingham,25/02/2023
4.60,BRUNI Roberta,94,ATL. STUDENTESCA CA.RI.RI,Ancona,17/02/2013
4.52,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,Ostrava,02/02/2023
4.52,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,Ancona,18/02/2023
4.51,BRUNI Roberta,94,ATL. STUDENTESCA CA.RI.RI,Fermo,02/02/2013
4.51,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,Parma,12/02/2023
4.50,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,Udine,06/02/2010
4.50,MALAVISI Sonia,94,G.A. FIAMME GIALLE,Ancona,17/02/2019
4.50,MALAVISI Sonia,94,G.A. FIAMME GIALLE,Glasgow,02/03/2019
4.46,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,Ancona,27/02/2022
4.45,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,Parigi,05/03/2011
4.45,MALAVISI Sonia,94,G.A. FIAMME GIALLE,Ancona,17/01/2021
4.45,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,Parma,19/02/2022
4.45,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,Belgrado,19/03/2022
4.45,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,Istanbul,03/03/2023
4.45,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,Istanbul,03/03/2023
4.44,MALAVISI Sonia,94,G.A. FIAMME GIALLE,Madrid,08/02/2019
4.42,MALAVISI Sonia,94,G.A. FIAMME GIALLE,Bassano Del Grappa,06/09/2019
4.42,FALDA Helen,96,ATL. BS '50 METALLURG. S.MARCO,Vermillion,16/04/2021
4.42,MOLINAROLO Elisa,94,G.S. FIAMME ORO PADOVA,Canegrate,06/03/2022
4.42,MALAVISI Sonia,94,G.A. FIAMME GIALLE,Ancona,18/01/2023
4.42,VALLETTI BORGNINI Giulia,01,FIAMME GIALLE G. SIMONI,Ancona,18/02/2023
4.41,BRUNI Roberta,94,C.S. CARABINIERI SEZ. ATLETICA,Ancona,21/02/2021
4.40,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,Udine,14/02/2009
4.40,GIORDANO BRUNO Anna,80,ASSINDUSTRIA SPORT PADOVA,Torino,06/03/2009
4.40,SCARPELLINI Elena,87,C.S. AERONAUTICA MILITARE,Ancona,06/02/2010
