Prest.,Atleta,Anno,Società,Città,Data
25:50.3,VISCA Gianmarco,95,ANA ATL.FELTRE,Feltre,27/08/2011
25:52.74,VISCA Gianmarco,95,ANA ATL.FELTRE,Bassano Del Grappa,18/09/2011
26:54.04,VISCA Gianmarco,95,ANA ATL.FELTRE,Vicenza,21/05/2011
26:54.12,VISCA Gianmarco,95,ANA ATL.FELTRE,Rieti,01/10/2011
26:59.15,VISCA Gianmarco,95,ANA ATL.FELTRE,Marcon,10/04/2011
27:00.43,VISCA Gianmarco,95,ANA ATL.FELTRE,Rovigo,07/05/2011
27:15.03,VISCA Gianmarco,95,ANA ATL.FELTRE,Saronno,11/06/2011
27:33.98,VISCA Gianmarco,95,ANA ATL.FELTRE,Bastia Umbra,23/06/2012
27:37.44,VISCA Gianmarco,95,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
28:20.55,VISCA Gianmarco,95,ANA ATL.FELTRE,Abano Terme,12/05/2012
26:26.93,POLESANA Filippo,00,ANA ATL.FELTRE,Jesolo,16/09/2017
26:50.32,POLESANA Filippo,00,ANA ATL.FELTRE,Chiari,30/09/2017
27:14.59,POLESANA Filippo,00,ANA ATL.FELTRE,Vicenza,13/05/2017
30:00.71,POLESANA Filippo,00,ANA ATL.FELTRE,Caorle,28/05/2017
25:50.3,VISCA Gianmarco,95,ANA ATL.FELTRE,Feltre,27/08/2011
25:52.74,VISCA Gianmarco,95,ANA ATL.FELTRE,Bassano Del Grappa,18/09/2011
26:54.04,VISCA Gianmarco,95,ANA ATL.FELTRE,Vicenza,21/05/2011
26:54.12,VISCA Gianmarco,95,ANA ATL.FELTRE,Rieti,01/10/2011
26:59.15,VISCA Gianmarco,95,ANA ATL.FELTRE,Marcon,10/04/2011
27:00.43,VISCA Gianmarco,95,ANA ATL.FELTRE,Rovigo,07/05/2011
27:15.03,VISCA Gianmarco,95,ANA ATL.FELTRE,Saronno,11/06/2011
27:33.98,VISCA Gianmarco,95,ANA ATL.FELTRE,Bastia Umbra,23/06/2012
27:37.44,VISCA Gianmarco,95,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
28:20.55,VISCA Gianmarco,95,ANA ATL.FELTRE,Abano Terme,12/05/2012
26:26.93,POLESANA Filippo,00,ANA ATL.FELTRE,Jesolo,16/09/2017
26:50.32,POLESANA Filippo,00,ANA ATL.FELTRE,Chiari,30/09/2017
27:14.59,POLESANA Filippo,00,ANA ATL.FELTRE,Vicenza,13/05/2017
30:00.71,POLESANA Filippo,00,ANA ATL.FELTRE,Caorle,28/05/2017
