Prest.,Atleta,Anno,Società,Città,Data
1.88,VISIGALLI Anna,81,N.ATL. FANFULLA LODIGIANA COOP,Ancona,19/02/2005
1.87,LAMERA Raffaella,83,C.S. ESERCITO,Genova,06/02/2005
1.84,LAMERA Raffaella,83,C.S. ESERCITO,Caravaggio,23/01/2005
1.84,VISIGALLI Anna,81,N.ATL. FANFULLA LODIGIANA COOP,Genova Palasport,09/02/2005
1.84,BRAMBILLA Elena,83,G.S. FIAMME AZZURRE,Ancona,19/02/2005
1.83,VISIGALLI Anna,81,N.ATL. FANFULLA LODIGIANA COOP,Madrid,04/03/2005
1.82,CANEVA Marina,84,G.S. FIAMME AZZURRE,Genova,06/02/2005
1.80,CANEVA Marina,84,G.S. FIAMME AZZURRE,Modena,08/01/2005
1.80,CANEVA Marina,84,G.S. FIAMME AZZURRE,Firenze,14/01/2005
1.80,BRAMBILLA Elena,83,G.S. FIAMME AZZURRE,San Donato Milanese,15/01/2005
1.80,GALEOTTI Daniela,77,C.S. FORESTALE,Firenze,21/01/2005
1.80,BRAMBILLA Elena,83,G.S. FIAMME AZZURRE,Genova,06/02/2005
1.78,GALEOTTI Daniela,77,C.S. FORESTALE,Firenze,14/01/2005
1.78,BRAMBILLA Elena,83,G.S. FIAMME AZZURRE,Firenze,14/01/2005
1.78,CANEVA Marina,84,G.S. FIAMME AZZURRE,Caravaggio,23/01/2005
1.78,DALLA PIANA Silvia,75,FONDIARIA - SAI ATLETICA,Ancona,12/02/2005
1.78,CANEVA Marina,84,G.S. FIAMME AZZURRE,Ancona,19/02/2005
1.78,GALEOTTI Daniela,77,C.S. FORESTALE,Ancona,19/02/2005
1.78,DEMO Giovanna,87,ATL.VICENTINA,Ancona,19/02/2005
1.76,MEUTI Elena,83,C.U.S. CAGLIARI,Firenze,14/01/2005
1.76,SOW Sara,87,ATL. STUDENTESCA CA.RI.RI,Genova,06/02/2005
1.75,DALLA PIANA Silvia,75,FONDIARIA - SAI ATLETICA,Modena,23/01/2005
1.75,MANNUCCI Maura,85,ATL. STUDENTESCA CA.RI.RI,Rieti,29/01/2005
1.75,BRAMBILLA Elena,83,G.S. FIAMME AZZURRE,Genova Palasport,09/02/2005
1.75,CANEVA Marina,84,G.S. FIAMME AZZURRE,Genova Palasport,09/02/2005
1.75,MEUTI Elena,83,C.U.S. CAGLIARI,Genova Palasport,09/02/2005
1.74,LUCENTINI Valeria,87,ASSINDUSTRIA SPORT PD,Genova,06/02/2005
1.74,MEUTI Elena,83,C.U.S. CAGLIARI,Genova,06/02/2005
1.74,MEUTI Elena,83,C.U.S. CAGLIARI,Ancona,19/02/2005
1.74,MARCONI Valeria,81,A.S.D. I.C.M.BENTEGODI,Ancona,19/02/2005
1.73,MANNUCCI Maura,85,ATL. STUDENTESCA CA.RI.RI,Napoli,22/01/2005
1.73,SOW Sara,87,ATL. STUDENTESCA CA.RI.RI,Modena,23/01/2005
1.73,GALEOTTI Daniela,77,C.S. FORESTALE,Firenze,28/01/2005
1.73,PAESOTTO Stefania,79,ASSINDUSTRIA SPORT PD,Modena,12/02/2005
1.73,DEMO Giovanna,87,ATL.VICENTINA,Modena,12/02/2005
1.72,MARTINI Simona,82,C.U.S. GENOVA,Firenze,21/01/2005
1.72,PAESOTTO Stefania,79,ASSINDUSTRIA SPORT PD,Ancona,19/02/2005
1.72,DALLA PIANA Silvia,75,FONDIARIA - SAI ATLETICA,Ancona,19/02/2005
1.71,CANEVA Marina,84,G.S. FIAMME AZZURRE,Modena,15/01/2005
1.71,MANNUCCI Maura,85,ATL. STUDENTESCA CA.RI.RI,Genova,06/02/2005
1.71,MARCONI Valeria,81,A.S.D. I.C.M.BENTEGODI,Modena,12/02/2005
1.70,BUGARINI Roberta,69,C.U.S. PARMA,Ancona,19/02/2005
1.70,DOLCI Alessandra,83,ATL.SANGIORGESE TECNOLIFT R.R.,Ancona,19/02/2005
1.69,CAPPONCELLI Serena,89,ATLETICA NEW STAR,Modena,23/01/2005
1.69,MAZZI Sara,87,A.S.D.ATL.INSIEME NEW FOODS VR,Caravaggio,23/01/2005
1.69,LUCENTINI Valeria,87,ASSINDUSTRIA SPORT PD,Ancona,12/02/2005
1.69,TANI Sara,83,TOSCANA ATL.EMPOLI,Ancona,12/02/2005
1.68,SOW Sara,87,ATL. STUDENTESCA CA.RI.RI,Modena,15/01/2005
1.68,PALATTELLA Maria vittoria,86,ATL.PIETRASANTA VERSILIA,Firenze,28/01/2005
1.68,MARTINI Simona,82,C.U.S. GENOVA,Firenze,28/01/2005
1.68,DEMO Giovanna,87,ATL.VICENTINA,Genova,06/02/2005
