Prest.,Atleta,Anno,Società,Città,Data
8.55,DE PAOLI Federico,02,ANA ATL.FELTRE,Ancona,07/02/2021
8.55,DE PAOLI Federico,02,ANA ATL.FELTRE,Ancona,07/02/2021
8.63,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,18/01/2014
8.63,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,18/01/2014
8.64,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,31/01/2021
8.64,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,31/01/2021
8.67,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,18/01/2014
8.67,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,18/01/2014
8.71,SCOPEL Simone,06,ANA ATL.FELTRE,Padova,14/01/2024
8.72,SCOPEL Simone,06,ANA ATL.FELTRE,Padova,27/01/2024
8.73,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Ancona,09/02/2014
8.73,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Ancona,09/02/2014
8.73,SCOPEL Simone,06,ANA ATL.FELTRE,Padova,27/01/2024
8.74,ROLDO Demis,85,ANA ATL.FELTRE,Padova,21/01/2024
8.76,SCOPEL Simone,06,ANA ATL.FELTRE,Udine,20/01/2024
8.78,SCOPEL Simone,06,ANA ATL.FELTRE,Padova,14/01/2024
8.85,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,09/02/2013
8.85,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,09/02/2013
8.88,SCOPEL Simone,06,ANA ATL.FELTRE,Udine,20/01/2024
8.89,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,12/01/2013
8.89,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,12/01/2013
9.03,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,12/01/2013
9.03,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,12/01/2013
