Prest.,Atleta,Anno,Società,Città,Data
8:56.27,WEISSTEINER Silvia,79,SV STERZING VB LATELLA NB,Madrid,06/03/2005
9:03.58,WEISSTEINER Silvia,79,SV STERZING VB LATELLA NB,Madrid,04/03/2005
9:07.11,WEISSTEINER Silvia,79,SV STERZING VB LATELLA NB,Ancona,20/02/2005
9:10.72,DAL RI Federica,80,C.S. ESERCITO,Ancona,20/02/2005
9:14.04,ZANATTA Michela,78,C.S. ESERCITO,Ancona,20/02/2005
9:21.99,TSCHURTSCHENTHALER Agnes,82,SV STERZING VB LATELLA NB,Ancona,20/02/2005
9:24.32,BERLANDA Eleonora,76,U.S. QUERCIA ROVERETO,Ancona,20/02/2005
9:31.82,DI SANTO Ilaria,77,C.S. FORESTALE,Ancona,20/02/2005
9:34.17,DE SOCCIO Adelina,86,GRUPPO SPORTIVO VIRTUS,Ancona,20/02/2005
9:53.69,COSTANZA Valentina,87,C.U.S. BOLOGNA,Ancona,20/02/2005
9:54.74,CAVALLINI Denise,79,ATL. APUANA FEMMINILE,Genova Palasport,09/02/2005
9:55.78,CASELLA Silvia,72,ATL. BRESCIA 1950,Ancona,20/02/2005
9:55.87,GAVIGLIO Flavia,63,ATL. ALESSANDRIA,Genova Palasport,09/02/2005
9:55.97,GHIAZZA Valentina,87,ATL. ALESSANDRIA,Genova Palasport,09/02/2005
9:57.08,SANTINI Simona,80,FONDIARIA - SAI ATLETICA,Ancona,20/02/2005
10:06.06,MALQUORI Martina,77,G.S. FIAMME ORO PADOVA,Ancona,20/02/2005
10:07.22,FALLANI Francesca,86,ASSI BANCA TOSCANA FIRENZE,Firenze,10/02/2005
10:14.32,FALLANI Francesca,86,ASSI BANCA TOSCANA FIRENZE,Ancona,20/02/2005
10:17.73,VANACORE Annamaria,72,ATLETICA CENTRO ESTER NAPOLI,Napoli,23/01/2005
10:18.62,CAVALLINI Denise,79,ATL. APUANA FEMMINILE,Ancona,20/02/2005
10:28.06,RIVA Elena,64,C.U.S. GENOVA,Genova Palasport,09/02/2005
10:28.74,CORRADINO Emmanuela,86,ATL. SPORTLIFE LA SPEZIA,Genova Palasport,09/02/2005
10:29.56,PINI PRATO Francesca,68,ASSI BANCA TOSCANA FIRENZE,Genova,27/02/2005
10:29.83,PINI PRATO Francesca,68,ASSI BANCA TOSCANA FIRENZE,Firenze,10/02/2005
10:32.65,BORGHESI Elena,83,ATLETICA ESTENSE,Ancona,13/03/2005
10:32.65,BORGHESI Elena,83,ATLETICA ESTENSE,Ancona,13/03/2005
10:34.36,ROCCO Martina,86,AGG. HINNA,Napoli,23/01/2005
10:36.79,BERTAMINO Marta,85,C.U.S. GENOVA,Genova Palasport,09/02/2005
10:37.08,RIVA Elena,64,C.U.S. GENOVA,Genova,27/02/2005
10:38.92,ACCIAI Jessica,82,ATL.ASICS FIRENZE MARATHON,Firenze,10/02/2005
10:45.27,BERTERO Alice,76,ATLETICA CAIRO,Genova Palasport,09/02/2005
10:45.31,FARINA Elisa,80,PRO SESTO ATL.,Genova Palasport,09/02/2005
10:46.54,SERAGHITI Monica,87,CUS URBINO,Ancona,13/03/2005
10:46.54,SERAGHITI Monica,87,CUS URBINO,Ancona,13/03/2005
11:00.10,SORANZO Lucia,48,C.U.S. BOLOGNA,Genova,27/02/2005
11:01.41,MUGNO Anna laura,87,ATL.ASICS FIRENZE MARATHON,Firenze,10/02/2005
11:09.32,DI DARIO Marianna,87,ATL. NEW TEAM LIBERI,Napoli,23/01/2005
11:16.14,SORANZO Lucia,48,C.U.S. BOLOGNA,Eskilstuna,10/03/2005
11:16.93,MENGOZZI Claudia,66,ATL. ALESSANDRIA,Genova Palasport,09/02/2005
11:19.82,GUERRAZZI Federica,88,ATL LIBERTAS LIVORNO,Firenze,10/02/2005
11:28.41,MANENTI Melissa,87,ATL. SESTESE FEMMINILE,Firenze,10/02/2005
11:33.73,MENGOZZI Claudia,66,ATL. ALESSANDRIA,Genova,27/02/2005
11:47.77,MARESCA Valentina,89,AGG. HINNA,Napoli,23/01/2005
12:59.21,MIRRA Maura,89,A. P. HIPPOS CAMPI FLEGREI,Napoli,23/01/2005
8:59.75,WEISSTEINER Silvia,79,ASV  STERZING VB LATELLA NB,Ancona,19/02/2006
9:11.38,BERLANDA Eleonora,76,G.S. FIAMME ORO PADOVA,Ancona,19/02/2006
9:16.42,DAL RI Federica,80,C.S. ESERCITO,Ancona,19/02/2006
9:16.85,ROMAGNOLO Elena,82,C.S. ESERCITO,Ancona,19/02/2006
9:20.26,TSCHURTSCHENTHALER Agnes,82,ASV  STERZING VB LATELLA NB,Ancona,19/02/2006
9:21.86,TONIOLO Deborah,77,G.S. FORESTALE,Ancona,19/02/2006
9:28.03,LA BARBERA Silvia,84,G.S. FORESTALE,Ancona,19/02/2006
9:34.06,PALMAS Sara,77,C.S. ESERCITO,Ancona,19/02/2006
9:49.57,SANTINI Simona,80,JAKY-TECH APUANA,Ancona,19/02/2006
9:50.64,BONESSI Micaela,80,ATL. ALTO FRIULI - FRIUL GREEN,Ancona,19/02/2006
9:53.56,VULCAN Chiara,78,GS VALSUGANA TRENTINO,Ancona,19/02/2006
9:54.87,CASELLA Silvia,72,ATL. BRESCIA 1950,Ancona,19/02/2006
9:56.91,BONGIOVANNI Ombretta,85,A.S.D. U.S. SANFRONT ATLETICA,Ancona,19/02/2006
10:00.21,LIBERTONE Catia,86,C.S. ESERCITO,Ancona,19/02/2006
10:15.52,ANDREUCCI Florinda,69,G.S. FORESTALE,Ancona,09/02/2006
10:18.26,DOLCE Claudia,84,ASSI BANCA TOSCANA FIRENZE,Firenze,14/02/2006
10:18.98,CORRADINO Emmanuela,86,ATL. SPORTLIFE LA SPEZIA,Ancona,19/02/2006
10:20.68,VANACORE Annamaria,72,S.S.D. CENTRO ESTER NAPOLI ARL,Napoli,05/02/2006
10:20.91,TISELLI Paola,73,TIRRENO ATLETICA ALTO LAZIO,Ancona,19/02/2006
10:30.14,MANENTI Melissa,87,ATL. SESTESE FEMMINILE,Firenze,14/02/2006
10:36.68,PINI PRATO Francesca,68,ASSI BANCA TOSCANA FIRENZE,Firenze,14/02/2006
10:39.98,DEGLI ESPOSTI Sara,83,C.U.S. BOLOGNA,Ancona,19/02/2006
10:40.32,PINI PRATO Francesca,68,ASSI BANCA TOSCANA FIRENZE,Ancona,03/03/2006
10:41.16,ROCCO Martina,86,A.S.D. AGG. HINNA,Napoli,05/02/2006
10:46.31,MUGNO Anna laura,87,ATL.ASICS FIRENZE MARATHON,Firenze,14/02/2006
10:53.20,CELI Martina,87,ALTERATLETICA LOCOROTONDO,Firenze,14/02/2006
10:57.08,ERCOLE Francesca,82,ATL. STUDENTESCA CA.RI.RI,Ancona,09/02/2006
10:58.63,BARTALUCCI Giulia,86,ATLETICA 2005,Firenze,14/02/2006
11:01.82,AVIGO Laura,67,ATLETICA LONATO-LEM ITALIA,Ancona,03/03/2006
11:18.90,DE PASQUALE Silvana,60,ATL. SESTESE FEMMINILE,Firenze,14/02/2006
11:31.07,PEPA Lucia,88,ATL.AMAT.OSIMO,Ancona,09/02/2006
11:38.62,LATALLATI Nawar,82,ATLETICA 2005,Firenze,14/02/2006
11:39.98,MENGOZZI Claudia,66,ATL. ALESSANDRIA,Ancona,03/03/2006
11:42.26,BRUNI Rebecca,88,TOSCANA ATL.EMPOLI,Firenze,14/02/2006
11:44.32,SANTINI Serena,90,ASSI BANCA TOSCANA FIRENZE,Firenze,14/02/2006
11:47.64,PROIETTI Chiara,87,ATL. STUDENTESCA CA.RI.RI,Ancona,09/02/2006
12:38.96,BALLERINI Vittoria,89,TOSCANA ATL.EMPOLI,Firenze,14/02/2006
12:43.99,AMBROSINI Roberta,71,ATLETICA ARCOBALENO SAVONA,Genova,18/01/2006
8:44.81,WEISSTEINER Silvia,79,ASV  STERZING VB LATELLA NB,Birmingham,04/03/2007
8:58.93,WEISSTEINER Silvia,79,ASV  STERZING VB LATELLA NB,Ancona,18/02/2007
9:05.91,ROMAGNOLO Elena,82,C.S. ESERCITO,Ancona,18/02/2007
9:06.52,TSCHURTSCHENTHALER Agnes,82,ASV  STERZING VB LATELLA NB,Ancona,18/02/2007
