Prest.,Atleta,Anno,Società,Città,Data
7.94,BORSI Veronica,87,G.A. FIAMME GIALLE,Goteborg,01/03/2013
7.96,BORSI Veronica,87,G.A. FIAMME GIALLE,Goteborg,01/03/2013
7.97,CARAVELLI Marzia,81,C.S. AERONAUTICA MILITARE,Sopot,07/03/2014
7.97,CARAVELLI Marzia,81,C.S. AERONAUTICA MILITARE,Sopot,08/03/2014
7.99,BOGLIOLO Luminosa,95,G.S. FIAMME ORO PADOVA,Torun,07/03/2021
7.99,BOGLIOLO Luminosa,95,G.S. FIAMME ORO PADOVA,Torun,07/03/2021
8.00,BORSI Veronica,87,G.A. FIAMME GIALLE,Ancona,16/02/2013
8.00,BOGLIOLO Luminosa,95,G.S. FIAMME ORO PADOVA,Torun,17/02/2021
8.01,BOGLIOLO Luminosa,95,G.S. FIAMME ORO PADOVA,Torun,06/03/2021
8.02,CATTANEO Micol,82,C.S. CARABINIERI SEZ. ATLETICA,Valencia,08/03/2008
8.02,BOGLIOLO Luminosa,95,G.S. FIAMME ORO PADOVA,Karlsruhe,31/01/2020
8.03,CARAVELLI Marzia,81,C.U.S. CAGLIARI,Magglingen,02/02/2013
8.04,CARAVELLI Marzia,81,C.U.S. CAGLIARI,Ancona,25/02/2012
8.04,PENNELLA Giulia,89,C.S. ESERCITO,Ancona,22/02/2014
8.04,MOSETTI Nicla,97,BRACCO ATLETICA,Ancona,18/02/2023
8.04,DI LAZZARO Elisa maria,98,C.S. CARABINIERI SEZ. ATLETICA,Ancona,18/02/2023
8.05,CATTANEO Micol,82,C.S. CARABINIERI SEZ. ATLETICA,Ancona,02/02/2008
8.05,BORSI Veronica,87,G.A. FIAMME GIALLE,Goteborg,01/03/2013
8.05,BOGLIOLO Luminosa,95,G.S. FIAMME ORO PADOVA,Karlsruhe,29/01/2021
8.05,BOGLIOLO Luminosa,95,G.S. FIAMME ORO PADOVA,Lievin,09/02/2021
8.06,CARAVELLI Marzia,81,C.U.S. CAGLIARI,Pordenone,28/01/2012
8.06,BORSI Veronica,87,G.A. FIAMME GIALLE,Mondeville,02/02/2013
8.06,DI LAZZARO Elisa maria,98,C.S. CARABINIERI SEZ. ATLETICA,Istanbul,05/03/2023
