Prest.,Atleta,Anno,Società,Città,Data
1:47.82,PERCO Emilio,94,ANA ATL.FELTRE,Padova,06/07/2014
1:49.10,SECK Mor,85,ANA ATL.FELTRE,Rovereto,27/08/2019
1:52.53,COSTA Edgard,99,ANA ATL.FELTRE,San Biagio Di Callalta,21/05/2017
1:52.94,DAL SASSO Alberto,98,ANA ATL.FELTRE,Firenze,10/06/2017
1:53.92,DE PAOLI Nicola,92,ANA ATL.FELTRE,Fidenza,23/05/2015
1:55.95,DE BARBA Mattia,02,ANA ATL.FELTRE,Grosseto,11/06/2021
1:56.17,BONAN Marco,00,ANA ATL.FELTRE,Trento,09/07/2019
1:56.22,SCHENAL Alessandro,96,ANA ATL.FELTRE,Trento,22/07/2014
1:59.15,BATTISTEL Samuele,04,ANA ATL.FELTRE,Trento,18/07/2023
2:00.22,DALLA PALMA Davide,90,ANA ATL.FELTRE,Trento,31/07/2012
2:00.0,DE PAOLI Jacopo,88,ANA ATL.FELTRE,Longarone,22/06/2005
2:04.13,KANDRI Othman,97,ANA ATL.FELTRE,Brugnera,05/09/2015
2:04.88,DALLA CORTE Christian,82,ANA ATL.FELTRE,Trento,11/07/2023
2:05.50,FANTINEL Davide,05,ANA ATL.FELTRE,Trento,11/07/2023
2:05.85,RECH Omar,87,ANA ATL.FELTRE,Trento,29/07/2008
2:08.31,ROSSI Mattia,93,ANA ATL.FELTRE,Trento,26/07/2011
2:08.57,LORENZETTO Andrea,95,ANA ATL.FELTRE,Bassano,27/04/2014
2:10.0,RUBIN Mauro,73,ANA ATL.FELTRE,Feltre,23/08/2012
2:17.99,RIGA Stefano,91,ANA ATL.FELTRE,Marcon,15/05/2011
2:24.71,NOSIGLIA Alessio,83,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
2:26.74,MAZZOCCO Simone,06,ANA ATL.FELTRE,Trento,11/07/2023
2:30.61,MOINO Alessandro,74,ANA ATL.FELTRE,Feltre,08/06/2022
2:31.22,COLUSSI Riki,78,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
2:33.88,FANTINEL Daniele,69,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
2:45.03,TONET Stefano,72,ANA ATL.FELTRE,Borgo Valbelluna,06/06/2023
