Prest.,Atleta,Anno,Società,Città,Data
52.28,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Ancona,19/02/2023
52.48,LUKUDO Raphaela boaheng,94,C.S. ESERCITO,Glasgow,02/03/2019
52.52,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Metz,11/02/2023
52.56,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Karlsruhe,31/01/2020
52.57,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Magglingen,02/02/2019
52.69,BORGA Rebecca,98,G.A. FIAMME GIALLE,Ancona,21/02/2021
52.69,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Ancona,18/02/2023
52.69,MANGIONE Alice,97,C.S. ESERCITO,Ancona,19/02/2023
52.70,MARCHIANDO Eleonora,97,C.S. CARABINIERI SEZ. ATLETICA,Ancona,19/02/2023
52.72,BORGA Rebecca,98,G.A. FIAMME GIALLE,Torun,05/03/2021
52.73,MANGIONE Alice,97,ATL. BS '50 METALLURG. S.MARCO,Torun,05/03/2021
52.75,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Glasgow,01/03/2019
52.80,LUKUDO Raphaela boaheng,94,C.S. ESERCITO,Glasgow,01/03/2019
52.82,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Ancona,23/02/2020
52.82,POLINARI Anna,99,C.S. CARABINIERI SEZ. ATLETICA,Ancona,19/02/2023
52.84,MARCHIANDO Eleonora,97,C.S. CARABINIERI SEZ. ATLETICA,Ancona,18/02/2023
52.88,BORGA Rebecca,98,G.A. FIAMME GIALLE,Ancona,29/01/2023
52.89,REINA Daniela,81,G.S. FIAMME AZZURRE,Tampere,04/02/2007
52.90,MANGIONE Alice,97,C.S. ESERCITO,Ancona,18/02/2023
52.94,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Magglingen,27/01/2019
52.95,REINA Daniela,81,G.S. FIAMME AZZURRE,Birmingham,02/03/2007
52.97,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Madrid,24/02/2017
52.98,LUKUDO Raphaela boaheng,94,C.S. ESERCITO,Birmingham,02/03/2018
52.99,LUKUDO Raphaela boaheng,94,C.S. ESERCITO,Glasgow,01/03/2019
52.99,MANGIONE Alice,97,C.S. ESERCITO,Istanbul,03/03/2023
53.00,REINA Daniela,81,G.S. FIAMME AZZURRE,Birmingham,02/03/2007
53.00,SPACCA Maria enrica,86,G.S. FORESTALE,Ancona,26/02/2012
53.00,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Ancona,29/01/2023
53.01,MANGIONE Alice,97,C.S. ESERCITO,Ancona,21/02/2021
53.05,LUKUDO Raphaela boaheng,94,C.S. ESERCITO,Ancona,18/02/2023
53.07,MANGIONE Alice,97,C.S. ESERCITO,Gand,04/02/2023
53.08,LUKUDO Raphaela boaheng,94,C.S. ESERCITO,Ancona,18/02/2018
53.09,MILANI Marta,87,C.S. ESERCITO,Ancona,19/02/2011
53.10,MILANI Marta,87,C.S. ESERCITO,Ancona,06/02/2011
53.10,LUKUDO Raphaela boaheng,94,C.S. ESERCITO,Ancona,23/02/2020
53.11,REINA Daniela,81,G.S. FIAMME AZZURRE,Ancona,17/02/2007
53.11,REINA Daniela,81,G.S. FIAMME AZZURRE,Torino,07/03/2009
53.12,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Karlsruhe,28/01/2022
53.14,LUKUDO Raphaela boaheng,94,C.S. ESERCITO,Ancona,17/02/2019
53.15,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Ancona,18/02/2018
53.16,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Ancona,06/03/2016
53.17,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Ancona,22/02/2020
53.18,LUKUDO Raphaela boaheng,94,C.S. ESERCITO,Birmingham,02/03/2018
53.18,MANGIONE Alice,97,ATL. BS '50 METALLURG. S.MARCO,Ancona,23/01/2021
53.18,BONORA Alessandra,00,BRACCO ATLETICA,Ancona,18/02/2023
53.19,REINA Daniela,81,G.S. FIAMME AZZURRE,Torino,21/02/2009
53.19,SPACCA Maria enrica,86,G.S. FORESTALE,Ancona,15/02/2012
53.19,BRUNEY Maya fonda,98,BRACCO ATLETICA,Columbia,28/01/2022
53.20,MARCHIANDO Eleonora,97,C.S. CARABINIERI SEZ. ATLETICA,Ancona,29/01/2023
53.21,REINA Daniela,81,G.S. FIAMME AZZURRE,Torino,06/03/2009
53.22,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Ancona,17/02/2019
53.23,MILANI Marta,87,C.S. ESERCITO,Parigi,05/03/2011
53.24,PASQUALE Lucia,95,BRIXIA ATLETICA 2014 SSD SRL,Ancona,05/02/2017
53.24,FOLORUNSO Ayomide temilade,96,G.S. FIAMME ORO PADOVA,Birmingham,02/03/2018
