Prest.,Atleta,Anno,Società,Città,Data
8.30,HOWE Andrew,85,C.S. AERONAUTICA MILITARE,Birmingham,04/03/2007
8.15,HOWE Andrew,85,C.S. AERONAUTICA MILITARE,Ancona,17/02/2007
8.10,HOWE Andrew,85,C.S. AERONAUTICA MILITARE,Ancona,18/02/2006
8.07,JACOBS Lamont marcell,94,G.S. FIAMME ORO PADOVA,Ancona,04/02/2017
8.06,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,23/02/2014
8.06,JACOBS Lamont marcell,94,G.S. FIAMME ORO PADOVA,Ancona,18/02/2017
8.05,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Ancona,18/02/2017
8.05,JACOBS Lamont marcell,94,G.S. FIAMME ORO PADOVA,Madrid,08/02/2019
8.03,DONATO Fabrizio,76,G.A. FIAMME GIALLE,Ancona,19/02/2011
8.03,JACOBS Lamont marcell,94,G.S. FIAMME ORO PADOVA,Padova,22/02/2015
8.02,HOWE Andrew,85,C.S. AERONAUTICA MILITARE,Tampere,04/02/2007
8.02,DONATO Fabrizio,76,G.A. FIAMME GIALLE,Ancona,17/02/2007
8.02,HOWE Andrew,85,C.S. AERONAUTICA MILITARE,Mosca,01/02/2009
8.01,HOWE Andrew,85,C.S. AERONAUTICA MILITARE,Ancona,18/02/2017
8.00,CHILA' Gabriele,97,G.A. FIAMME GIALLE,Ancona,22/02/2020
8.00,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Ancona,27/02/2022
7.99,FURLANI Mattia,05,G.S. FIAMME ORO PADOVA,Stoccolma,29/01/2023
7.96,CATANIA Emanuele,88,G.A. FIAMME GIALLE,Ancona,03/02/2013
7.95,DONATO Fabrizio,76,G.A. FIAMME GIALLE,Ancona,02/02/2008
7.95,DONATO Fabrizio,76,G.A. FIAMME GIALLE,Ancona,25/02/2012
7.95,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,16/02/2013
7.94,HOWE Andrew,85,C.S. AERONAUTICA MILITARE,Fayetteville,10/02/2006
7.94,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,24/01/2016
7.94,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,Ancona,20/02/2021
7.93,OJIAKU Kevin,89,G.A. FIAMME GIALLE,Ancona,18/02/2017
7.93,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,Ancona,22/02/2020
7.92,DONATO Fabrizio,76,G.A. FIAMME GIALLE,Ancona,25/02/2012
7.91,OJIAKU Kevin,89,G.A. FIAMME GIALLE,Ancona,16/02/2013
7.90,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,06/02/2011
7.90,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Ancona,03/02/2018
7.90,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,Ancona,23/01/2021
7.89,HOWE Andrew,85,C.S. AERONAUTICA MILITARE,Ancona,29/01/2017
7.89,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Belgrado,03/03/2017
7.88,IUCOLANO Ferdinando,80,C.S. AERONAUTICA MILITARE,Ancona,18/02/2006
7.88,TRIO Antonino,93,A.S.D. C.U.S. PALERMO,Ancona,17/02/2018
7.87,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,24/01/2010
7.87,OJIAKU Kevin,89,G.A. FIAMME GIALLE,Ancona,01/02/2015
7.87,OJIAKU Kevin,89,G.A. FIAMME GIALLE,Ancona,16/02/2019
7.87,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,Ancona,16/02/2019
7.86,IUCOLANO Ferdinando,80,C.S. AERONAUTICA MILITARE,Ancona,02/02/2008
7.86,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Torino,21/02/2009
7.86,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,12/01/2013
7.86,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Ancona,04/02/2017
7.84,FORMICHETTI Emanuele,83,STATO MAGGIORE ESERCITO DAR,Ancona,06/02/2011
7.84,CATANIA Emanuele,88,G.A. FIAMME GIALLE,Ancona,25/02/2012
7.84,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,01/02/2015
7.84,JACOBS Lamont marcell,94,G.S. FIAMME ORO PADOVA,Ancona,07/02/2015
7.84,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,06/03/2016
7.84,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Ancona,22/01/2017
7.84,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Ancona,22/02/2020
7.83,IUCOLANO Ferdinando,80,C.S. AERONAUTICA MILITARE,Genova,23/02/2008
7.83,GUARINI Alessio,85,G.S. FIAMME ORO PADOVA,Ancona,23/02/2014
7.83,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,18/02/2017
7.83,CHILA' Gabriele,97,G.A. FIAMME GIALLE,Ancona,26/01/2020
7.82,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Padova,18/01/2015
7.82,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,Ancona,20/01/2019
7.81,HOWE Andrew,85,C.S. AERONAUTICA MILITARE,Birmingham,03/03/2007
7.81,OJIAKU Kevin,89,G.A. FIAMME GIALLE,Ancona,08/02/2017
7.81,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Ancona,16/02/2019
7.80,IUCOLANO Ferdinando,80,C.S. AERONAUTICA MILITARE,Ancona,24/01/2008
7.80,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,22/01/2012
7.79,FORMICHETTI Emanuele,83,STATO MAGGIORE ESERCITO DAR,Ancona,22/01/2012
7.79,CATANIA Emanuele,88,G.A. FIAMME GIALLE,Ancona,26/01/2014
7.79,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Ancona,23/01/2021
7.78,FORMICHETTI Emanuele,83,STATO MAGGIORE ESERCITO DAR,Ancona,25/02/2012
7.78,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,20/01/2013
7.78,OJIAKU Kevin,89,G.A. FIAMME GIALLE,Ancona,03/02/2013
7.78,CATANIA Emanuele,88,G.A. FIAMME GIALLE,Goteborg,02/03/2013
7.78,CATANIA Emanuele,88,G.A. FIAMME GIALLE,Ancona,18/01/2015
7.78,CHILA' Gabriele,97,ATL.STUD. RIETI ANDREA MILARDI,Padova,27/02/2016
7.78,PIANTI Andrea,97,SHARDANA ASD,Ancona,16/02/2019
7.78,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,Ancona,23/01/2022
7.78,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Ostrava,02/02/2023
7.77,GUARINI Alessio,85,G.S. FIAMME ORO PADOVA,Gent,13/02/2016
7.77,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Belgrado,04/03/2017
7.77,CHILA' Gabriele,97,G.A. FIAMME GIALLE,Ancona,27/02/2022
7.76,GUARINI Alessio,85,S.E.F. VIRTUS EMILSIDER BO,Ancona,25/01/2009
7.75,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,23/01/2011
7.75,JACOBS Lamont marcell,94,ATL. VIRTUS  CR LUCCA,Ancona,23/02/2013
7.75,BRAGA Stefano,94,ATL. PIACENZA,Ancona,23/02/2014
7.75,JACOBS Lamont marcell,94,G.S. FIAMME ORO PADOVA,Padova,01/02/2015
7.75,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,31/01/2016
7.75,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,Ancona,19/01/2020
7.75,CHILA' Gabriele,97,G.A. FIAMME GIALLE,Ancona,23/01/2022
7.74,AGRESTI Francesco,77,G.S. FIAMME ORO PADOVA,Ancona,17/02/2007
7.74,CATANIA Emanuele,88,G.A. FIAMME GIALLE,Ancona,16/02/2013
7.74,CHAHBOUN Mohamed reda,97,ATL.LIBERTAS UNICUSANO LIVORNO,Saronno,24/01/2021
7.74,RANDAZZO Filippo,96,G.A. FIAMME GIALLE,Belgrado,18/03/2022
7.74,FURLANI Mattia,05,G.S. FIAMME ORO PADOVA,Ancona,04/02/2023
7.73,CATANIA Emanuele,88,G.A. FIAMME GIALLE,Ancona,02/02/2014
7.73,TREMIGLIOZZI Stefano,85,C.S. AERONAUTICA MILITARE,Ancona,29/01/2017
7.73,TRIO Antonino,93,ATHLETIC CLUB 96 ALPERIA,Ancona,02/02/2020
7.73,CAIROLI Simone,90,ATL. LECCO-COLOMBO COSTRUZ.,Ancona,20/02/2021
7.73,CHAHBOUN Mohamed reda,97,ATL.LIBERTAS UNICUSANO LIVORNO,Ancona,23/01/2022
7.73,CHAHBOUN Mohamed reda,97,ATL.LIBERTAS UNICUSANO LIVORNO,Ancona,30/01/2022
7.73,FURLANI Mattia,05,G.S. FIAMME ORO PADOVA,Ancona,08/01/2023
