Prest.,Atleta,Anno,Società,Città,Data
3:43.97,"CAVALLERI SF,BAZZONI SF35,MILANI SF,CHIGBOLU SF",,C.S. ESERCITO,Ancona,17/02/2019
3:46.35,"TISO JF,TASSANI PF,SPADOTTO SCOTT SF,TREVISAN SF",,BRACCO ATLETICA,Ancona,17/02/2019
3:48.17,"SERGI JF,PIRANA SF,FOUDRAZ JF,MARCHIANDO PF",,ATLETICA SANDRO CALVESI,Ancona,17/02/2019
3:48.26,"SIMONELLI PF,PANSINI AF,TIRNETTA PF,GHERARDI JF",,ATL.STUD. RIETI ANDREA MILARDI,Ancona,17/02/2019
3:48.67,"BURATTIN SF,TROIANI SF,BAUDENA SF,TROIANI SF",,CUS PRO PATRIA MILANO,Ancona,17/02/2019
3:50.00,"GRESTA PF,SERAFINI PF,BELLA JF,TORRIENTE LEAL SF",,ATL. ROMA ACQUACETOSA,Ancona,17/02/2019
3:50.54,"BALORDI AF,DALL'AGLIO SF,KEBE PF,CASAGRANDE MONTESI PF",,C.U.S. PARMA,Ancona,17/02/2019
3:51.24,"ALMICI AF,PELLANDA SF,SERAMONDI AF,MELETTO PF",,ATL. BRESCIA 1950 ISPA GROUP,Ancona,17/02/2019
3:52.62,"CUCCU' AF,BALDINELLI PF,NATALUCCI SF,GHERGO AF",,TEAM ATLETICA MARCHE,Ancona,17/02/2019
4:12.49,"PAVAN PF,BARBIERO PF,LORENZON JF,ZAGO PF",,TREVISATLETICA,Padova,10/02/2019
4:42.77,"BAMBI AF,TAGLIAFERRI AF,TEMPERANI AF,BANCHINI AF",,ATL. SESTESE FEMMINILE,Padova,10/02/2019
3:40.81,"BAZZONI SF35,LUKUDO SF,CAVALLERI SF,CHIGBOLU SF",,C.S. ESERCITO,Ancona,23/02/2020
3:43.29,"TROIANI SF,TROIANI SF,BURATTIN SF,CASAGRANDE MONTESI PF",,CUS PRO PATRIA MILANO,Ancona,23/02/2020
