Prest.,Atleta,Anno,Società,Città,Data
9:20.25,POLESANA Federico,94,ANA ATL.FELTRE,Fidenza,22/05/2015
9:20.25,POLESANA Federico,94,ANA ATL.FELTRE,Fidenza,22/05/2015
9:22.35,BONAN Marco,00,ANA ATL.FELTRE,Vittorio Veneto,13/07/2019
9:22.35,BONAN Marco,00,ANA ATL.FELTRE,Vittorio Veneto,13/07/2019
9:22.65,BONAN Marco,00,ANA ATL.FELTRE,Bressanone,28/07/2019
9:22.65,BONAN Marco,00,ANA ATL.FELTRE,Bressanone,28/07/2019
9:23.36,BONAN Marco,00,ANA ATL.FELTRE,Rieti,07/06/2019
9:23.36,BONAN Marco,00,ANA ATL.FELTRE,Rieti,07/06/2019
9:24.18,POLESANA Federico,94,ANA ATL.FELTRE,Agordo,21/05/2016
9:24.18,POLESANA Federico,94,ANA ATL.FELTRE,Agordo,21/05/2016
9:24.27,POLESANA Federico,94,ANA ATL.FELTRE,Rieti,12/06/2015
9:24.27,POLESANA Federico,94,ANA ATL.FELTRE,Rieti,12/06/2015
9:25.54,POLESANA Federico,94,ANA ATL.FELTRE,Marcon,09/05/2015
9:25.54,POLESANA Federico,94,ANA ATL.FELTRE,Marcon,09/05/2015
9:25.87,POLESANA Federico,94,ANA ATL.FELTRE,Vicenza,07/05/2016
9:25.87,POLESANA Federico,94,ANA ATL.FELTRE,Vicenza,07/05/2016
9:27.13,BONAN Marco,00,ANA ATL.FELTRE,San Biagio Di Callalta,11/05/2019
9:27.13,BONAN Marco,00,ANA ATL.FELTRE,San Biagio Di Callalta,11/05/2019
9:29.09,POLESANA Federico,94,ANA ATL.FELTRE,Vicenza,19/05/2012
9:29.09,POLESANA Federico,94,ANA ATL.FELTRE,Vicenza,19/05/2012
9:31.76,BONAN Marco,00,ANA ATL.FELTRE,Castiglione Della Pescaia,26/05/2019
9:31.76,BONAN Marco,00,ANA ATL.FELTRE,Castiglione Della Pescaia,26/05/2019
9:31.86,POLESANA Federico,94,ANA ATL.FELTRE,Caprino Veronese,09/06/2012
9:31.86,POLESANA Federico,94,ANA ATL.FELTRE,Caprino Veronese,09/06/2012
9:31.97,POLESANA Federico,94,ANA ATL.FELTRE,Bressanone,10/06/2016
9:31.97,POLESANA Federico,94,ANA ATL.FELTRE,Bressanone,10/06/2016
9:34.65,POLESANA Federico,94,ANA ATL.FELTRE,Bassano Del Grappa,21/09/2013
9:34.65,POLESANA Federico,94,ANA ATL.FELTRE,Bassano Del Grappa,21/09/2013
9:35.89,POLESANA Federico,94,ANA ATL.FELTRE,Rovigo,07/09/2013
9:35.89,POLESANA Federico,94,ANA ATL.FELTRE,Bussolengo,06/05/2017
9:35.89,POLESANA Federico,94,ANA ATL.FELTRE,Rovigo,07/09/2013
9:35.89,POLESANA Federico,94,ANA ATL.FELTRE,Bussolengo,06/05/2017
9:41.71,BONAN Marco,00,ANA ATL.FELTRE,Caorle,05/05/2018
9:41.71,BONAN Marco,00,ANA ATL.FELTRE,Caorle,05/05/2018
9:42.51,POLESANA Federico,94,ANA ATL.FELTRE,Torino,06/06/2014
9:42.51,POLESANA Federico,94,ANA ATL.FELTRE,Torino,06/06/2014
9:43.61,POLESANA Federico,94,ANA ATL.FELTRE,Vedelago,29/06/2013
9:43.61,POLESANA Federico,94,ANA ATL.FELTRE,Vedelago,29/06/2013
9:43.65,POLESANA Federico,94,ANA ATL.FELTRE,Caprino Veronese,31/05/2014
9:43.65,POLESANA Federico,94,ANA ATL.FELTRE,Caprino Veronese,31/05/2014
9:43.97,BONAN Marco,00,ANA ATL.FELTRE,Trento,12/09/2018
9:43.97,BONAN Marco,00,ANA ATL.FELTRE,Trento,12/09/2018
9:44.74,POLESANA Federico,94,ANA ATL.FELTRE,Misano Adriatico,16/06/2012
9:44.74,POLESANA Federico,94,ANA ATL.FELTRE,Misano Adriatico,16/06/2012
9:45.33,POLESANA Federico,94,ANA ATL.FELTRE,Bassano Del Grappa,28/06/2014
9:45.33,POLESANA Federico,94,ANA ATL.FELTRE,Bassano Del Grappa,28/06/2014
9:45.86,BONAN Marco,00,ANA ATL.FELTRE,Agropoli,01/06/2018
9:45.86,BONAN Marco,00,ANA ATL.FELTRE,Agropoli,01/06/2018
9:49.36,POLESANA Federico,94,ANA ATL.FELTRE,Arzignano,24/09/2017
9:49.36,POLESANA Federico,94,ANA ATL.FELTRE,Arzignano,24/09/2017
9:52.37,POLESANA Federico,94,ANA ATL.FELTRE,Milano,23/05/2014
9:52.37,POLESANA Federico,94,ANA ATL.FELTRE,Milano,23/05/2014
9:54.15,POLESANA Federico,94,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
9:54.15,POLESANA Federico,94,ANA ATL.FELTRE,Bassano Del Grappa,15/09/2012
9:55.43,POLESANA Federico,94,ANA ATL.FELTRE,Vicenza,10/05/2014
9:55.43,POLESANA Federico,94,ANA ATL.FELTRE,Vicenza,10/05/2014
9:56.17,POLESANA Federico,94,ANA ATL.FELTRE,Marcon,11/05/2013
9:56.17,POLESANA Federico,94,ANA ATL.FELTRE,Marcon,11/05/2013
9:56.32,POLESANA Federico,94,ANA ATL.FELTRE,Caprino Veronese,08/06/2013
