Prest.,Atleta,Anno,Società,Città,Data
8.37,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,27/01/2024
8.44,ROLDO Demis,85,ANA ATL.FELTRE,Padova,10/02/2019
8.44,ROLDO Demis,85,ANA ATL.FELTRE,Padova,10/02/2019
8.48,ROLDO Demis,85,ANA ATL.FELTRE,Padova,10/02/2019
8.48,ROLDO Demis,85,ANA ATL.FELTRE,Padova,10/02/2019
8.48,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,14/01/2024
8.49,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,27/01/2024
8.50,DE PAOLI Federico,02,ANA ATL.FELTRE,Ancona,04/02/2024
8.51,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,14/01/2024
8.62,DE PAOLI Federico,02,ANA ATL.FELTRE,Ancona,06/02/2022
8.62,DE PAOLI Federico,02,ANA ATL.FELTRE,Ancona,06/02/2022
8.63,DE PAOLI Federico,02,ANA ATL.FELTRE,Udine,29/01/2023
8.63,DE PAOLI Federico,02,ANA ATL.FELTRE,Udine,29/01/2023
8.64,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,28/01/2023
8.64,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,28/01/2023
8.65,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,08/01/2023
8.65,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,08/01/2023
8.67,ROLDO Demis,85,ANA ATL.FELTRE,Padova,21/01/2018
8.67,ROLDO Demis,85,ANA ATL.FELTRE,Padova,21/01/2018
8.68,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,21/01/2023
8.68,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,21/01/2023
8.71,DE PAOLI Federico,02,ANA ATL.FELTRE,Udine,29/01/2023
8.71,DE PAOLI Federico,02,ANA ATL.FELTRE,Udine,29/01/2023
8.72,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,28/01/2023
8.72,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,28/01/2023
8.78,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,08/01/2023
8.78,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,08/01/2023
8.80,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,21/01/2023
8.80,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,21/01/2023
8.81,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,22/01/2022
8.81,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,22/01/2022
8.82,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,29/01/2022
8.82,DE PAOLI Federico,02,ANA ATL.FELTRE,Padova,29/01/2022
8.85,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,25/01/2014
8.85,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,25/01/2014
9.03,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,25/01/2014
9.03,FERRIGHETTO Ivan,95,ANA ATL.FELTRE,Padova,25/01/2014
10.32,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,29/01/2022
10.32,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,29/01/2022
10.81,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,09/01/2022
10.81,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,09/01/2022
10.87,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,04/02/2024
11.12,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,13/02/2022
11.12,DALLA CORTE Matteo,01,ANA ATL.FELTRE,Padova,13/02/2022
